Pos;Sail #;Bow;Crew / Club;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;MR;Total;Net
1;FRA 465;;GOYARD, Nicolas;3;1;1;1;-7;-14;1;1;14;15;7;7;2;DNF (78);5;BFD (78);1;3;5;17;1;261;84
2;ITA 150;;RENNA, Nicolò;1;1;-35;3;-41;10;1;2;5;RDG 9.70;4;4;6;15;1;-29;5;1;11;-19;2;203,7;79,7
3;NED 55;;VAN OPZEELAND, Luuc;1;1;1;1;-49;-9;9;1;2;-43;1;1;1;3;3;1;BFD (41);3;1;1;3;173;31
4;ISR 24;;OMER, Yoav;1;5;5;-9;2;4;3;-19;-48;-36;9;9;35;16;11;18;5;5;7;1;4;248;136
5;GBR 60;;SILLS, Samuel;3;-17;3;-9;8;3;4;6;13;4;8;8;9;-19;-39;3;11;3;5;19;5;194;110
6;FRA 7;;MESTRE, Adrien;BFD (41);9;11;3;8;-17;5;3;16;8;3;3;7;7;-30;26;9;25;7;BFD (41);6;279;150
7;NED 465;;TAK, Huig Jan;1;7;1;13;-28;12;-16;13;27;-45;2;2;-43;4;8;7;BFD 41;5;11;3;7;289;157
8;GBR 360;;BROWN, Andrew;-11;3;3;1;5;-53;2;6;17;5;17;17;17;8;-21;-60;7;3;17;9;8;282;137
9;FRA 77;;LE COQ , Pierre;11;9;9;9;RET (78);12;6;BFD (78);-41;24;12;12;8;2;7;-25;23;1;1;11;9;379;157
10;FRA 53;;BOURGEOIS, Clément;BFD (41);1;1;1;4;-19;10;4;6;1;-44;-44;16;5;34;31;7;9;7;7;10;292;144
11;ITA 24;;DI TOMASSI, Luca;1;-31;3;11;-18;14;5;4;8;23;6;6;19;17;-44;28;3;-33;13;1;;288;162
12;ISR 60;;REUVENY, Tom;7;9;3;BFD (41);3;1;RDG 27.33;DSQ (78);1;33;20;20;-55;11;10;-53;3;17;5;5;;402,33;175,33
13;GER 404;;WOLF , Fabian;1;5;3;3;6;-34;-20;8;19;3;25;25;-61;27;BFD (78);6;5;9;11;21;;370;177
14;GBR 983;;BARTON, Matthew;-11;5;9;9;9;7;-28;7;32;2;5;5;4;28;20;BFD (78);29;BFD (41);3;5;;337;179
15;POL 28;;FURMANSKI, Radoslaw;3;-23;5;3;19;-27;18;7;10;6;-50;-50;21;29;14;27;3;15;5;3;;338;188
16;FRA 152;;ARNOUX, Tom;3;3;3;3;-59;-33;11;12;RDG 22.70;BFD (78);24;24;18;6;6;2;BFD (41);13;7;BFD 41;;409,7;198,7
17;ITA 60;;BENEDETTI , Daniele;-19;5;5;7;11;-21;RDG 15.66;15;9;20;10;10;31;31;-64;-55;1;5;17;15;;366,66;207,66
18;POL 182;;TARNOWSKI, Pawel;1;-21;7;13;10;-25;7;2;23;38;-61;-61;3;10;35;5;BFD 41;1;9;9;;382;214
19;FRA 4;;TITOUAN, Le Bosq;-17;-35;7;1;1;2;7;5;3;16;-58;-58;20;45;25;13;BFD 41;1;9;21;;385;217
20;GER 220;;KOERDEL, Sebastian;DNC (41);1;1;1;15;-22;17;21;-60;44;-45;45;5;1;13;14;1;5;3;33;;388;220
21;DEN 37;;SØE, Johan;5;21;13;BFD (41);-27;4;12;9;-31;18;16;16;26;14;22;15;19;11;1;BFD (41);;362;222
22;NED 36;;CASTELEIN, Max;7;BFD (41);5;7;5;6;DSQ (78);10;-57;-52;15;15;15;12;28;24;15;BFD 41;15;11;;459;231
23;ISR 30;;VARDIMON, Tomer;11;5;-15;11;12;9;-23;11;-54;12;13;13;-65;18;40;34;19;11;13;9;;398;241
24;NED 9;;BADLOE, Kiran;3;3;1;BFD (41);-30;5;3;3;21;25;39;39;13;9;BFD (78);11;DNF (41);27;35;5;;432;242
25;LTU 7;;JASIUNAS, Rytis;7;15;13;BFD (41);1;5;19;-32;-46;9;11;11;10;20;38;-45;17;29;9;DNC 41;;419;255
26;POL 23;;RUTKOWSKI, Maciek;5;17;7;BFD (41);22;-24;17;23;4;22;-41;41;14;BFD (78);17;12;1;17;3;BFD 41;;447;263
27;NED 11;;HOEKSTRA, Sil;11;-21;7;19;13;13;-29;15;35;7;31;31;-68;-38;33;17;25;11;15;7;;446;290
28;GBR 10;;BLOODWORTH, Henry;13;13;5;5;26;18;-51;-49;36;-58;32;32;41;-42;12;19;7;9;27;7;;502;302
29;GBR 19;;HAWKINS, Finn;3;13;-21;BFD (41);16;19;6;14;-66;31;27;27;-71;44;RDG 44.20;RDG 44.20;15;7;1;1;;511,4;312,4
30;NED 17;;VINK, Joost;13;-19;17;5;16;11;-21;12;29;-48;26;26;30;34;27;-36;21;21;13;13;;438;314
31;POL 72;;KAMIL, Manowiecki;9;9;15;5;6;23;-25;-34;20;53;-63;-63;34;37;15;33;13;15;23;13;;508;323
32;SUI 63;;COLOMBO , Elia;3;1;RET (41);9;21;23;14;-27;37;50;14;14;56;BFD (78);BFD (78);10;27;23;19;5;;550;326
33;ARU 4;;WESTERA, Ethan;-25;11;13;17;14;7;8;BFD (78);11;10;-56;-56;11;50;18;30;BFD 41;7;DNC 41;BFD 41;;545;330
34;AUS 111;;MCMILLAN, Will;DSQ 41;11;17;23;-43;-73;20;8;43;37;29;29;-67;-65;2;16;27;7;3;19;;580;332
35;ESP 4;;TOMÁS, Vieito Cobián;9;7;5;DNF (41);40;-51;10;28;50;BFD (78);34;34;42;BFD (78);24;23;9;11;9;3;;586;338
36;ITA 17;;CANGEMI , Antonino;7;7;19;3;-27;20;15;BFD (78);33;39;30;30;12;24;-56;BFD (78);17;35;29;23;;582;343
37;NOR 252;;FUNNEMARK, Endre;25;5;-27;23;-29;8;4;21;24;DSQ (78);-73;73;33;13;4;8;17;17;27;BFD 41;;550;343
38;FRA 3;;GOYARD, Thomas;3;3;9;BFD (41);20;15;9;BFD (78);7;14;35;35;DNF (78);DNF (78);9;21;DNC 41;DNC 41;DNC 41;DNC 41;;619;344
39;ITA 101;;TOMASI, Alessandro Jose;9;-23;-29;9;21;11;2;17;-56;54;21;21;32;39;26;-63;11;BFD 41;21;13;;519;348
40;SUI 76;;SCHÄRER, Sebastian;13;21;-29;11;23;6;-27;5;28;30;23;23;-57;22;32;38;21;BFD (41);27;27;;504;350
41;BRA 7;;ISAAC, Mateus;5;3;5;3;-42;39;18;RET (78);18;11;37;37;66;BFD (78);BFD (78);9;BFD 41;19;23;17;;627;351
42;NZL 59;;ARMIT, Josh;5;3;7;1;-45;-16;16;10;-63;26;52;52;28;60;23;BFD (78);3;BFD 41;23;3;;555;353
43;ITA 87;;RENNA, Jacopo;15;9;23;BFD (41);11;-31;24;18;-51;29;22;22;47;-62;16;49;13;29;15;19;;546;361
44;FRA 50;;POULIQUEN , Oël;11;15;9;3;15;1;-33;-17;30;21;-70;-70;39;30;45;37;BFD 41;17;25;25;;554;364
45;GBR 931;;SQUIRES , Tom;1;BFD (41);3;5;24;-41;30;16;34;13;33;33;-52;26;29;32;23;BFD (41);35;33;;545;370
46;FIN 8;;EKLUND, Jakob;15;3;1;9;7;-38;BFD (78);20;-58;19;-55;55;29;47;49;46;9;21;21;27;;607;378
47;USA 6;;LYONS, Noah;19;7;7;5;17;-21;13;-25;12;34;-64;64;DSQ (78);40;48;40;BFD 41;19;15;7;;576;388
48;LTU 1;;BERNOTAS, Juozas;15;13;15;13;4;-28;-22;18;42;35;-65;-65;45;25;41;43;5;BFD 41;23;13;;571;391
49;ITA 88;;CAMBONI, Mattia;7;1;5;BFD (41);31;-32;25;28;-52;-62;28;28;38;32;31;35;21;33;31;29;;590;403
50;SUI 601;;BENZ, Matteo;13;13;9;25;-39;-45;13;39;DNC (78);51;36;36;40;43;36;-57;7;13;25;11;;629;410
51;GRE 8;;KOKKALANIS, Byron;15;15;27;15;-40;10;-42;20;39;32;-75;-75;25;41;50;47;23;9;21;23;;644;412
52;GBR 102;;HATCHER, James;23;7;-27;BFD (41);18;26;26;22;15;17;38;38;22;57;DNF (78);DNF (78);RDG 26.30;29;25;25;;638,3;414,3
53;AUS 0;;ALLEN, Stephen;7;5;9;1;12;17;-38;-47;26;63;-71;-71;50;23;55;62;33;31;17;11;;649;422
54;POL 42;;POLAK, Michal;23;11;17;15;9;-52;-32;24;49;49;-57;57;37;33;-63;4;29;13;19;BFD 41;;634;430
55;HKG 21;;CHENG, Ching Yin;9;7;RDG 10.33;15;-33;33;BFD (78);13;45;42;40;40;44;-61;42;-56;13;BFD 41;21;15;;658,33;430,33
56;ITA 27;;MODENA, Manolo;17;13;21;21;25;-46;11;-34;-68;41;19;19;-63;51;46;41;BFD 41;23;33;17;;650;439
57;CRO 751;;MRATOVIC, Luka;17;11;-31;15;10;13;27;-29;-71;27;-59;59;48;48;19;44;15;21;35;31;;630;440
58;NED 14;;SCHMITZ, Luc;13;11;13;11;2;-43;-35;24;38;28;-67;-67;36;55;62;42;BFD 41;31;29;15;;663;451
59;ESP 388;;BALTASAR SUMMERS,;23;19;15;13;17;-32;-55;19;40;BFD (78);42;42;27;49;43;-65;9;BFD 41;33;21;;683;453
60;POL 636;;LEWINSKI, Dominik;19;23;9;11;32;-35;-34;31;22;-65;53;53;24;36;-57;52;19;27;33;17;;652;461
61;FRA 312;;PIANAZZA, Fabien;7;13;11;11;22;-37;24;DSQ (78);47;-70;43;43;69;54;DNF (78);39;11;25;25;29;;736;473
62;BEL 39;;BROUCKE, Thomas;-35;19;13;13;20;-41;15;32;53;-60;48;48;-59;35;37;54;17;19;19;33;;670;475
63;HKG 33;;AU, Ling Yeung;7;21;9;BFD 41;-50;24;14;-44;-72;-66;46;46;49;21;60;50;19;15;17;BFD 41;;712;480
64;FRA 30;;CARFANTAN, Gaspard;9;9;1;19;19;31;-43;-40;65;46;-69;-69;23;46;59;58;DNF 41;23;27;15;;712;491
65;ISR 51;;BEL, Baz;5;11;31;7;31;-34;-32;23;59;68;-72;-72;RDG 51;53;52;22;BFD 41;15;19;23;;721;511
66;NED 2020;;VRIESWIJK, Amado;9;BFD (41);7;5;3;2;12;-14;69;55;18;18;DNF (78);DNF (78);DNF 78;DNF 78;DNC 41;DNC 41;DNC 41;DNC 41;;729;518
67;DEN 15;;JEPSEN, Mads;17;1;21;BFD (41);-46;22;31;26;25;-67;49;49;51;63;61;DNF (78);31;21;33;25;;758;526
68;FRA 0;;PASQUETTE, Jérôme;5;15;15;BFD (41);30;29;28;-42;44;56;-74;-74;46;56;54;20;25;DNC 41;31;31;;757;526
69;HKG 8;;KIKABHOY, Rafeek;21;19;11;7;14;15;-29;-36;62;47;-68;-68;62;66;51;59;13;19;29;31;;727;526
70;FRA 752;;COUSIN, Alexandre;25;19;25;19;-43;-47;22;9;-75;59;51;51;53;DNF (78);65;48;BFD 41;25;13;9;;777;534
71;KOR 71;;LEE, Taehoon;9;7;3;BFD (41);38;3;-43;39;-74;57;54;54;70;52;BFD (78);64;31;BFD 41;11;21;;790;554
72;ISR 930;;BASIK TASHTASH, Daniel;5;BFD 41;11;7;-61;28;-44;36;55;-71;62;62;54;-64;53;61;11;7;31;BFD 41;;805;565
73;ESP 211;;LAMADRID TRUEBA,;23;11;11;13;13;-46;33;-49;67;64;60;60;-72;BFD (78);47;67;25;13;31;27;;810;565
74;GER 730;;POGGEMANN, Lars;17;5;17;15;-37;27;31;-60;-70;61;-66;66;58;59;58;66;15;27;35;29;;819;586
75;FRA 1159;;MERCEUR, Benoît;15;9;33;7;33;20;-39;-42;-73;-69;47;47;60;58;66;51;BFD 41;37;29;35;;811;588
76;FRA 629;;PIGNOLET , Louis;5;3;21;BFD (41);-44;30;8;11;64;DNC (78);DNC (78);DNC 78;DNC 78;DNC 78;DNC 78;DNC 78;DNC 41;DNC 41;DNC 41;DNC 41;;937;696
77;ISR 16;;POMERANTZ, Ido;13;15;7;5;25;44;DNF (78);DNF (78);DNC (78);DNC (78);DNC 78;DNC 78;DNC 78;DNC 78;DNC 78;DNC 78;DNC 41;DNC 41;DNC 41;DNC 41;;1053;741
78;AUS 81;;MORRIS, Grae;23;19;17;-35;-53;29;19;30;-5;2;1;1;1;4;4;-12;3;1;1;1;;261;156
79;ISR 218;;ROI, Hillel;19;23;25;7;-35;35;-40;26;-41;3;4;4;-30;13;5;7;3;3;1;1;;325;179
80;TUR 399;;BIRIZ, Onur Cavit;21;35;19;15;-38;8;-46;31;7;5;-30;30;14;BFD (78);3;10;1;1;1;1;;394;202
81;DEN 291;;LILLELUND, Niklas;27;17;13;29;34;DNF (78);49;DNF (78);2;9;3;3;3;-19;-17;2;1;1;7;13;;405;213
82;NZL 1;;COZZOLINO, Antonio;25;27;25;21;-66;25;37;-52;4;15;2;2;13;BFD (78);13;9;7;15;BFD (41);3;;480;243
83;GRE 80;;TSORTANIDIS , Leonidas;27;13;23;BFD 41;-62;40;-50;33;9;11;-25;-25;5;7;2;11;7;9;3;3;;406;244
84;GER 107;;HEIMANN, Jonne;19;27;23;17;26;-36;26;-35;10;19;13;13;11;-23;10;14;5;9;-29;3;;368;245
85;ESP 95;;ARANZUEQUE CAMPELLO,;29;9;25;9;28;-37;-37;30;23;13;15;15;-33;15;27;4;BFD (41);3;1;5;;399;251
86;CZE 130;;LAVICKY, Karel;25;7;11;19;37;-66;-41;38;13;14;8;8;16;3;-18;13;DNC (41);11;17;13;;419;253
87;ESP 1;;GRANDA ROQUE, Angel;9;31;31;BFD 41;-48;40;-46;35;-21;8;7;7;9;BFD (78);8;3;3;3;17;5;;450;257
88;JPN 11;;MAKOTO, Tomizawa;15;29;13;19;-36;-44;36;29;-37;18;6;6;7;8;-20;20;17;13;17;13;;403;266
89;POL 82;;MYSZKA, Piotr;15;21;15;5;-57;45;-49;40;14;-43;-26;26;19;1;14;22;5;13;5;7;;442;267
90;JPN 5;;IKEDA, Kensei;13;17;11;17;-49;-43;38;37;17;10;-45;-45;18;5;11;41;9;9;7;15;;457;275
91;ESP 3;;CARDONA BOCARANDO,;17;25;19;17;-57;-60;34;27;16;17;-34;-34;8;14;29;18;13;1;21;11;;472;287
92;ISR 8;;ELIMELECH , Ofek;DNC 41;23;31;BFD 41;-61;50;-59;16;8;4;14;14;4;20;1;17;1;-21;5;DNC (41);;472;290
93;ESP 339;;TOMAS CARDELL, Bernat;33;33;11;7;42;-61;-48;33;18;6;9;9;15;-35;-28;19;7;21;23;7;;465;293
94;ITA 345;;GAVIOLI, Jacopo;17;25;27;27;24;16;-48;-46;22;21;-29;-29;22;16;21;23;11;5;13;7;;449;297
95;ESP 100;;BORONAT SUAY, Jose Luis;15;17;13;23;60;-64;54;BFD (78);1;1;-27;27;6;18;9;-32;17;11;19;7;;499;298
96;ITA 333;;CAPPUZZO, Francesco;23;17;15;23;47;-62;-51;41;-27;-38;11;11;17;11;25;24;5;5;3;21;;477;299
97;NZL 35;;LIEFTING, Eli;13;BFD 41;DNC 41;BFD 41;51;-56;-52;22;-29;26;5;5;27;10;6;BFD (78);1;5;27;1;;537;322
98;NZL 27;;CROOK, Thomas;DNC 41;25;31;21;-76;-48;30;43;15;16;23;23;2;BFD (78);BFD (78);1;3;23;23;13;;613;333
99;ARU 31;;HOVELING, Malik;21;17;23;BFD (41);35;39;40;-41;-38;7;31;31;32;21;15;8;7;5;DNC (41);5;;498;337
100;POL 163;;ROMANOWSKI, Tomasz;17;37;17;23;29;-55;-45;37;3;-30;21;21;21;2;-30;25;25;25;23;19;;505;345
101;USA 11;;PASCUAL SUITT, Pedro;21;35;19;15;-52;-50;50;48;-32;22;22;22;-31;29;7;6;31;7;7;15;;521;356
102;DEN 444;;DIXEN, Alfred Tang;35;BFD 41;23;13;23;-67;21;-51;24;-48;42;42;10;-47;32;16;9;7;9;11;;571;358
103;HUN 77;;BORS, Máté;27;29;19;BFD 41;-48;-53;44;45;11;20;18;18;28;-44;19;-33;11;11;11;9;;539;361
104;KOR 153;;KIM, Chaneui;19;37;19;17;34;36;-39;-45;31;23;-44;44;34;9;BFD (78);28;17;7;5;15;;581;375
105;DEN 34;;DAMGAARD, Christoffer;37;27;17;BFD 41;-64;42;42;-48;-49;32;10;10;12;-56;12;5;21;9;37;29;;600;383
