Pos;Nasc;Athlete;Nada;Nada;Nada;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1;ITA    26;TITA Ruggero (ITART8)                          M92 BANTI Caterina (ITACB71)                   F87;FIAMME GIALLE/CC ANIENE - Itali;e-MR;MR;36;42;1;5;4;4;1;1;1;1;2;1;1;1;1;6;4;4
2;GBR    21;GIMSON John (GBRJG12)                     M83 BURNET Anna (GBRAB123)                F92;ARTEMIS TECHNOLOGIES - Gran;d-MR;MR;54;70;3;16;3;1;5;4;5;2;1;3;3;3;3;5;1;6
3;FIN    13;KURTBAY Sinem (FINSK2)                    F91 KESKINEN Akseli                                  M99;NJK - Finlande;-MR;MR;72;86;14;11;1;3;2;2;2;3;6;2;4;2;9;1;10;7
4;AUS     5;WATERHOUSE Jason (AUSJW14)        M91 DARMANIN Lisa (AUSLD4)                  F91;AUSTRALIAN SAILING TEAM - Aus;t-rMR;MR;97;118;4;9;5;2;7;7;6;4;8;5;21;8;14;2;6;5
5;NZL    96;WILKINSON Micah (NZMW12)              M96 DAWSON Erica (NZLED1)                    F94;NGAROTO SAILING CLUB. MURR;A-MR;MR;105;121;7;1;12;16;6;3;3;10;4;4;14;6;4;9;2;10
6;ITA    98;UGOLINI Gianluigi (ITAGU1)                 M98 GIUBILEI Maria (ITAMG142)                 F98;Italie;-MR;MR;116;149;†††DNF;17;18;5;4;13;7;6;3;6;2;12;2;7;8;3
7;ARG    29;MAJDALANI Mateo (ARGMM7)              M94 BOSCO Eugenia (ARGEB11)               F97;ENARD - Argentine;-MR;MR;133;149;9;13;8;12;10;10;9;16;7;10;10;4;12;14;3;1
8;DEN    31;SAOUMA-PEDERSEN Natac (DENNS11F)97 BORRESKOV Mathias Bruun (DENMB1M99)6;Danemark;-MR;MR;136;152;6;4;13;8;12;11;8;9;12;12;11;11;7;8;16;2
9;NED   484;VAN DER MEER Laila (NEDLV30)         F00 BOUWER Bjarne (NEDBB21)               M03;TEAM ALLIANZ - Hollande;-MR;MR;136;158;2;22;20;9;3;5;4;7;13;7;5;15;10;4;14;9
10;SWE    61;SVENSSON Ida (SWEIS4)                     F97 DACKHAMMAR Marcus (SWEMD2)    M88;KSSS - Suede;-MR;MR;156;179;8;7;2;6;8;6;15;12;19;11;18;7;5;16;23;8
11;SWE    44;JARUDD Emil (SWEEJ5)                       M98 JONSSON Hanna (SWEHJ11)             F99;KSSS - Suede;NAC;MR;149;170;5;21;6;13;17;18;20;13;5;9;7;9;8;12;7;
12;FRA;BERTHOMIEU Lou (FRALB71) MOURNIAC Tim (FRATM30);F01;S N O NANTES;NAC;155;172;13;15;11;11;9;8;10;8;17;8;12;5;16;17;12;
13;AUT;FARESE Laura (AUTLF3) ZOCHLING Matth√§us (AUTMZ5);F00;UYCNS - Autriche;NAC;176;195;16;6;9;7;14;16;12;17;16;13;13;19;17;15;5;
14;USA;NEWBERRY-MOORE Sarah (USASN15F)88 LIEBENBERG David (USADL74);;RICHMOND YACHT CLUB.  CORA;LNAC;186;210;10;10;22;24;21;9;17;5;11;16;15;13;13;3;21;
