Pos;Sail Bow;"Crew
Club - Boat";Net points;Total points;"1Q
30/03";"2Q
30/03";"3Q
31/03";"4Q
31/03";"5F
01/04";"6F
01/04";"7F
01/04";"8F
02/04";"9F
02/04";"10F
02/04";"11F
03/04";"12F
03/04";"13F
03/04";"14MR
04/04"
1;NZL 1;Peter BURLING / Blair TUKE;50;76;1;1;2;3;1;2;1;1;-26;4;2;7;11;14
2;GER 12;Erik HEIL / Thomas PLOESSEL;68;87;2;2;3;-19;4;1;4;6;9;6;1;1;13;16
3;BRA 300;Dante BIANCHI / Thomas LOWBEER;87;108;2;7;10;1;2;13;13;9;4;11;6;3;-21;6
4;DEN 30;Jonas WARRER / Anders THOMSEN;99;125;19;1;4;17;16;-26;11;3;2;10;7;5;2;2
5;NZL 34;Marcus HANSEN / Josh POREBSKI;102;128;6;6;20;7;14;-26;9;4;3;7;8;4;10;4
6;POL 52;Tomasz JANUSZEWSKI / Jacek NOWAK;116;142;11;14;7;11;5;3;14;-26;18;5;4;8;8;8
7;GBR 98;Dave EVANS / Ed POWYS;123;144;6;8;1;14;3;6;16;10;10;16;-21;19;4;10
8;GER 59;Justus SCHMIDT / Max BOEHME;124;148;4;4;7;14;12;7;7;2;11;19;3;-24;12;22
9;IRL 8;Ryan SEATON / Matt MCGOVERN;132;157;5;11;-25;9;6;8;10;16;7;8;15;18;7;12
10;SWE 16;Carl SYLVAN / Otto HAMEL;139;161;4;9;10;-22;19;20;2;5;12;15;9;9;3;22
11;BRA 332;Marco SOFFIATTI GRAEL / Gabriel PORTILHO BORGES;121;144;-23;4;17;5;9;10;5;20;6;3;5;14;23;
12;FRA 14;Mathieu FREI / Yann ROCHERIEUX;124;145;1;7;2;-21;18;4;20;11;19;2;16;15;9;
13;ESP 900;Diego BOTÍN / Iago LÓPEZ;125;145;10;2;12;8;-20;17;12;7;16;13;11;11;6;
14;FRA 13;Julien D ORTOLI / Noé DELPECH;139;163;9;10;9;17;7;21;23;8;1;1;13;20;-24;
15;POR 5;Jorge LIMA / Jose Luis COSTA;149;175;5;12;6;15;-26;18;15;13;15;12;14;10;14;
16;GBR 114;James PETERS / Fynn STERRITT;151;174;21;3;13;1;17;14;8;21;-23;9;18;6;20;
17;SWE 500;Victor BERGTSRÖM / Victor VASTERNAS;158;187;7;5;-29;9;8;9;3;19;22;18;22;21;15;
18;ITA 96;Stefano CHERIN / Andrea TESEI;160;198;18;3;5;-38;22;15;6;15;20;14;24;13;5;
19;RUS 281;Pavel KALINCHEV / Pavel KARACHOV;160;184;8;15;5;-24;15;22;22;12;8;23;12;2;16;
20;JPN 81;Yukio MAKINO / Kenji TAKAHASHI;161;182;15;8;1;19;-21;11;18;18;17;21;20;12;1;
21;ITA 22;Giuseppe ANGILELLA / Pietro ZUCCHETTI;163;187;3;13;19;13;10;5;-24;17;5;17;17;22;22;
22;ITA 23;Jacopo PLAZZI / Umberto MOLINERIS;178;216;12;12;-38;2;13;12;17;14;13;25;10;23;25;
23;AUS 66;Will PHILLIPS / James WIERZBOWSKI;203;228;16;23;9;6;11;19;-25;22;21;22;19;16;19;
24;ESP 32;Carlos PAZ BLANCO / Anton PAZ BLANCO;215;241;12;17;23;3;-26;23;21;24;14;20;23;17;18;
25;FRA 144;Kevin FISCHER / Yann JAUVIN;222;248;3;6;21;20;23;16;19;23;-26;24;25;25;17;
26;POL 42;Lukasz PRZYBYTEK / Pawel KOLODZINSKI;95;133;28;-38;3;4;2;10;7;2;1;3;5;4;26;
27;USA 50;Brad FUNK / Trevor BURD;113;139;16;9;18;8;8;13;2;5;7;8;10;9;-26;
28;ITA 187;Uberto CRIVELLI VISCONTI / Gianmarco TOGNI;121;146;-25;23;14;18;10;8;3;4;13;7;2;6;13;
29;ESP 46;Federico ALONSO TELLECHEA / Arturo ALONSO TELLECHEA;123;147;8;11;-24;22;4;1;13;17;10;2;8;18;9;
30;CHI 700;Benjamin GREZ / Cristobal GREZ;123;144;20;-21;6;6;6;2;14;12;12;16;4;11;14;
31;ARG 133;Yago LANGE / Klaus LANGE;126;164;11;14;-38;38;3;15;1;3;2;4;7;2;26;
32;SWE 116;Fritiof HEDSTRÖM / Niclas DÜRING;136;164;19;13;-28;23;12;7;15;1;5;5;13;12;11;
33;USA 17;Frederick STRAMMER / Michael KUSCHNER;137;159;-22;10;19;4;13;12;20;10;11;6;11;5;16;
34;BEL 314;Levi SLAP / Tom Pelsmaekers;139;165;17;22;4;-26;19;21;5;7;8;10;12;10;4;
35;ESP 161;Carlos ROBLES LORENTE / Daniel CANOVAS COLON;139;165;17;20;15;5;5;14;10;8;3;12;14;16;-26;
36;FRA 9;Manu DYEN / Marc MALLARET;142;168;9;15;11;13;7;9;9;19;4;1;22;23;-26;
37;ITA 444;Luca DUBBINI / Roberto DUBBINI;143;173;10;5;27;-30;16;19;6;15;20;14;3;1;7;
38;RUS 178;Artem BASALKIN / Nikolay CHERNIKOV;144;166;14;-22;13;18;9;16;8;14;14;19;10;7;2;
39;GBR 360;Jack HAWKINS / Christopher THOMAS;150,3;175,3;-25;21;8;18,3;18;11;23;11;15;15;6;3;1;
40;SUI 111;Sébastien SCHNEITER / Lucien CUJEAN;162;184;13;19;8;20;21;4;17;13;-22;11;15;15;6;
41;GBR 600;Rory HUNTER / Neil HUNTER;174;202;13;16;18;-28;1;18;12;9;23;9;19;26;10;
42;USA 808;Thomas Barrows BARROWS / Joseph MORRIS;181;206;14;17;-25;12;11;17;22;20;6;18;16;20;8;
43;BEL 777;Yannick LEFEBVRE / Max Slap;186;224;24;-38;16;16;25;6;18;6;9;22;1;17;26;
44;FRA 18;Gabriel SKOCZEK / Sébastien SCOTTO DI FASANO;191;217;15;16;-26;10;22;23;4;26;16;18;23;13;5;
