Pos;Sail Bow;"Crew
Club - Boat";Net points;Total points;"1Q
28/03";"2Q
28/03";"3Q
28/03";"4Q
29/03";"5Q
29/03";"6Q
29/03";"7F
31/03";"8F
31/03";"9F
31/03";"10F
31/03";"11F
01/04";"12F
01/04";"13F
01/04";"14F
01/04";"15F
01/04";"16MR
02/04"
1;IRL 99;Ryan Seaton / Matt Mcgovern;75;90;8;2;1;2;6;3;8;-15;5;3;7;5;10;2;1;12
2;AUS 2;Nathan Outteridge / Iain Jensen;88;106;12;1;11;-18;1;1;9;10;1;13;6;1;5;4;3;10
3;ESP 97;Diego Botin / Iago Lopez;97;123;1;3;3;8;6;1;1;11;-26;9;12;26;1;7;2;6
4;AUT 84;Nico Delle Karth / Nikolaus Resch;98;120;10;1;3;2;3;2;7;3;16;5;9;14;8;13;-22;2
5;GER 8;Erik Heil / Thomas Ploessel;116;141;3;4;4;5;2;2;16;-25;8;1;1;15;11;5;19;20
6;GER 59;Justus Schmidt / Max Boehme;123;149;2;13;2;1;13;4;14;14;11;8;11;7;2;-26;13;8
7;AUS 66;Will Phillips / Sam Phillips;125;143;14;5;-18;10;9;3;3;7;14;11;3;18;7;1;4;16
8;AUS 91;David Gilmour / Lewis Brake;132;150;16;7;6;16;7;5;6;-18;2;10;10;10;13;8;12;4
9;BRA 332;Marco Grael / Gabriel Borges;147;168;17;5;1;11;8;7;2;9;6;20;4;20;-21;6;17;14
10;ITA 23;Jacopo Plazzi / Umberto Molineris;147;173;9;11;9;7;-26;9;18;1;3;2;18;3;4;26;9;18
11;FRA 9;Julien D Ortoli / Noé Delpech;137;163;11;4;7;4;12;4;11;2;18;-26;2;16;6;22;18;
12;ITA 26;Ruggero Tita / Pietro Zucchetti;160;186;7;3;2;17;1;17;10;6;21;23;-26;12;26;10;5;
13;SWE 500;Victor Bergstrom / Niclas During;161;180;1;9;5;13;11;10;13;17;15;12;15;17;-19;12;11;
14;DEN 132;Jonas Warrer / Christian Peter Stephensen Lübeck;166;192;10;7;6;20;16;21;15;5;7;6;5;-26;12;16;20;
15;GBR 25;James Peters / Fynn Sterritt;167;193;2;2;17;11;3;25;5;16;22;-26;26;6;15;3;14;
16;SWE 16;Carl P Sylvan / Marcus Anjemark;169;194;6;6;-25;17;4;18;24;20;12;4;23;4;3;21;7;
17;ITA 96;Stefano Cherin / Andrea Tesei;170;193;13;10;10;6;8;7;4;-23;13;22;17;26;9;9;16;
18;ESP 161;Carlos Robles / Trevor Burd;176;202;15;8;12;6;14;9;-26;8;10;15;13;9;17;19;21;
19;ITA 44;Luca Dubbini / Roberto Dubbini;187;211;19;17;13;15;4;11;12;19;4;16;8;22;-24;17;10;
20;BEL 777;Yannick Lefebvre / Tom Pelsmaekers;189;227;4;-38;4;7;22;16;22;12;9;14;19;19;22;11;8;
21;POL 107;Przemek Filipowicz / Jacek Piasecki;193;216;12;12;8;16;16;12;20;4;20;17;14;11;16;-23;15;
22;CHI 700;Benjamin Jose Grez Ahrens / Cristóbal Jose Grez Ahrens;200;226;11;20;13;3;2;8;19;22;-26;21;16;21;23;15;6;
23;ESP 46;Federico Alonso / Arturo Alonso;209;247;19;6;9;-38;12;8;21;24;17;7;22;2;20;18;24;
24;FRA 144;Kévin Fischer / Yann Jauvin;219;245;14;-26;14;9;9;11;23;13;23;19;20;13;14;14;23;
25;GBR 360;Jack Hawkins / Christopher Thomas;232;260;-28;18;17;4;20;5;17;21;19;18;21;8;18;20;26;
26;CRO 87;Pavle Kostov / Petar Cupac;112;150;-38;9;5;12;38;6;1;5;5;1;17;13;;;;
27;SUI 111;Sébastien Schneiter / Lucien Cujean;116;154;22;20;22;8;-38;19;8;3;6;2;1;5;;;;
28;SWE 21;Fritiof Hedström / Victor Västernäs;118;139;18;16;11;-21;10;10;2;19;2;10;6;14;;;;
29;ITA 187;Uberto Crivelli Visconti / Gianmarco Togni;127;157;4;14;10;-30;17;20;7;4;25;11;5;10;;;;
30;GER 115;Tim Fischer / Fabian Graf;129;154;8;21;23;5;11;24;20;-25;3;8;4;2;;;;
31;GBR 600;Rory Hunter / Neil Hunter;134;161;21;14;8;-27;23;12;5;9;7;6;14;15;;;;
32;FRA 18;Mathieu Frei / Sébastien Scotto Di Fasano;138;166;3;12;-28;14;28;13;9;12;25;3;18;1;;;;
33;NED 191;Lars Van Stekelenborg / Floris Van De Werken;144;182;5;10;19;-38;25;19;18;7;12;15;8;6;;;;
34;POL 174;Dominik Buksak / Szymon Wierzbicki;146;171;15;8;24;-25;10;15;25;14;4;16;7;8;;;;
35;FRA 655;Erwan Fischer / Thibault Julien;155;180;18;16;7;19;17;18;6;21;-25;13;13;7;;;;
36;FRA 221;Lucas Rual / Clement Pequin;163;192;24;23;19;-29;13;15;12;6;8;12;15;16;;;;
37;GBR 33;Dylan Fletcher / Alain Sign;165;203;-38;38;21;13;5;6;25;2;1;25;25;4;;;;
38;USA 31;Thomas Barrows / Joseph Morris;166;194;9;11;12;-28;26;23;25;13;16;4;16;11;;;;
39;FRA 14;Gabriel Skoczek / Yann Rocherieux;168;194;-26;19;14;22;7;21;11;15;13;25;3;18;;;;
