Pos;Sail Bow;"Crew
Club - Boat";Net points;Total points;"1
28/03";"2
28/03";"3
28/03";"4
29/03";"5
29/03";"6
29/03";"7
30/03";"8
30/03";"9
31/03";"10
31/03";"11
31/03";"12
31/03";"13
01/04";"14
01/04";"15
01/04";MR 02/04
1;NED 4;Annemiek Bekkering / Annette Duetz;61;71;1;1;5;10;3;6;8;1;4;1;1;1;4;2;5;18
;;WSVW - KING ARTHUR;;;1;1;5;-10;3;6;8;1;4;1;1;1;4;2;5;18
2;DEN 71;Jena Mai Hansen / Katja Steen Salskov-Iversen;74;109;2;2;1;2;DSQ;10;3;7;3;5;3;2;3;9;2;20
;;Hellerup Sejlklub / YF - TORM, BYGMA;;;2;2;1;2;-35;10;3;7;3;5;3;2;3;9;2;20
3;GER 9;Tina Lutz / Susann Beucke;93;116;5;12;14;11;5;8;10;2;1;4;2;6;5;23;4;4
;;Chiemsee-Yacht Club/Hannoverscher Yacht Club - AUDI STG, SAP, D-V;;;5;12;14;11;5;8;10;2;1;4;2;6;5;-23;4;4
4;GER 55;Victoria Jurczok / Anika Lorenz;121;138;7;5;9;8;6;4;16;13;11;7;14;7;7;5;17;2
;;VSaW - AUDI, SAP, EWE, VSAW, AWN, LIROS, MARINEPOOL;;;7;5;9;8;6;4;16;13;11;7;14;7;7;5;-17;2
5;AUS 41;Tess Lloyd / Caitlin Elks;139;159;16;8;6;6;14;11;4;20;8;19;8;12;2;8;1;16
;;SSCBC/RBYC/SYC/FSC/PYC -;;;16;8;6;6;14;11;4;-20;8;19;8;12;2;8;1;16
6;GBR 22;Charlotte Dobson / Sophie Ainsworth;143;178;4;3;2;7;4;24;28;3;5;18;18;8;UFD;4;7;8
;;RNCYC/Itchenor Yacht Club - TANYA TWIN TURBO;;;4;3;2;7;4;24;28;3;5;18;18;8;-35;4;7;8
7;NOR 20;Ragna Agerup / Maia Agerup;147;169;11;15;7;22;2;1;20;10;6;9;7;10;13;14;10;12
;;KNS - YGGDRASIL;;;11;15;7;-22;2;1;20;10;6;9;7;10;13;14;10;12
8;USA 92;Paris Henken / Helena Scutt;172;202;6;4;13;30;28;9;7;21;13;16;5;4;12;20;8;6
;;San Diego Yacht Club/Seattle Yacht Club / San Francisco Yacht Clu;;;6;4;13;-30;28;9;7;21;13;16;5;4;12;20;8;6
9;FIN 101;Noora Ruskola / Camilla Cedercreutz;177;212;17;14;16;5;23;7;5;19;17;3;DNC;9;15;1;16;10
;;NJK - GANT;;;17;14;16;5;23;7;5;19;17;3;-35;9;15;1;16;10
10;ESP 23;Támara Echegoyen Dominguez / Berta Betanzos Moro;181;207;12;18;4;23;24;15;26;11;2;2;21;3;1;13;18;14
;;Real Club Náutico de Sanxenxo/Real Club Marítimo de Santander -;;;12;18;4;23;24;15;-26;11;2;2;21;3;1;13;18;14
11;SIN 33;Griselda Khng / Sara Tan;177;196;19;17;19;3;17;12;15;6;15;10;19;13;8;11;12;
;;SCFYC - LILITH;;;-19;17;19;3;17;12;15;6;15;10;19;13;8;11;12;
12;GER 810;Jule Görge / Lotta Görge;183;210;18;7;17;15;12;20;11;5;27;12;10;RDG;RDG;RDG;RDG;
;;KYC - CARLSSON;;;18;7;17;15;12;20;11;5;-27;12;10;14;14;14;14;
13;CAN 812;Erin Rafuse / Danielle Boyd;199;226;10;11;12;27;25;21;13;24;9;6;9;19;10;15;15;
;;RNSYS/KYC - MAPLE;;;10;11;12;-27;25;21;13;24;9;6;9;19;10;15;15;
14;AUS 14;Haylee Outteridge / Nina Curtis;200;235;13;13;10;9;18;23;31;16;14;17;6;11;UFD;6;13;
;;W.A.S.C. -;;;13;13;10;9;18;23;31;16;14;17;6;11;-35;6;13;
15;NOR 26;Helene Naess / Marie Ronningen;205;240;14;16;UFD;1;13;19;6;12;10;14;12;21;UFD;21;11;
;;Tønsberg Seilforening - SEVEN;;;14;16;-35;1;13;19;6;12;10;14;12;21;35;21;11;
16;AUT 24;Laura Schoefegger / Elsa Lovrek;215;250;20;10;18;21;8;18;1;25;19;11;11;DSQ;14;25;14;
;;UYCWg/SCK - NICKO SEGUNDO;;;20;10;18;21;8;18;1;25;19;11;11;-35;14;25;14;
17;FIN 17;Sinem Kurtbay / Silja Kanerva;216;251;UFD;DNC;20;16;9;17;21;4;16;15;16;16;6;16;9;
