Pos;Sail #;Bow;Crew / Club;1Q;2Q;3Q;4Q;5Q;6Q;7F;8F;9F;10F;11F;12F;13F;14F;15F;TOTAL;NET
1;GBR 25;8;PETERS, James / HISC STERRITT, Fynn / LMSC;3;5;1;3;9;5;3;6;3;6;6;2;4;12;-16;84;68
2;ESP 97;2;"BOTIN LE CHEVER, Diego /
LOPEZ MARRA, Iago / Club";3;2;5;1;1;9;14;5;-17;10;5;1;1;11;1;86;69
3;GBR 3;1;FLETCHER-SCOTT, Dylan / BITHELL, Stuart / BRITISH;2;2;7;6;UFD (31);14;24;3;1;1;2;3;12;2;2;112;81
4;ARG 51;4;LANGE, Yago / cnsi/enard / LANGE, Klaus / cnsi/enard /;13;DSQ (31);2;3;5;7;1;2;13;4;15;7;10;7;4;124;93
5;BEL 24;9;LEFEBVRE, Yannick / VVW PELSMAEKERS, Tom / VVW;12;1;8;2;1;13;4;22;8;2;9;11;8;-24;7;132;108
6;ESP 46;11;ALONSO TELLECHEA, Federico ALONSO TELLECHEA, Arturo /;2;12;11;10;3;2;7;11;5;11;8;-24;7;17;3;133;109
7;GER 115;16;"FISCHER, Tim / NRV
GRAF, Fabian / VSaW";14;3;3;4;12;4;17;1;9;9;7;18;6;6;DNF (26);139;113
8;POL 4;19;BUKSAK, Dominik / AZS AWFiS WIERZBICKI, Szymon / AZS;22;18;9;5;2;1;6;4;16;-22;3;14;2;9;9;142;120
9;SWE 16;7;SYLVAN, Carl / Gkss ANJEMARK, Marcus / ksss;18;8;2;8;4;6;9;15;2;-23;13;13;11;5;14;151;128
10;BRA 332;21;ROBLES, Carlos GRAEL, Marco;22;6;11;11;11;9;8;9;19;14;4;6;UFD (26);10;10;176;150
11;BRA 15;37;SCHEIDT, Robert / icrj BORGES, Gabriel / icrj;6;9;10;15;13;14;-21;13;11;3;20;10;3;13;19;180;159
12;GBR 360;17;"HAWKINS, Jack
THOMAS, Chris";9;12;6;20;20;8;16;DSQ (26);10;5;14;16;15;3;6;186;160
13;SWE 121;28;WESTBERG, Hannes / GKSS BOMAN, Albin / GKSS;5;14;6;9;15;17;5;16;18;7;19;15;-23;4;RDG (13.38);186,38;163,38
14;FRA 221;60;RUAL, Lucas / BATISYL / IBA AMOROS, Emile / BATISYL /;7;20;7;BFD (31);3;2;18;12;15;8;11;17;19;1;UFD (26);197;166
15;FRA 144;12;FISCHER, Kévin / BESSE JAUVIN, Yann / BESSE CNBPP;16;4;13;2;10;1;-22;7;22;13;16;9;21;21;11;188;166
16;ITA 88;10;"CRIVELLI VISCONTI, Uberto /
MOLINERIS, Umberto /";4;10;16;15;4;RET (31);11;10;7;17;18;12;13;16;15;199;168
17;AUT 29;3;BILDSTEIN, Benjamin / Yacht HUSSL, David / Yacht Club;1;3;UFD (31);1;8;18;2;19;12;21;25;8;14;22;17;202;171
18;DEN 791;25;RASK, Frederik / Skovshoved BUHL, Nikolaj Hoffmann /;5;DSQ (31);9;5;22;12;25;8;4;18;1;22;16;8;20;206;175
19;SUI 111;13;SCHNEITER, Sébastien / SNG / CUJEAN, Lucien / SNG / TEAM;1;8;22;7;13;16;-23;17;20;15;12;5;18;19;5;201;178
20;GER 202;26;"MEGGENDORFER, Jakob /
SPRANGER, Andreas / Segel-";8;15;12;12;8;8;19;24;6;24;10;21;-24;14;12;217;193
21;GBR 118;29;TAYLOR, Chris BATTEN, Sam;4;18;-25;4;7;25;12;20;14;19;23;4;17;15;RDG (15.50);222,5;197,5
22;GER 220;27;CARSTENSEN, Nils / FRIGGE, Jan / MAKANI;21;7;4;13;11;-26;10;23;23;16;22;23;9;18;13;239;213
23;SLO 134;24;JANEZIC, Peter / JK MIPC PODLOGAR, Anze / JK MIPC;16;5;12;22;19;5;15;21;24;-25;24;19;5;23;8;243;218
24;USA 914;15;MOLLERUS, Andrew MOLLERUS, Matthew;11;-27;18;9;5;10;13;18;25;12;17;20;22;20;18;245;218
25;FRA 655;18;FISCHER, Erwan / CNBPP / JULIEN, Thibault / CNBPP /;14;11;1;14;14;3;20;14;21;20;21;UFD (26);20;25;21;245;219
26;RUS 611;31;CHEKH, Yan / Sailing Academy ZOTOV, Ivan / Sailing Academy;DNC (31);26;8;11;6;7;3;8;3;4;1;1;13;9;;131;100
27;IRL 11;5;"SEATON, Ryan /
GUILFOYLE, Seafra / WAVE +";26;7;5;6;15;DNF (31);11;10;8;16;11;4;3;2;;155;124
28;DEN 30;45;"STEPHENSEN LÜBECK, Mads
BAY, Marcus / KDY/Hellerup";15;10;14;7;20;18;2;-24;2;5;23;6;1;4;;151;127
29;SWE 21;14;HEDSTRÖM, Fritiof / KIIMA HAMEL, Otto / KIIMA;8;4;22;BFD (31);26;19;1;5;1;24;7;7;4;8;;167;136
30;POL 52;23;FILIPOWICZ, Przemyslaw / NOWAK, Jacek / AZS UWM;9;9;13;BFD (31);28;17;17;6;4;1;13;8;9;5;;170;139
31;POL 42;6;PRZYBYTEK, Lukasz / AWFIS KOLODZINSKI, Pawel;DSQ (31);29;3;BFD (31);2;3;7;14;BFD (35);6;3;5;2;6;;177;142
32;GBR 618;35;LLOYD WILLIAMS, Henry / ALLOWAY, Will / HARKEN,;10;16;10;16;12;UFD (31);10;7;14;17;10;15;8;1;;177;146
