Pos;Sail #;Bow;Crew / Club;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;SR1;SR2;TOTAL;NET
1;GER 55;2;"JURCZOK,
LORENZ, Anika";12;1;5;1;2;2;1;DSQ (31);1;1;1;2;3;10;1;3;1;78;47
2;NOR 26;3;NÆSS, Helene RØNNINGEN,;3;12;2;-20;1;3;11;6;8;4;8;4;13;3;3;4;DNF (11);116;96
3;SIN 284;4;LIM, Kimberly LOW, Cecilia;1;2;13;2;7;-19;8;1;9;9;4;10;19;4;8;6;DNF (11);133;114
4;SWE 999;11;WESTER, Klara NETZLER,;-23;10;6;5;10;14;2;3;15;11;5;3;10;1;11;DNF (11);DNF (11);151;128
5;FRA 312;5;SEBESI, Lili / DUBOIS,;2;16;3;15;3;16;5;2;7;-17;17;11;1;2;9;DNF (11);DNF (11);148;131
6;GBR 44;1;"DOBSON,
TIDEY, Saskia";9;7;1;12;8;8;4;14;11;8;10;16;BFD (31);5;7;1;DNF (11);163;132
7;SWE 25;30;SVENSSON, JONSSON,;4;17;7;13;11;5;-20;13;14;3;16;7;5;6;6;2;DNF (11);160;140
8;ITA 143;6;RAGGIO, BERGAMASCHI;RET (31);5;4;10;12;4;3;9;20;2;18;8;18;21;4;7;2;178;147
9;ESP 178;7;MUNTE, Carla / MUNTE, Marta;14;11;11;7;5;13;12;7;2;7;3;9;17;14;-21;5;DNF (11);169;148
10;ARU 515;16;VAN  VAN DER;6;4;22;9;9;17;DSQ (31);17;3;6;2;1;11;22;5;DNF (11);DNF (11);187;156
11;DEN 49;19;SCHÜTT, NIELSBY, Iben;10;13;19;14;6;18;13;5;10;14;15;5;BFD (31);8;13;;;194;163
12;NED 15;12;JANMAAT, MARCK,;8;3;9;8;13;1;6;DSQ (31);21;18;9;DSQ (31);12;13;18;;;201;170
13;FRA 10;20;BOSSARD, COMPAN, Aude;STP (17);8;17;19;-28;9;9;16;13;10;12;6;8;20;10;;;202;174
14;JPN 117;15;YAMAZAKI, TAKANO, Sena;11;6;16;18;14;12;15;10;19;STP (16);23;15;BFD (31);9;2;;;217;186
15;DEN 71;10;KROGH, EMSVANG,;18;27;-28;11;15;10;16;18;17;13;6;12;7;18;12;;;228;200
16;SWE 113;29;BOBECK, Vilma TENGSTRÖM,;5;9;8;6;21;22;21;22;16;16;11;14;22;-27;20;;;240;213
17;AUT 61;9;FRANK, Tanja ABICHT,;19;26;18;3;25;6;19;4;UFD (31);12;14;24;15;15;15;;;246;215
18;ESP 212;17;"SUÁREZ,
ALONSO, María";13;24;15;4;-26;21;18;12;25;5;25;17;14;16;24;;;259;233
19;NED 669;26;COUVERT, ENGBERTS,;UFD (31);18;12;26;24;7;17;15;5;19;21;21;9;25;16;;;266;235
20;EST 372;8;"TAMMISTE,
SEPP, Anna";7;19;10;22;17;15;25;19;27;26;22;18;6;12;UFD (31);;;276;245
21;FRA 213;22;"CHALMBET,
LOBRY, Enzo /";STP (22);UFD (31);14;24;4;23;23;8;4;22;19;13;21;UFD (31);22;;;281;250
22;GER 77;24;LAMAY, HOLSTE, Kim;24;22;21;-28;22;25;STP (11);21;6;20;24;19;2;17;26;;;288;260
23;GBR 230;13;BRICKWOOD, ALDRIDGE,;17;14;24;16;23;20;22;20;12;21;13;22;BFD (31);24;19;;;298;267
24;FRA 164;21;NAUDY, Yannis GUEZ, Martin /;STP (16);20;23;UFD (31);19;11;28;26;26;24;26;23;4;7;25;;;309;278
25;POL 119;27;ROMANIUK, JANKOWIAK,;26;25;27;17;18;28;14;11;22;23;7;26;DNF (31);26;23;;;324;293
26;ITA 235;25;BERGAMO, GERMANI,;20;15;26;23;-27;27;27;24;18;25;27;20;20;11;17;;;327;300
27;POL 258;14;ZIELINSKA, ZIELINSKA,;22;23;25;21;16;24;7;25;23;UFD (31);20;UFD (31);BFD (31);23;14;;;336;305
28;SVK 574;28;VADUROVA, TKADLECOVA,;25;21;20;27;20;26;26;27;24;27;-29;25;16;19;27;;;359;330
29;AUT 100;18;KOHLENDORFE FARTHOFER,;27;28;29;25;29;29;24;23;28;28;28;27;DNF (31);28;28;;;412;381
30;GBR 126;23;MILLS, Hannah SIGN, Alain /;DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);DNC (31);;;465;434
