Pos;Sail #;Bow;Crew / Club;1Q;2Q;3Q;4Q;5Q;6Q;7F;8F;9F;10F;11F;12F;13F;14F;15F;MR;TOTAL;NET
1;GBR 1;1;"FLETCHER-SCOTT,
BITHELL, Stuart /";12;1;5;1;1;2;19;4;1;6;9;1;-25;17;3;14;121;96
2;FRA 14;34;FREI, Mathieu / DELPECH, Noé /;4;1;8;18;3;8;2;3;12;1;2;10;11;UFD (26);12;2;123;97
3;POL 4;4;PRZYBYTEK, Lukasz KOLODZINSKI, Pawel /;8;5;2;UFD (32);1;2;8;1;5;15;13;12;4;20;13;4;145;113
4;POL 19;8;BUKSAK, Dominik WIERZBICKI, Szymon;2;10;1;UFD (32);15;4;3;7;10;5;1;13;10;4;16;18;151;119
5;ESP 46;9;ALONSO TELLECHEA, ALONSO TELLECHEA,;8;2;18;11;5;6;11;15;2;7;6;-20;7;5;1;16;140;120
6;SUI 77;14;SCHNEITER, Sébastien CUJEAN, Lucien /;3;2;10;5;9;6;4;8;6;13;15;21;5;9;-24;8;148;124
7;DEN 30;48;WARRER, Jonas / KDY PRECHT JENSEN,;1;1;10;3;4;16;13;6;7;-21;14;6;16;3;7;20;148;127
8;FRA 144;16;FISCHER, Kévin / JAUVIN, Yann / BESSE;3;2;12;1;6;3;14;13;17;9;4;7;17;19;-23;12;162;139
9;FRA 221;22;RUAL, Lucas / AMOROS, Emile / Club;11;4;1;5;3;10;9;9;16;8;-22;3;18;22;STP (12);;153;131
10;DEN 132;31;STEPHENSEN LÜBECK, HOFFMANN BUHL,;6;-18;6;3;12;6;15;14;11;14;16;8;6;14;9;;158;140
11;SWE 21;23;HEDSTRÖM, Fritiof / HAMEL, Otto / GKSS /;2;9;3;10;UFD (32);11;7;17;9;25;17;24;3;2;6;;177;145
12;RUS 611;44;CHEKH, Yan / Sailing ZOTOV, Ivan / Sailing;8;4;2;7;6;3;16;20;15;11;21;16;-22;8;10;;169;147
13;CRO 83;27;FANTELA, Sime / FANTELA, Mihovil /;7;6;5;RDG (6);RDG (6);DNC (32);RDG (15.70);RDG (15.70);DNC (26);2;BFD (26);19;2;7;5;;180,4;148,4
14;GER 8;24;SCHMIDT, Justus / THE PLÖßEL, Thomas / THE;5;16;14;2;11;2;18;10;4;4;BFD (26);11;23;12;21;;179;153
15;ITA 23;10;"PLAZZI MARZOTTO,
TESEI, Andrea";5;6;14;UFD (32);2;7;5;DSQ (26);20;12;20;2;15;6;22;;194;162
16;DEN 791;43;RASK, Frederik / BAY, Marcus / HS;9;7;8;16;7;5;17;16;8;22;5;-25;8;13;25;;191;166
17;ITA 88;7;"CRIVELLI VISCONTI,
TOGNI, Gianmarco /";11;12;3;UFD (32);8;1;21;RDG (14.40);23;16;8;4;21;21;4;;199,4;167,4
18;ITA 123;84;SIBELLO, Pietro / CAVALLI, Giacomo /;1;24;12;8;4;12;12;UFD (26);14;23;11;9;13;15;14;;198;172
19;RUS 281;92;"CHEGLOV, Denis / CSP
KARACHOV, Pavel /";1;-27;7;6;16;11;20;21;22;17;10;18;9;11;15;;211;184
20;SWE 16;6;"P SYLVAN, Carl
BOMAN, Albin";17;5;3;7;4;10;BFD (26);11;24;24;BFD (26);23;12;16;19;;227;201
21;ESP 97;3;BOTÍN LE CHEVER, LÓPEZ MARRA, Iago /;-24;11;20;12;5;5;1;2;1;15;4;1;1;1;1;;104;80
22;BEL 24;15;LEFEBVRE, Yannick / PELSMAEKERS, Tom /;16;19;-25;7;8;4;3;1;2;14;2;5;4;8;21;;139;114
23;FRA 655;26;FISCHER, Erwan / JULIEN, Thibault /;15;8;16;10;10;5;16;6;3;2;16;22;7;-30;2;;168;138
24;GBR 17;17;HAWKINS, William THOMAS, Christopher;DNF (32);10;5;2;17;9;6;7;11;7;6;20;11;2;28;;173;141
25;NED 491;40;HOUTMAN, Scipio / VAN VUGT, Pim;15;11;19;12;-21;17;9;5;10;10;15;13;9;4;9;;179;158
26;GER 22;20;"MEGGENDORFER,
SPRANGER, Andreas /";7;22;13;5;11;23;5;9;12;5;17;-28;13;19;4;;193;165
27;GBR 118;19;TAYLOR, Chris / RYA BATTEN, Sam / RYA;13;11;14;10;BFD (32);4;DNC (34);11;7;6;10;18;8;14;10;;202;168
28;GER 220;21;CARSTENSEN, Nils / FRIGGE, Jan / MAKANI;11;24;6;12;8;8;15;24;13;-30;8;STP (8);14;21;8;;210;180
29;IRL 11;25;"SEATON, Ryan
GUILFOYLE, Séafra";24;9;11;9;BFD (32);11;4;17;4;3;25;26;17;9;25;;226;194
30;FRA 755;57;NAEL, Gwendal / CLÉMENT, Pequin / srr;20;20;8;8;20;14;8;15;15;22;7;-27;16;22;18;;240;213
31;NED 194;81;"LAMBRIEX, Bart
ROBERT , Daniël";-29;22;7;17;15;9;20;10;16;19;14;8;26;24;14;;250;221
32;GER 713;60;FARIEN, Paul / Kieler KLÖSEL, Mirco / Kieler;19;21;22;9;9;13;26;20;19;18;9;17;-30;18;20;;270;240
33;SUI 129;70;BACHELIN, Maxime / DE PLANTA, Arno /;9;3;11;21;27;15;DNC (34);29;24;26;3;6;12;26;30;;276;242
34;GBR 245;62;MUNRO, Gillies / RFYC HARRIS, Daniel / RFYC;17;13;22;4;21;23;18;14;28;12;-29;24;24;16;12;;277;248
35;ESP 317;66;BUGALLO ARRIOLA, LORENZO ROMAN,;25;3;2;UFD (32);15;17;10;13;21;17;12;DNF (34);27;23;UFD (34);;285;251
36;ITA 147;46;FERRARESE, Simone GALATI, Valerio;DNF (32);24;18;11;13;18;21;19;30;9;18;12;20;BFD (34);11;;290;256
37;DEN 511;54;HANSEN, Michael SLETTEN, Mathias;18;8;4;13;17;26;UFD (34);16;18;20;UFD (34);16;22;29;17;;292;258
38;DEN 199;90;BJØRNHOLT, Daniel HEIDE-JOERGENSEN,;23;12;1;25;27;26;25;22;-31;13;13;15;28;12;23;;296;265
39;IRL 283;56;DONNELLY, Seán / DONNELLY, Tadgh;20;5;17;18;11;22;13;27;-29;27;22;25;29;13;19;;297;268
40;GER 911;55;STINGELE, Maximilian SCHEEL, Linov / Kieler;5;20;25;UFD (32);16;15;12;18;17;21;28;29;18;20;24;;300;268
41;IRL 417;51;DICKSON, Robert WADDILOVE, Seán;14;7;9;13;UFD (32);29;UFD (34);25;32;11;20;31;21;15;15;;308;274
42;DEN 979;61;MEIER-ANDERSEN, BAAD NIELSEN, Carl;27;6;24;16;19;20;23;DNC (34);20;25;26;21;25;11;22;;319;285
43;FRA 740;68;CHAMBET, Louis LOBRY, Enzo / YCPR;16;17;7;11;26;28;24;23;27;28;11;23;19;-31;26;;317;286
44;GER 187;71;LAMAY, Gwendal / NRV WILLIM, Luke / NRV /;14;17;15;15;23;27;17;21;26;-31;24;30;31;17;29;;337;306
45;GER 599;91;SATTLER, Johannes / SATTLER, Anton;6;17;23;6;28;17;DNC (34);DNC (34);DNC (34);29;23;19;32;27;27;;356;322
46;AUT 235;65;BAUMANN, Marco FLACHBERGER, Jakob;DNF (32);21;26;14;9;7;DNC (34);28;STP (26);DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);;401;367
47;RUS 125;63;NOSOV, Konstantin / GAIDAENKO, Aleksandr;-26;18;24;17;14;16;8;4;2;2;1;9;4;1;14;;160;134
48;SLO 134;35;JANEZIC, Peter Lin / JK PRINCIC, Sebastian /;DNF (32);16;24;13;17;20;10;7;10;4;2;5;15;5;18;;198;166
49;FRA 180;36;"FREDEGUCCI, Hugo /
GUEZ, Martin / YCPR /";13;23;21;UFD (32);18;21;6;16;6;13;9;7;6;2;7;;200;168
50;GBR 234;47;GRUMMETT, James / BUDDEN, Daniel /;DNF (32);19;21;29;14;25;4;17;11;3;8;11;5;3;1;;203;171
51;NOR 888;45;MATHISEN, Tomas / MATHISEN, Mads /;27;28;19;20;12;13;1;8;3;15;11;6;2;UFD (34);9;;208;174
52;FIN 203;52;SILÉN, Victor / EBM SILÉN, Christoffer /;12;20;20;19;19;-22;19;14;1;14;6;4;9;9;10;;198;176
53;GBR 284;49;PEACH, Morgan HAWES, Rhos;21;21;23;14;10;24;3;6;12;12;4;12;16;DNC (34);2;;214;180
54;IRL 165;53;HASSETT, Mark / O'DRISCOLL, Oisin /;DNF (32);18;6;UFD (32);25;16;11;11;7;6;10;20;7;12;UFD (34);;247;213
55;EST 321;58;ROIHU, Juuso / Tallinn ROIHU, Henri / Tallinn;13;26;-30;23;22;20;7;18;13;7;13;13;18;19;3;;245;215
56;GRE 788;75;"KAMBOURIDIS,
NOUTSOS, Stylianos /";21;DSQ (32);29;26;20;12;18;12;8;8;19;23;10;8;6;;252;220
57;ITA 114;69;CAMPOLI, Edoardo CIANCHI, Lorenzo;9;9;-27;25;25;23;12;19;20;11;22;24;13;10;15;;264;237
58;FRA 551;64;NAUDY, Yannis / Cnva AUBRIOT, Virgil / Asptt;DNF (32);22;17;UFD (32);21;8;17;2;BFD (34);9;15;1;20;20;22;;272;238
59;ESP 683;76;"MAS I ROMERO, Nil /
ALEGRE, Santiago /";DNF (32);30;23;15;25;13;13;15;14;18;26;22;11;6;19;;282;250
60;SWE 181;82;ENGSTRÖM, Oscar / WESTBERG, Hugo /;-28;23;19;22;23;15;16;20;19;23;25;18;17;14;5;;287;259
61;ESP 917;77;BARRIO GARCÍA, NÚÑEZ TORRES, Fran /;DNF (32);28;27;24;22;14;15;10;15;17;12;15;12;26;23;;292;260
62;ESP 966;83;ENRIQUE, Luján Mora / ANTONIO, Torrado;25;30;9;RET (32);20;19;DNC (34);DNC (34);DNC (34);20;14;10;27;7;8;;323;289
63;SWE 100;88;MIKKOLA, Martin / HSS IHAMUOTILA, Markus /;22;16;20;-28;28;24;14;9;17;24;28;26;24;23;16;;319;291
64;ESP 800;89;BEDIA, Juan Emigdio / PEREZ, Victor / Real;30;15;18;18;22;26;21;DNC (34);18;22;21;27;28;15;26;;341;307
65;FRA 789;72;REGNAULT, Mérik / GASQUET, Aristide /;28;25;28;26;26;29;20;13;21;27;20;25;22;16;UFD (34);;360;326
66;GER 161;79;HESSE, Lukas / SEVERENS, Leon /;DNF (32);25;29;15;14;28;DNC (34);DNC (34);DNC (34);16;23;16;29;UFD (34);11;;374;340
67;GER 115;86;ROYLA, Philipp / Kieler HEINRICH, Tom /;DNF (32);29;28;17;27;25;DNC (34);DNC (34);DNC (34);21;17;19;3;22;UFD (34);;376;342
68;GER 600;93;"PIETZCKER, Paul / -
VON OPPEN, Linus / -";26;29;26;20;26;27;DNC (34);DNC (34);DNC (34);25;24;14;19;18;25;;381;347
69;NOR 242;73;AKER, Jostein / UNDRUM, Jacob /;10;27;28;23;19;25;DNC (34);DNC (34);DNC (34);DNF (34);27;21;25;UFD (34);13;;388;354
70;SUI 111;74;HAENSSLER, Max HAENSSLER, Fred;18;25;29;27;29;19;DNC (34);22;9;DNF (34);DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);;416;382
71;SWE 167;67;STÅLHEIM, Jesper / CHRISTENSSEN, Hugo;23;28;27;24;24;29;DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);;461;427
72;ESP 1151;87;GARCÍA PORTELA, FERNANDEZ FUERTES,;30;29;30;30;30;30;DNC (34);DNC (34);DNC (34);DNF (34);DNC (34);DNC (34);DNC (34);25;27;;469;435
73;SWE 121;32;WESTBERG, Hannes / TBC, Tbc / Royal;DNC (32);DNC (32);DNC (32);DNC (32);DNC (32);DNC (32);DNC (34);DNC (34);DNC (34);DNF (34);DNC (34);DNC (34);DNC (34);DNC (34);DNC (34);;498;464
