Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,Total,Nett
1,JONATHAN BRINKMANN,2301,,2.0,1.0,2.0,5.0,5.0
1,GABRIEL KONIGSFELD,1586,,4.0,3.0,1.0,8.0,8.0
2,BERTHOLD OELZE,550,,1.0,2.0,3.0,6.0,6.0
2,THOMAS W MUELLER,4784,,2.0,2.0,5.0,9.0,9.0
3,PHILIPP VAN HUSEN,3999,,5.0,4.0,1.0,10.0,10.0
3,THOMAS ENDOM,4764,,5.0,5.0,2.0,12.0,12.0
4,SEBASTIAN RODE,4415,,3.0,3.0,4.0,10.0,10.0
4,TOBIAS RECK,4846,,3.0,7.0,3.0,13.0,13.0
5,LASSE WEIGT,2692,,6.0,5.0,5.0,16.0,16.0
5,SILAS RECK,4475,,1.0,8.0,6.0,15.0,15.0
6,FABIAN SCHMITZ,1393,,11.0,1.0,4.0,16.0,16.0
6,FRANK STORCK,1540,,8.0,6.0,8.0,22.0,22.0
7,JACOBUS DEN DRIJVER,2062,,7.0,6.0,10.0,23.0,23.0
7,NICO HEISE,3664,,11.0,9.0,7.0,27.0,27.0
8,RODOLFO GALLONI,4185,,9.0,4.0,11.0,24.0,24.0
8,GUIDO BRUCH,1743,,7.0,10.0,10.0,27.0,27.0
9,MICHAEL KUBICA,3447,,6.0,9.0,9.0,24.0,24.0
9,MAX HEISE,3360,,15.0,8.0,6.0,29.0,29.0
10,MANUEL BREIHAN,3064,,10.0,10.0,7.0,27.0,27.0
10,CONSTANTIN ENGELKE,948,,4.0,17.0,9.0,30.0,30.0
11,CLEMENS HORSTMANN,915,,8.0,13.0,14.0,35.0,35.0
11,ANDREA BUSCHMANN,232,,12.0,7.0,13.0,32.0,32.0
12,LENNART GLASER,2743,,12.0,11.0,12.0,35.0,35.0
12,ANN-SOPHIE HEINRICH,289,,9.0,11.0,14.0,34.0,34.0
13,TOBIAS ZBORALSKI,4850,,14.0,14.0,8.0,36.0,36.0
13,MALIN KORNICH,3035,,13.0,12.0,12.0,37.0,37.0
14,THOMAS BRANDT,4757,,13.0,12.0,13.0,38.0,38.0
14,MAX SCHWARTING,3365,,10.0,17.0,11.0,38.0,38.0
15,CLAAS HEISE,904,,15.0,15.0,15.0,45.0,45.0
15,MORITZ HARTMER,3555,,14.0,13.0,15.0,42.0,42.0
16,CARL AMEND,727,,16.0,14.0,16.0,46.0,46.0
