Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
1,HIDDE SCHRAFFORDT,1893,,(2.0),2.0,1.0,2.0,1.0,2.0,10.0,8.0
1,LANDER BULTYNCK,2674,,1.0,2.0,(6.0),1.0,2.0,6.0,18.0,12.0
2,ARTHUR VAN DAMME,390,,2.0,(4.0),4.0,2.0,3.0,2.0,17.0,13.0
2,ANDERS BULTYNCK,215,,(26.0),4.0,2.0,1.0,2.0,1.0,36.0,10.0
3,MAX FRANK,3356,,4.0,3.0,4.0,(6.0),3.0,3.0,23.0,17.0
3,OSCAR VAN DAMME,3837,,3.0,(5.0),3.0,3.0,4.0,1.0,19.0,14.0
4,BRECHT ZWAENEPOEL,647,,3.0,5.0,3.0,4.0,(6.0),4.0,25.0,19.0
4,TOMAS GUNST,4876,,(7.0),3.0,5.0,5.0,1.0,3.0,24.0,17.0
5,MAX STIFF,3366,,5.0,7.0,8.0,3.0,5.0,(9.0),37.0,28.0
5,MICHEL MAJON,3463,,4.0,(6.0),2.0,4.0,5.0,5.0,26.0,20.0
6,PIETER VAN LAER,4024,,8.0,(13.0),9.0,8.0,4.0,5.0,47.0,34.0
6,NICOLAS DUMONCEAU,3675,,5.0,1.0,1.0,7.0,(9.0),9.0,32.0,23.0
7,BORIS DE WILDE,621,,6.0,6.0,6.0,7.0,9.0,(10.0),44.0,34.0
7,ERIC BONHOMME,1325,,(8.0),8.0,8.0,6.0,7.0,7.0,44.0,36.0
8,PIETER HUIZER,4023,,7.0,8.0,7.0,9.0,(10.0),7.0,48.0,38.0
8,RON LENSEN,4214,,6.0,7.0,7.0,8.0,10.0,(11.0),49.0,38.0
9,CANNELLE OPSTAELE,717,BEL,(12.0),10.0,11.0,5.0,8.0,8.0,54.0,42.0
9,AXEL HOLDERBEKE,424,,(10.0),9.0,9.0,9.0,8.0,4.0,49.0,39.0
10,BENOIT LEFEVERE,524,,9.0,(13.0),13.0,10.0,6.0,8.0,59.0,46.0
10,MAARTEN BOOT,2976,,1.0,1.0,5.0,(26.0),14.0,26.0,73.0,47.0
11,FLORIAN PAQUAY,1499,,(11.0),10.0,10.0,11.0,11.0,10.0,63.0,52.0
11,ALEXANDER DE BIE,116,,10.0,9.0,10.0,11.0,(12.0),12.0,64.0,52.0
12,TIM FELBER,4807,,12.0,11.0,11.0,(13.0),13.0,12.0,72.0,59.0
12,JOEP GOTTGENS,2256,,9.0,12.0,(26.0),17.0,13.0,11.0,88.0,62.0
13,JULE-JOHANNA BLANK,2377,,14.0,18.0,18.0,10.0,7.0,(26.0),93.0,67.0
14,BO MOERKERKE,600,,(17.0),14.0,13.0,13.0,15.0,13.0,85.0,68.0
15,ISABELLE DOMPAS,2019,,13.0,(19.0),12.0,12.0,19.0,15.0,90.0,71.0
16,BAS BLOKZIJL,467,,11.0,11.0,(26.0),15.0,11.0,26.0,100.0,74.0
17,ANAIS WIENEN,197,,18.0,17.0,17.0,(22.0),18.0,6.0,98.0,76.0
18,BART MEYNENDONCKX,463,,15.0,16.0,14.0,20.0,(21.0),16.0,102.0,81.0
19,YUYA LONFILS,5250,,21.0,(25.0),20.0,14.0,16.0,14.0,110.0,85.0
20,JULES COCK,2379,,16.0,15.0,16.0,(23.0),22.0,20.0,112.0,89.0
21,FELIX D URSEL,1436,,20.0,20.0,15.0,18.0,(23.0),17.0,113.0,90.0
22,PIERRE VANDECLEE,4020,,19.0,21.0,19.0,16.0,17.0,(26.0),118.0,92.0
23,LAURA BOUCKAERT,2696,,(24.0),24.0,23.0,19.0,20.0,18.0,128.0,104.0
24,VICTOR CAMBIER,5021,,22.0,22.0,21.0,21.0,(25.0),21.0,132.0,107.0
25,ALEXANDRE FRISSEN,136,,23.0,23.0,22.0,(26.0),24.0,19.0,137.0,111.0
