Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
1,CLEMENTE SEGUEL LACAMARA,922,CHI,2,2,3,2,4,2,6,(12),2,1,36,24
2,BRUNO FONTES,674,BRA,1,3,6,1,(8),1,2,4,8,3,37,29
3,STEFANO PESCHIERA,4591,PER,3,5,4,4,1,(8),5,1,3,7,41,33
4,FRANCISCO GUARAGNA RIGONAT,1529,ARG,6,1,2,6,3,5,4,(8),1,6,42,34
5,MATIAS DYCK,3304,ECU,7,8,1,3,9,(12),7,3,4,5,59,47
6,JUAN PABLO CARDOZO,2368,ARG,8,7,5,10,7,4,1,(14),7,2,65,51
7,PHILIPP GROCHTMANN,3996,BRA,5,6,(9),9,5,6,3,5,9,8,65,56
8,JUAN IGNACIO BIAVA,2359,,11,4,8,5,(12),7,12,10,11,4,84,72
9,FELIPE FRAQUELLI,1432,,4,9,7,7,2,20,10,(25),6,15,105,80
10,RENZO SANGUINETI,4135,,16,10,10,8,6,3,8,19,(35),9,124,89
11,MATHIAS REIMER,3285,,10,12,14,12,10,10,9,(15),10,10,112,97
12,GUSTAVO NASCIMENTO,1759,,9,13,16,11,16,9,11,(17),5,11,118,101
13,ERICK CARPES,1331,,13,16,12,13,13,15,(23),6,14,22,147,124
14,ANDRES CLOOS,252,,18,11,18,15,11,17,18,(30),12,14,164,134
15,STEFANO VIALE,4592,,12,15,11,18,17,16,22,9,16,(23),159,136
16,RICARDO SEGUEL LACAMARA,4141,CHI,14,(21),13,17,15,18,14,21,13,13,159,138
17,MAURO PRETTO,3351,,17,17,(19),19,18,14,15,7,15,18,159,140
18,PEDRO LEPECKI MADUREIRA,3944,,19,14,15,14,20,13,17,22,(35),17,186,151
19,MATEO MALDONADO,3270,,20,20,17,16,21,11,19,(29),17,12,182,153
20,ALEJANDRO CLOOS,89,,24,18,20,22,24,19,13,(31),18,16,205,174
21,MATIAS BLANCO,3301,,15,19,25,21,14,(27),16,27,19,19,202,175
22,SEBASTIAN LERI,4414,,23,(35),21,24,19,23,20,13,20,20,218,183
23,ANTONIO BONITO,343,,22,(24),22,20,23,22,21,20,21,21,216,192
24,STEFANO CAIAFA,4586,,21,28,26,25,22,28,25,2,(35),35,247,212
25,JUAN MARTIN OUTEIRO,2366,,30,26,32,23,26,26,24,16,24,(35),262,227
26,ENRIQUE FELIU,1317,,28,22,(31),27,27,24,26,24,25,24,258,227
27,BRUNO GRUNWALDT,677,,27,27,(30),26,25,29,27,26,22,25,264,234
28,TOMAS VARELA,4882,,29,29,29,(32),30,31,30,18,26,26,280,248
29,ANDRES RUVERTONI,255,,31,23,28,29,31,21,28,34,27,(35),287,252
30,ARIEL ZERPA,363,,32,30,27,31,29,30,29,11,(35),35,289,254
31,JUAN GRUNWALDT,2358,,26,31,33,33,32,25,(35),33,23,27,298,263
32,ARTURO MITNIK,392,,25,25,24,28,28,(35),35,28,35,35,298,263
33,MATEO VIDAL,3272,,33,32,23,30,33,32,(35),32,35,35,320,285
34,GABRIEL MARTIN,1587,,34,33,34,34,34,33,31,23,(35),35,326,291
