Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,1Q,2Q,3Q,4Q,lotilhaQ,Total,Nett
1,ERICK MARCONDES DE M.CARPES,1332,,1,1,2,1,2,9,3,2,3,O,24,15
2,LUCIA FALASCA,2914,ARG,2,1,1,1,12,4,2,4,7,O,34,22
3,GABRIELLA MARQUES KIDD,1598,,3,4,1,2,4,19,8,3,8,O,52,33
4,DOLORES MOREIRA FRASCHINI,1156,URU,4,3,3,14,5,1,5,15,2,O,52,37
5,FLORENCIA CHIARELLA SALAS,1492,,5,4,3,17,8,3,6,6,9,O,61,44
6,STEFANO ANDRE PENDOLA DE LA TORRE,4585,,4,8,8,2,15,5,12,11,4,O,69,54
7,THOMAS VIVES POTTHOFF,4783,,3,3,13,3,1,22,26,10,5,O,86,60
8,LUCIANA ANDREA CARDOZO,2916,,2,2,11,DNC,DNC,2,1,5,1,O,100,62
9,JULIAN MARIA DUARTE ARGERICH,2398,,6,7,5,9,3,14,17,13,6,O,80,63
10,FRANCISCO MAROTTA,1531,,8,7,6,5,27,6,9,19,18,O,105,78
11,JOAQUIN GALVAN,2250,,10,8,20,8,6,18,14,9,13,O,106,86
12,SOPHIE ZIMMERMANN VEJA,4557,,9,12,9,14,7,8,13,18,15,O,105,87
13,ANTONIO RIBEIRO MACHADO,344,,7,9,14,9,7,31,11,12,20,O,120,89
14,CATERINA ISABEL ROMERO AGUIRRE,784,,6,12,5,13,11,25,18,14,11,O,115,90
15,AGUSTIN GONZALEZ VILLALBA,38,,1,2,23,18,25,32,4,7,10,O,122,90
16,FRANCISCO GOMEZ,1528,,UFD,5,14,10,4,11,15,17,16,O,130,92
17,CRISTINA CASTELLANOS ESTRADA,978,,23,10,11,6,10,10,7,16,23,O,116,93
18,AGUSTINA JORDAN,43,CHI,11,10,9,4,5,16,30,21,22,O,128,98
19,"DELFINA ""DELFI! DE SETA DALLI",1081,,10,11,17,7,6,28,22,8,17,O,126,98
20,LUCAS MOMES RUIZ,2908,,14,11,15,3,12,7,19,22,33,O,136,103
21,NICOLAS CASTELARI RIVAS,3674,,8,6,22,20,2,13,20,24,12,O,127,103
22,NICO GAINSCHUK,3663,,15,9,7,5,3,20,25,25,26,O,135,109
23,MARIA GRACIA VEGAS TRIVELLI,3120,,13,19,4,12,1,12,31,31,24,O,147,116
24,FEDERICO SIEBERT FRANCAVILLA,1426,,34,31,2,4,21,DSQ,10,1,14,O,155,117
25,JOAQUIM DUARTE ARGERICH,2247,,16,20,8,7,14,26,28,26,25,O,170,142
26,FELIPE WENZEL,1434,,29,20,12,11,14,23,34,35,19,O,197,162
27,NAINA MARIA PINTO,3599,,5,6,UFD,15,17,36,32,23,31,O,203,165
28,MATEO VIDAL,3272,,13,DNC,19,22,10,27,16,29,32,O,206,168
29,FELIPE DE ROSA,1431,,22,18,27,8,16,24,33,32,21,O,201,168
30,ISABEL BUSCH,2008,ARG,12,13,UFD,24,20,21,21,28,30,O,207,169
31,NICOLAS CASSESE,3673,,19,15,10,18,19,33,35,30,28,O,207,172
32,FELIPE ALVES TELES REVOREDO LIMA,1429,,19,DNC,4,23,8,29,29,33,27,O,210,172
33,PEDRO RODRIGUEZ REYNOSO,3948,,7,17,10,27,DSQ,34,24,20,34,O,211,173
34,JUAN PABLO CAROSI WARBURG,2369,,25,22,16,10,15,15,36,36,35,O,210,174
35,ARIEL ZERPA,363,,21,16,17,15,18,35,27,27,37,O,213,176
36,SANTIAGO GUINAND,4328,,31,28,16,11,9,30,23,34,29,O,211,177
37,AGNESE CAIAFA,33,,DNC,DNC,13,6,9,17,37,37,36,O,231,193
38,ROGER TORRES,4193,,16,13,6,UFD,UFD,8,5,1,1,P,126,88
39,BENJAMIN GALVAN,508,,12,17,22,29,23,7,4,5,4,P,123,94
40,TOMAS BODETTO,4873,,14,21,26,21,19,17,2,2,5,P,127,101
41,MANUEL CADARSO,3065,,28,14,7,28,TLE,1,9,TLE,2,P,149,115
42,ANDRES FONTAN,253,,20,22,12,19,22,16,11,6,10,P,138,116
43,SOFIA ALEJANDRA D'AGOSTINO,4523,,18,14,DSQ,12,27,4,1,4,UFD,P,156,118
