Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,THORSTEN WYK,4791,,(1.0),1.0,1.0,1.0,1.0,5.0,4.0
1,SILAS RECK,4475,,(5.0),2.0,3.0,1.0,1.0,12.0,7.0
2,ALEXANDRA BEHRENS,129,,(3.0),2.0,2.0,2.0,2.0,11.0,8.0
2,THOMAS W MUELLER,4784,,1.0,3.0,2.0,(6.0),2.0,14.0,8.0
3,UWE CLAASEN,4948,,2.0,3.0,(4.0),4.0,4.0,17.0,13.0
3,LEAN HOHENLOCHTER,2722,,6.0,1.0,1.0,4.0,(7.0),19.0,12.0
4,RUDOLF FREUND,4236,,(6.0),5.0,5.0,3.0,3.0,22.0,16.0
4,TOBIAS RECK,4846,,2.0,(8.0),5.0,3.0,3.0,21.0,13.0
5,LUTZ HIRSCH,2967,,3.0,5.0,6.0,(7.0),5.0,26.0,19.0
5,BIRGIT RIEMANN,579,,4.0,4.0,3.0,5.0,(6.0),22.0,16.0
6,JULIUS STOLTE,2419,,4.0,6.0,(13.0),5.0,4.0,32.0,19.0
6,WOLFGANG FUSS,5160,,(7.0),6.0,7.0,6.0,5.0,31.0,24.0
7,AMIR HEINISCH,189,,7.0,7.0,9.0,(10.0),7.0,40.0,30.0
7,JUERGEN LEMKE,2373,,5.0,10.0,(14.0),14.0,14.0,57.0,43.0
8,STEFAN MAGNEI,4581,,(26.0),4.0,7.0,11.0,10.0,58.0,32.0
8,JENS BRELLE,2172,,8.0,10.0,(14.0),14.0,14.0,60.0,46.0
9,FRANK HOHMANN,1538,,(14.0),11.0,4.0,8.0,9.0,46.0,32.0
9,LENNART SEEBURG,2746,,11.0,10.0,(14.0),14.0,14.0,63.0,49.0
10,ERIK FINN JOHANNES PITZNER,1336,,13.0,9.0,(15.0),2.0,14.0,53.0,38.0
10,CHRISTOPH VON WOEDTKE,889,,11.0,(14.0),14.0,14.0,14.0,67.0,53.0
11,JACQUELINE RECKZIEGEL,2070,,(14.0),14.0,14.0,14.0,14.0,70.0,56.0
11,JOSHUA BAIER,2347,,(14.0),14.0,14.0,14.0,14.0,70.0,56.0
11,PETER KOLOSKE,3971,,(14.0),14.0,14.0,14.0,14.0,70.0,56.0
11,CARSTEN JUNGCLAUSSEN,768,,10.0,(13.0),8.0,9.0,11.0,51.0,38.0
12,FRANK WEICHBRODT,1543,,11.0,10.0,11.0,(13.0),8.0,53.0,40.0
13,MARKUS MULLER,3192,,9.0,14.0,12.0,(20.0),20.0,75.0,55.0
14,MATTES WEICHBRODT,3325,,12.0,(18.0),18.0,12.0,13.0,73.0,55.0
15,MIKA DURAU,3476,,8.0,16.0,16.0,16.0,(18.0),74.0,56.0
16,CLEMENS STAFFELT,918,,23.0,12.0,10.0,(25.0),13.0,83.0,58.0
17,DIRK FLATHMANN,1142,,17.0,(26.0),19.0,14.0,17.0,93.0,67.0
18,JAN LAUBER,2117,,(22.0),20.0,14.0,19.0,15.0,90.0,68.0
19,"TILL NI, ESSNER",4801,,19.0,17.0,17.0,(22.0),16.0,91.0,69.0
20,FINN HEEG,1473,,16.0,15.0,20.0,21.0,(22.0),94.0,72.0
21,FABIAN SCHMITZ,1393,,18.0,19.0,(23.0),15.0,21.0,96.0,73.0
22,MARCUS ANDERER,3092,,(24.0),23.0,21.0,17.0,19.0,104.0,80.0
23,ROLAND GOSDA,4202,,15.0,21.0,25.0,24.0,(27.0),112.0,85.0
24,CHRISTIAN WERBLOW,879,,21.0,(32.0),24.0,18.0,23.0,118.0,86.0
25,JAN-GERD KROGER,2124,,(28.0),22.0,22.0,23.0,24.0,119.0,91.0
26,THEODOR REINISCH,4744,,(30.0),24.0,26.0,26.0,25.0,131.0,101.0
27,OLLI KROGLER,3814,,25.0,25.0,(34.0),34.0,34.0,152.0,118.0
28,GOETZ MODERSITZKI,1696,,20.0,32.0,(34.0),34.0,34.0,154.0,120.0
29,SVEN KOHLWAGE,4648,,27.0,32.0,(34.0),34.0,34.0,161.0,127.0
30,THOMAS NABBEFELD,4772,,29.0,32.0,(34.0),34.0,34.0,163.0,129.0
31,HARTMUT PAPENTHIN,1821,,31.0,32.0,(34.0),34.0,34.0,165.0,131.0
32,RAMDAS WEICHERT,4096,,33.0,(34.0),34.0,34.0,34.0,169.0,135.0
33,JOHANNES HIORT,2269,,(34.0),34.0,34.0,34.0,34.0,170.0,136.0
