Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,Total,Nett
1,FRANZ LASCH,1546,,2.0,1.0,1.0,-,4.0,4.0
1,MARINO RYCHLITZKI,3164,,(1.0),1.0,1.0,1.0,4.0,3.0
2,MAINART KUPFER,3016,,(2.0),2.0,2.0,2.0,8.0,6.0
2,VICTOR HENSEL,5023,,1.0,2.0,2.0,-,5.0,5.0
3,SIMON STRACKOW,4498,,3.0,3.0,3.0,-,9.0,9.0
4,DAVID BUCHLER,1050,,5.0,4.0,4.0,-,13.0,13.0
5,LENA MARIE FISCHER,2740,,4.0,5.0,6.0,-,15.0,15.0
6,GEORG GRAW,1628,,6.0,6.0,5.0,-,17.0,17.0
7,FELIX MINEUR,1438,,9.0,8.0,8.0,-,25.0,25.0
8,LEON PFAFF,2756,,7.0,12.0,7.0,-,26.0,26.0
9,MORITZ FISCHER,3554,,10.0,9.0,9.0,-,28.0,28.0
10,JESSICA HERRMANN,2197,,12.0,7.0,12.0,-,31.0,31.0
11,IAN STEIGUBER,1962,,8.0,10.0,13.0,-,31.0,31.0
12,MALIK BRETT,3031,,16.0,11.0,11.0,-,38.0,38.0
13,SANTINO LEIBIK,4335,,13.0,13.0,14.0,-,40.0,40.0
14,LUISE JOHN,2937,,19.0,15.0,10.0,-,44.0,44.0
15,JAN PUTZIER,2121,,11.0,19.0,15.0,-,45.0,45.0
16,MARC MESSERLI,3073,,15.0,14.0,16.0,-,45.0,45.0
17,TONI SCHMIDT,4905,,14.0,17.0,17.0,-,48.0,48.0
18,EMILIA BAYER,1288,,17.0,20.0,18.0,-,55.0,55.0
19,ARTHUR FROMM,388,,18.0,18.0,20.0,-,56.0,56.0
20,"JARI M, USSBACH",2141,,22.0,16.0,19.0,-,57.0,57.0
21,JESSICA WEBER,2198,,23.0,21.0,21.0,-,65.0,65.0
22,SOREN HAMPEL,4559,,20.0,23.0,25.0,-,68.0,68.0
23,ANNA-KATHARINA SCHMOLZER SCHMOLZER,309,,21.0,24.0,25.0,-,70.0,70.0
24,HENRIETTE SCHADE,1869,,24.0,22.0,25.0,-,71.0,71.0
