Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,PIETER VAN LAER,4024,,1.0,(8.0),2.0,2.0,3.0,16.0,8.0
1,BRETT BEYER,651,,(31.0),1.0,2.0,1.0,1.0,36.0,5.0
2,IAN JONES,1960,,4.0,(5.0),1.0,5.0,1.0,16.0,11.0
2,ALAN DAVIS,68,,(4.0),3.0,3.0,2.0,2.0,14.0,10.0
3,SEBASTIEN BAUDIER,4417,,6.0,6.0,(15.0),3.0,2.0,32.0,17.0
3,WOUTER DUETZ,5168,,1.0,4.0,(29.0),4.0,3.0,41.0,12.0
4,NICOLAS DUMONCEAU,3675,,3.0,2.0,(20.0),8.0,7.0,40.0,20.0
4,CESAR SIERHUIS,806,,3.0,3.0,(17.0),8.0,4.0,35.0,18.0
5,MARKUS OCHS,3193,,(9.0),9.0,6.0,5.0,6.0,35.0,26.0
5,JACK DE RIJK,2040,,5.0,2.0,5.0,7.0,(13.0),32.0,19.0
6,MICHEL MAJON,3463,,5.0,8.0,(19.0),6.0,8.0,46.0,27.0
6,THORSTEN WYK,4791,,(7.0),4.0,4.0,6.0,5.0,26.0,19.0
7,ANDERS NILSSON,218,,8.0,6.0,10.0,(31.0),9.0,64.0,33.0
7,TERRY SCUTCHER,4719,,2.0,1.0,(11.0),10.0,11.0,35.0,24.0
8,ALBERT KOOIJMAN,73,,6.0,11.0,8.0,10.0,(19.0),54.0,35.0
8,MARTIN VAN OLFFEN,3235,,8.0,7.0,3.0,9.0,(14.0),41.0,27.0
9,KIM TAN,2569,,(24.0),9.0,14.0,1.0,10.0,58.0,34.0
9,SANDER VAN DOORN,4314,,10.0,5.0,11.0,(19.0),11.0,56.0,37.0
10,STEPHEN GUNTHER,4608,AUS,(31.0),10.0,13.0,17.0,4.0,75.0,44.0
10,GEORG GRAW,1628,,10.0,11.0,10.0,4.0,(17.0),52.0,35.0
11,WILMAR GROENENDIJK,5151,,9.0,10.0,7.0,(13.0),9.0,48.0,35.0
11,RIK WOLTERS,4154,,(31.0),31.0,1.0,3.0,10.0,76.0,45.0
12,BART MEYNENDONCKX,463,,(12.0),12.0,8.0,12.0,8.0,52.0,40.0
12,MARTIJN OZINGA,3222,,(31.0),7.0,21.0,14.0,5.0,78.0,47.0
13,THOMAS LEUKEL,4769,,11.0,(24.0),12.0,15.0,6.0,68.0,44.0
13,DAVID HARTGILL,1057,,7.0,12.0,(24.0),20.0,17.0,80.0,56.0
14,ROY BRUIN,4227,,11.0,14.0,4.0,(31.0),31.0,91.0,60.0
14,NATHALIE GUNST,3615,,(24.0),13.0,9.0,11.0,18.0,75.0,51.0
15,STEFAN MAGNEI,4581,,(31.0),31.0,7.0,15.0,12.0,96.0,65.0
15,ALICE VIRGINIA GRASSI,154,,(24.0),24.0,6.0,18.0,7.0,79.0,55.0
16,DIRMA EISENGA,1144,,13.0,14.0,(18.0),14.0,15.0,74.0,56.0
16,WILKE RUITER,5127,,13.0,(31.0),14.0,18.0,21.0,97.0,66.0
17,GILLES GRENIER,1666,,(31.0),31.0,5.0,13.0,20.0,100.0,69.0
17,AGNES BOMER,32,,(24.0),24.0,13.0,21.0,12.0,94.0,70.0
18,JACQUES PERRET,2071,,(24.0),24.0,19.0,16.0,16.0,99.0,75.0
18,ERIC BONHOMME,1325,,(31.0),31.0,18.0,7.0,16.0,103.0,72.0
19,IAN RAWET,1961,,(24.0),24.0,16.0,20.0,20.0,104.0,80.0
19,BAREND-JAN BINKHORST,450,,12.0,13.0,17.0,(31.0),31.0,104.0,73.0
20,CLAUDINE TATIBOUET,912,,(24.0),24.0,21.0,17.0,19.0,105.0,81.0
20,MARTIN BINNENDIJK,3225,,14.0,(31.0),23.0,23.0,13.0,104.0,73.0
21,HANS MEIJER,1804,,(31.0),31.0,22.0,12.0,14.0,110.0,79.0
21,MARTIJN VAN DIJK,3223,,(24.0),24.0,22.0,22.0,21.0,113.0,89.0
22,SIJP TE WITT,4473,,(24.0),24.0,23.0,19.0,24.0,114.0,90.0
22,NICOLAS VAN TIENEN,3683,,(31.0),31.0,25.0,9.0,15.0,111.0,80.0
23,JAN LAUBER,2117,,(31.0),31.0,9.0,21.0,22.0,114.0,83.0
23,BARBARA SCHOL,446,,(24.0),24.0,20.0,24.0,24.0,116.0,92.0
24,FRANK MEIJER,1539,,(31.0),31.0,15.0,16.0,23.0,116.0,85.0
25,MICHEL ROCHE,3465,,(31.0),31.0,28.0,11.0,24.0,125.0,94.0
26,THOMAS W MUELLER,4784,,2.0,(31.0),31.0,31.0,31.0,126.0,95.0
27,NICOLAU HIMMEL,3684,,(31.0),31.0,26.0,22.0,18.0,128.0,97.0
28,BENOIT LEFEVERE,524,,(31.0),31.0,16.0,31.0,25.0,134.0,103.0
29,RENE VAN RIJN,4129,,(31.0),31.0,12.0,31.0,31.0,136.0,105.0
30,MICHAEL SCARDAVILLE,3454,,(31.0),31.0,27.0,31.0,26.0,146.0,115.0
