Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,Total,Nett
1,FELIX REITH,1439,,5.0,1.0,1.0,7.0,7.0
2,ROBERT STRENZ,4174,,3.0,3.0,2.0,8.0,8.0
3,THOMAS DEIMLING,4763,,4.0,2.0,4.0,10.0,10.0
4,STEFFEN POHLMANN,4595,,2.0,5.0,5.0,12.0,12.0
5,WOLFGANG NIESSEN,5162,,1.0,6.0,6.0,13.0,13.0
6,ROBERT FINK,4169,,9.0,4.0,3.0,16.0,16.0
7,GERHARD WEIDLICH,1648,,6.0,8.0,8.0,22.0,22.0
8,IVO BAUER,2032,,8.0,7.0,7.0,22.0,22.0
9,THOMAS SEEGER,4778,,7.0,9.0,9.0,25.0,25.0
10,DIETER LANGEN,1128,,10.0,12.0,12.0,34.0,34.0
11,HARTMUT DREXEL,1820,,11.0,12.0,12.0,35.0,35.0
