Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
1,MATTIVI EMMA,3346,,6.0,10.0,9.0,1.0,1.0,1.0,1.0,(35.0),16.0,-,80.0,45.0
1,BORIO ATTILIO,620,,1.0,4.0,(32.0),13.0,2.0,1.0,14.0,8.0,11.0,2.0,88.0,56.0
2,ELLIOTT-SHIRCORE STEFAN,1269,,6.0,1.0,3.0,4.0,16.0,12.0,(42.0),5.0,4.0,16.0,109.0,67.0
2,ARSENI MARIA VITTORIA,378,,4.0,16.0,4.0,4.0,7.0,(24.0),10.0,5.0,1.0,-,75.0,51.0
3,SAVELLI SARA,4370,,8.0,13.0,5.0,(20.0),2.0,11.0,3.0,9.0,2.0,-,73.0,53.0
3,GIACOMONI PIETRO,1658,,7.0,9.0,3.0,(30.0),8.0,2.0,13.0,22.0,3.0,4.0,101.0,71.0
4,WIND ROOS,5154,,2.0,11.0,2.0,15.0,4.0,5.0,(31.0),14.0,3.0,-,87.0,56.0
4,TANFERNA ENRICO,4686,,3.0,12.0,1.0,2.0,19.0,4.0,(23.0),9.0,18.0,7.0,98.0,75.0
5,MADONICH OSKAR,2988,,9.0,8.0,9.0,21.0,3.0,14.0,9.0,(70.0),5.0,11.0,159.0,89.0
5,MARTINEZ MARIA,3247,,21.0,6.0,(29.0),5.0,9.0,2.0,9.0,4.0,4.0,-,89.0,60.0
6,BERTACCHI MATTEO,548,,5.0,18.0,(37.0),4.0,1.0,16.0,5.0,11.0,22.0,10.0,129.0,92.0
6,RIZZARDI CARLOTTA,4164,,3.0,2.0,7.0,2.0,13.0,9.0,18.0,(20.0),14.0,-,88.0,68.0
7,DICKINSON FINLEY,1116,,2.0,14.0,2.0,2.0,12.0,1.0,16.0,(41.0),26.0,18.0,134.0,93.0
7,NIEZABITOWSKA LILLY MAY,3696,,(23.0),12.0,17.0,9.0,12.0,10.0,6.0,2.0,13.0,-,104.0,81.0
8,COSTANDI DANIEL,963,,3.0,16.0,14.0,3.0,10.0,10.0,17.0,1.0,(61.0),21.0,156.0,95.0
8,MARENDIC PETRA,3101,,12.0,(34.0),14.0,11.0,17.0,13.0,25.0,6.0,7.0,-,139.0,105.0
9,MIDDELTHON THEODOR,3468,,2.0,3.0,5.0,15.0,10.0,4.0,2.0,(72.0),33.0,28.0,174.0,102.0
9,HEEGAARD JOSEPHINE,1847,,5.0,9.0,6.0,47.0,10.0,4.0,(74.0),1.0,27.0,-,183.0,109.0
10,ALGRA ANNEMIJN,146,,9.0,(44.0),8.0,21.0,8.0,23.0,2.0,24.0,21.0,-,160.0,116.0
10,OLSZEWSKI FILIP,3816,,11.0,10.0,11.0,17.0,(76.0),17.0,15.0,18.0,15.0,5.0,195.0,119.0
11,CONRADI PIA,946,,7.0,4.0,15.0,(74.0),14.0,8.0,19.0,43.0,6.0,-,190.0,116.0
11,NORLEN ERIK,3762,,12.0,7.0,18.0,21.0,22.0,9.0,4.0,2.0,(44.0),25.0,164.0,120.0
12,LUKOYANOVA ALEXANDRA,2964,,1.0,1.0,3.0,14.0,(24.0),74.0,4.0,15.0,5.0,-,141.0,117.0
12,WOLGRAM KAI,5164,,1.0,5.0,1.0,30.0,4.0,3.0,32.0,3.0,(59.0),41.0,179.0,120.0
13,LUBAC THEA,2894,,10.0,14.0,18.0,18.0,20.0,26.0,(28.0),19.0,9.0,-,162.0,134.0
13,GARMPIS LAMPROS NIKOLAOS,1611,,23.0,4.0,15.0,9.0,1.0,11.0,35.0,24.0,(49.0),1.0,172.0,123.0
14,THOMMEN MAXIME,4786,,10.0,16.0,4.0,5.0,7.0,8.0,18.0,49.0,(77.0),8.0,202.0,125.0
14,ESCUDERO AMAYA,1354,,11.0,15.0,1.0,31.0,36.0,25.0,5.0,(46.0),12.0,-,182.0,136.0
15,WANSER TILL,5090,,14.0,17.0,10.0,5.0,13.0,(76.0),3.0,25.0,25.0,17.0,205.0,129.0
15,SOBCZAK KLARA,4519,,15.0,7.0,27.0,(30.0),16.0,12.0,23.0,26.0,17.0,-,173.0,143.0
16,EYRIPARMAK UMUT,1388,,6.0,15.0,19.0,10.0,3.0,(40.0),12.0,10.0,32.0,26.0,173.0,133.0
16,ADAN LLEDO CLAUDIA,15,,31.0,21.0,12.0,7.0,6.0,14.0,16.0,(74.0),38.0,-,219.0,145.0
17,KOWALSKI MARTIN,2622,,8.0,2.0,6.0,29.0,14.0,2.0,(77.0),30.0,41.0,13.0,222.0,145.0
17,RASZKA DOMINIKA,4108,,25.0,5.0,16.0,52.0,3.0,3.0,26.0,(62.0),19.0,-,211.0,149.0
18,REIMER MATHIAS,4121,,23.0,1.0,12.0,3.0,6.0,16.0,6.0,39.0,(54.0),50.0,210.0,156.0
18,SZULC LAURA,4660,,27.0,18.0,22.0,13.0,22.0,7.0,17.0,(31.0),29.0,-,186.0,155.0
19,SASSI ANATOL,4366,,10.0,14.0,13.0,1.0,41.0,3.0,39.0,(69.0),19.0,19.0,228.0,159.0
19,PORTOLOU VARVARA,4058,,32.0,19.0,21.0,12.0,(55.0),15.0,11.0,12.0,33.0,-,210.0,155.0
20,ARIKAN OKYANUS,365,,18.0,30.0,26.0,3.0,18.0,28.0,24.0,10.0,(42.0),-,199.0,157.0
20,VAN DER VALK STIJN,4983,,17.0,10.0,31.0,12.0,4.0,35.0,7.0,21.0,(43.0),33.0,213.0,170.0
21,MENDOZA CABEZAS ISABELLA,3425,,13.0,3.0,25.0,23.0,37.0,16.0,34.0,(65.0),8.0,-,224.0,159.0
21,MOTTE BAUDOUIN,3565,,9.0,5.0,6.0,22.0,5.0,6.0,31.0,55.0,40.0,(77.0),256.0,179.0
22,PAPENTHIN GESA,3877,,22.0,31.0,32.0,(49.0),5.0,18.0,21.0,7.0,35.0,-,220.0,171.0
22,MAGER JONAS M,3001,,29.0,30.0,14.0,18.0,7.0,(41.0),33.0,13.0,12.0,24.0,221.0,180.0
23,KRASODOMSKI MICHAL,2625,,20.0,7.0,11.0,38.0,15.0,15.0,19.0,(51.0),45.0,12.0,233.0,182.0
23,WOLFF HELENA,5159,,(74.0),8.0,19.0,34.0,11.0,31.0,7.0,57.0,10.0,-,251.0,177.0
24,ANTONIAZZI MASSIMILIANO,341,,22.0,29.0,40.0,7.0,8.0,43.0,11.0,4.0,24.0,(68.0),256.0,188.0
