Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,Total,Nett
1,"PETER BURLING, BLAIR TUKE",3968,,1.0,1.0,2.0,1.0,3.0,1.0,(6.0),1.0,1.0,1.0,6.0,1.0,3.0,(17.0),2.0,15.0,2.0,4.0,2.0,70.0,47.0
1,"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",2166,DEN,4.0,7.0,4.0,(11.0),5.0,8.0,4.0,1.0,7.0,7.0,2.0,4.0,1.0,(31.0),19.0,4.0,2.0,1.0,4.0,126.0,84.0
2,"NATHAN OUTTERIDGE, IAIN JENSEN",3617,AUS,4.0,7.0,1.0,2.0,11.0,(15.0),1.0,5.0,4.0,4.0,5.0,9.0,1.0,(16.0),11.0,2.0,12.0,10.0,18.0,138.0,107.0
2,"GIULIA CONTI, FRANCESCA CLAPCICH",1686,,3.0,2.0,2.0,2.0,8.0,6.0,1.0,1.0,(9.0),2.0,6.0,7.0,2.0,(25.0),8.0,8.0,7.0,11.0,10.0,120.0,86.0
3,"DIEGO BOTIN, IAGO LOPEZ MARRA",1125,,2.0,10.0,13.0,9.0,2.0,(27.0),23.0,4.0,7.0,14.0,4.0,4.0,(23.0),8.0,6.0,4.0,6.0,5.0,8.0,179.0,129.0
3,"TAMARA ECHEGOYEN, BERTA BETANZOS",4677,,(16.0),1.0,1.0,4.0,6.0,10.0,1.0,4.0,1.0,3.0,7.0,1.0,7.0,(21.0),15.0,10.0,11.0,13.0,6.0,138.0,101.0
4,"NICO LUCA MARC DELLE KARTH, NIKOLAUS LEOPOLD RESCH",3665,,1.0,7.0,2.0,3.0,15.0,3.0,3.0,(16.0),9.0,(15.0),12.0,11.0,6.0,4.0,4.0,14.0,3.0,15.0,20.0,163.0,132.0
4,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",5034,ARG,3.0,3.0,5.0,3.0,4.0,3.0,(14.0),2.0,3.0,6.0,(20.0),9.0,8.0,6.0,5.0,7.0,8.0,12.0,14.0,135.0,101.0
5,"JOHN PINK, STUART BITHELL",2282,,7.0,1.0,(20.0),6.0,1.0,2.0,8.0,4.0,6.0,13.0,10.0,14.0,11.0,10.0,10.0,(26.0),10.0,21.0,6.0,186.0,140.0
5,"ALEXANDRA MALONEY, MOLLY MEECH",130,NZL,1.0,4.0,4.0,5.0,5.0,11.0,2.0,(12.0),1.0,20.0,(22.0),6.0,4.0,2.0,4.0,6.0,9.0,2.0,20.0,140.0,106.0
6,"WILL PHILLIPS, SAM PHILLIPS",5133,AUS,5.0,6.0,4.0,11.0,9.0,(20.0),8.0,3.0,11.0,5.0,13.0,6.0,14.0,(21.0),15.0,17.0,4.0,12.0,4.0,188.0,147.0
6,"ANNEMIEK BEKKERING, ANNETTE DUETZ",321,NED,1.0,1.0,1.0,1.0,7.0,8.0,11.0,(20.0),20.0,1.0,1.0,3.0,18.0,(26.0),7.0,5.0,3.0,17.0,12.0,163.0,117.0
7,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,5.0,14.0,10.0,10.0,(16.0),1.0,10.0,2.0,9.0,2.0,(24.0),7.0,7.0,24.0,8.0,9.0,11.0,17.0,14.0,200.0,160.0
7,"NINA KEIJZER, CLAIRE BLOM",3731,NED,2.0,6.0,3.0,4.0,7.0,4.0,9.0,(11.0),2.0,10.0,4.0,2.0,13.0,(30.0),17.0,18.0,10.0,7.0,16.0,175.0,134.0
8,"JULIA GROSS, CECILIA JONSSON",2388,SWE,5.0,3.0,(8.0),3.0,3.0,5.0,5.0,3.0,2.0,(21.0),13.0,19.0,14.0,1.0,14.0,12.0,6.0,19.0,8.0,164.0,135.0
8,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,6.0,4.0,5.0,6.0,5.0,7.0,2.0,13.0,(16.0),18.0,19.0,(21.0),10.0,19.0,7.0,6.0,14.0,11.0,10.0,199.0,162.0
9,"CHARLOTTE DOBSON, SOPHIE AINSWORTH",825,GBR,5.0,8.0,2.0,(11.0),1.0,2.0,3.0,5.0,8.0,8.0,9.0,11.0,11.0,24.0,12.0,(28.0),20.0,5.0,2.0,175.0,136.0
9,"JONAS WARRER, CHRISTIAN PETER STEPHENSEN LUBECK",2294,DEN,2.0,8.0,3.0,2.0,9.0,(24.0),10.0,2.0,15.0,10.0,1.0,16.0,2.0,20.0,21.0,(26.0),26.0,3.0,12.0,212.0,162.0
10,"TINA LUTZ, SUSANN BEUCKE",4826,GER,2.0,6.0,3.0,1.0,9.0,1.0,10.0,3.0,(14.0),5.0,8.0,8.0,22.0,(28.0),16.0,17.0,5.0,4.0,18.0,180.0,138.0
10,"JULIEN , D'ORTOLI, NOE DELPECH",2410,,3.0,8.0,(18.0),18.0,13.0,2.0,7.0,7.0,4.0,3.0,17.0,(23.0),12.0,7.0,22.0,3.0,13.0,9.0,16.0,205.0,164.0
11,"ERICA DAWSON, ELLIE COPELAND",1328,,10.0,9.0,9.0,7.0,(15.0),11.0,2.0,4.0,10.0,4.0,(28.0),25.0,10.0,4.0,1.0,19.0,12.0,10.0,-,190.0,147.0
11,"PAVLE KOSTOV, PETAR CUPAC",3931,CRO,21.0,3.0,1.0,14.0,19.0,(22.0),4.0,15.0,10.0,9.0,8.0,13.0,13.0,6.0,9.0,5.0,(21.0),6.0,-,199.0,156.0
12,"JAMES PETERS, FYNN STERRITT",2107,GBR,3.0,3.0,8.0,(17.0),14.0,8.0,1.0,1.0,7.0,8.0,11.0,18.0,20.0,11.0,(23.0),16.0,17.0,18.0,-,204.0,164.0
12,"ANDREA BREWSTER, SASKIA TIDEY",231,IRL,(20.0),9.0,12.0,5.0,14.0,12.0,8.0,8.0,11.0,16.0,11.0,(27.0),9.0,10.0,22.0,2.0,1.0,3.0,-,200.0,153.0
13,"RUGGERO TITA, PIETRO ZUCCHETTI",4242,ITA,14.0,9.0,12.0,14.0,12.0,(23.0),4.0,8.0,20.0,6.0,2.0,(20.0),8.0,1.0,20.0,8.0,16.0,16.0,-,213.0,170.0
13,"PARIS HENKEN, HELENA SCUTT",3881,USA,7.0,15.0,(17.0),7.0,11.0,9.0,5.0,2.0,5.0,18.0,5.0,5.0,21.0,19.0,29.0,3.0,(38.0),8.0,-,224.0,169.0
14,"CARL P SYLVAN, MARCUS ANJEMARK",732,SWE,7.0,19.0,16.0,4.0,26.0,(29.0),20.0,9.0,3.0,12.0,7.0,10.0,4.0,(22.0),18.0,18.0,1.0,1.0,-,226.0,175.0
14,"TESS LLOYD, CAITLIN ELKS",4721,AUS,6.0,4.0,5.0,6.0,(10.0),3.0,10.0,5.0,8.0,13.0,12.0,10.0,17.0,13.0,20.0,14.0,(23.0),23.0,-,202.0,169.0
15,"DYLAN FLETCHE, R-SCOTT, ALAIN SIGN",1188,,18.5,(24.0),13.0,7.0,4.0,15.0,15.0,6.0,8.0,(21.0),14.0,3.0,21.0,15.0,19.0,7.0,15.0,2.0,-,227.5,182.5
15,"RAGNA AGERUP, MAIA AGERUP",4093,NOR,7.0,2.0,6.0,(8.0),2.0,2.0,6.0,7.0,5.0,24.0,14.0,20.0,23.0,(29.0),24.0,16.0,4.0,9.0,-,208.0,171.0
16,"YAGO LANGE, KLAUS LANGE",5194,,18.0,18.0,4.0,(31.0),2.0,27.0,17.0,14.0,3.0,(26.0),3.0,2.0,9.0,9.0,14.0,26.0,9.0,8.0,-,240.0,183.0
16,"GRISELDA KHNG, SARA TAN",1727,SIN,9.0,5.0,(10.0),10.0,2.0,7.0,8.0,7.0,3.0,(27.0),19.0,21.0,6.0,11.0,9.0,13.0,24.0,18.0,-,209.0,172.0
17,"JACOPO PLAZZI, UMBERTO MOLINERIS",2068,ITA,16.0,18.0,23.0,1.0,8.0,(25.0),6.0,12.0,13.0,11.0,20.0,8.0,(24.0),12.0,5.0,19.0,5.0,7.0,-,233.0,184.0
17,"OLIVIA PRICE, ELIZA SOLLY",3812,AUS,14.0,11.0,7.0,2.0,13.0,13.0,(15.0),15.0,6.0,9.0,3.0,15.0,3.0,15.0,25.0,11.0,(38.0),14.0,-,229.0,176.0
18,"LAURA SCHOFEGGER, ELSA LOVREK",2709,AUT,15.0,10.0,9.0,9.0,1.0,7.0,3.0,(16.0),12.0,15.0,21.0,16.0,16.0,8.0,11.0,20.0,(26.0),20.0,-,235.0,193.0
18,"STEFANO CHERIN, ANDREA TESEI",4588,ITA,(27.0),5.0,18.0,15.0,21.0,3.0,2.0,19.0,20.0,16.0,15.0,12.0,(17.0),3.0,1.0,13.0,8.0,14.0,-,229.0,185.0
19,"LOGAN DUNNING BECK, JACK SIMPSON",2859,,9.0,11.0,17.0,15.0,(37.0),10.0,5.0,21.0,14.0,7.0,9.0,5.0,19.0,2.0,17.0,(26.0),7.0,20.0,-,251.0,188.0
19,"NOORA RUSKOLA, CAMILLA CEDERCREUTZ",3755,FIN,8.0,(11.0),7.0,8.0,3.0,6.0,7.0,6.0,9.0,14.0,15.0,(29.0),15.0,17.0,10.0,27.0,18.0,24.0,-,234.0,194.0
20,"JULE GORGE, LOTTA GORGE",2376,GER,4.0,7.0,8.0,6.0,(16.0),14.0,9.0,9.0,7.0,12.0,17.0,23.0,5.0,27.0,30.0,9.0,16.0,(38.0),-,257.0,203.0
20,"DAVID GILMOUR, LEWIS BRAKE",1055,AUS,(23.0),5.0,8.0,20.0,10.0,5.0,21.0,9.0,6.0,17.0,(23.0),17.0,15.0,13.0,13.0,1.0,18.0,23.0,-,247.0,201.0
21,"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",4929,ITA,4.0,9.0,3.0,23.0,11.0,(28.0),13.0,3.0,18.0,(23.0),21.0,15.0,5.0,18.0,12.0,11.0,20.0,22.0,-,259.0,208.0
21,"ANN KRISTIN WEDEMEYER, LEONIE MEYER",287,,13.0,(17.0),10.0,15.0,12.0,13.0,4.0,11.0,14.0,23.0,(31.0),24.0,25.0,14.0,13.0,1.0,17.0,6.0,-,263.0,215.0
22,"JUDGE RYAN, HANS HENKEN",2371,USA,8.0,29.0,(30.0),4.0,3.0,16.0,14.0,24.0,5.0,20.0,22.0,(24.0),16.0,5.0,16.0,10.0,22.0,13.0,-,281.0,227.0
22,"ERIN RAFUSE, DANIELLE BOYD",1346,CAN,9.0,5.0,12.0,(16.0),11.0,16.0,15.0,14.0,4.0,11.0,10.0,13.0,12.0,22.0,21.0,24.0,(38.0),22.0,-,275.0,221.0
23,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,6.0,13.0,(15.0),9.0,9.0,10.0,7.0,6.0,4.0,17.0,26.0,14.0,20.0,23.0,18.0,21.0,19.0,(38.0),-,275.0,222.0
23,"CARLOS ROBLES LORENTE, TREVOR BURD",749,,19.0,11.0,15.0,3.0,5.0,11.0,5.0,(27.0),11.0,19.0,16.0,19.0,18.0,14.0,24.0,(26.0),19.0,19.0,-,281.0,228.0
24,"LUCAS RUAL, CLEMENT PEQUIN",2910,FRA,12.0,15.0,12.0,(19.0),12.0,8.0,9.0,16.0,18.0,(24.0),18.0,22.0,22.0,23.0,3.0,12.0,23.0,24.0,-,292.0,249.0
24,"KIMBERLY LIM, CECILIA LOW",2573,SGP,8.0,12.0,14.0,13.0,4.0,1.0,13.0,10.0,(20.0),22.0,25.0,(38.0),24.0,5.0,2.0,29.0,38.0,28.0,-,306.0,248.0
25,"FEDERICO ALONSO, ARTURO ALONSO TELLECHEA",1423,,15.0,16.0,11.0,5.0,4.0,(21.0),12.0,12.0,10.0,22.0,(26.0),26.0,26.0,26.0,26.0,26.0,26.0,26.0,-,336.0,289.0
25,"ANNA BURNET, STEPHANIE ORTON",292,,12.0,14.0,11.0,10.0,13.0,15.0,12.0,10.0,(20.0),19.0,16.0,17.0,19.0,20.0,(28.0),26.0,21.0,15.0,-,298.0,250.0
26,"JORGE LIMA, JOSE COSTA",2320,POR,(37.0),13.0,14.0,12.0,16.0,6.0,9.0,33.0,2.0,4.0,(26.0),4.0,8.0,3.0,4.0,3.0,4.0,-,-,198.0,135.0
26,"ARANTZA GUMUCIO, BEGONA GUMUCIO",352,,11.0,14.0,11.0,12.0,(17.0),14.0,11.0,13.0,16.0,26.0,18.0,22.0,28.0,(38.0),6.0,22.0,15.0,26.0,-,320.0,265.0
27,"KATLIN TAMMISTE, ANNA MARIA SEPP",2509,EST,12.0,13.0,14.0,14.0,8.0,(16.0),16.0,9.0,10.0,(32.0),23.0,18.0,29.0,18.0,27.0,25.0,13.0,27.0,-,324.0,276.0
27,"TOMASZ JANUSZEWSKI, JACEK NOWAK",4894,,17.0,24.0,5.0,8.0,17.0,19.0,18.0,(37.0),1.0,4.0,4.0,5.0,1.0,6.0,1.0,(8.0),6.0,-,-,181.0,136.0
28,"RYAN SEATON, MATTHEW , MCGOVERN",4262,,6.0,2.0,(37.0),25.0,17.0,21.0,12.0,34.0,19.0,3.0,2.0,1.0,1.0,1.0,3.0,(4.0),3.0,-,-,191.0,150.0
28,"CARLA MUNTE, MARTA MUNTE",737,ESP,13.0,16.0,(18.0),16.0,15.0,12.0,16.0,14.0,13.0,(31.0),27.0,26.0,30.0,9.0,3.0,23.0,25.0,29.0,-,336.0,287.0
29,"KLARA WESTER, REBECCA NETZLER",2590,SWE,(17.0),16.0,16.0,12.0,17.0,17.0,6.0,17.0,15.0,25.0,(33.0),28.0,26.0,3.0,31.0,31.0,14.0,16.0,-,340.0,290.0
29,"VICTOR BERGSTROM, NICLAS DURING",5017,SWE,9.0,12.0,(37.0),22.0,13.0,17.0,7.0,25.0,5.0,2.0,(15.0),2.0,10.0,13.0,8.0,3.0,8.0,-,-,208.0,156.0
30,"ANNA LUSCHAN, EVA-, MARIA SCHIMAK",294,,15.0,15.0,13.0,(17.0),12.0,5.0,12.0,13.0,12.0,28.0,24.0,30.0,(38.0),12.0,26.0,15.0,38.0,21.0,-,346.0,291.0
30,"ERWAN FISCHER, THIBAULT JULIEN",1352,FRA,28.0,23.0,7.0,11.0,8.0,22.0,(30.0),10.0,2.0,9.0,2.0,10.0,3.0,6.0,(15.0),8.0,7.0,-,-,201.0,156.0
