Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
1,"TIM FISCHER, FABIAN GRAF",4809,GER,1.0,9.0,6.0,3.0,10.0,1.0,1.0,(22.0),3.0,2.0,13.0,11.0,82.0,60.0
1,"TINA LUTZ, SUSANN BEUCKE",4826,GER,5.0,1.0,1.0,1.0,2.0,1.0,(14.0),2.0,2.0,12.0,11.0,-,52.0,38.0
2,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,11.0,6.0,5.0,(12.0),5.0,4.0,3.0,4.0,7.0,3.0,5.0,10.0,75.0,63.0
2,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,1.0,8.0,1.0,3.0,5.0,1.0,2.0,6.0,8.0,(20.0),7.0,-,62.0,42.0
3,"SIME FANTELA, MIHOVIL FANTELA",4491,,11.0,1.0,3.0,3.0,1.0,1.0,22.0,13.0,(31.0),9.0,3.0,4.0,102.0,71.0
3,"JULIA GROSS, HANNA KLINGA",2389,,3.0,1.0,(18.0),8.0,3.0,5.0,11.0,5.0,11.0,4.0,1.0,-,70.0,52.0
4,"JONAS WARRER, JAKOB PRECHT",2295,,5.0,12.0,4.0,9.0,11.0,5.0,5.0,12.0,6.0,7.0,(17.0),1.0,94.0,77.0
4,"ANNEMIEK BEKKERING, ANNETTE DUETZ",321,NED,2.0,(18.0),17.0,2.0,2.0,12.0,3.0,12.0,5.0,1.0,5.0,-,79.0,61.0
5,"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",4420,SUI,1.0,7.0,14.0,7.0,4.0,9.0,(23.0),8.0,9.0,5.0,4.0,13.0,104.0,81.0
5,"TAMARA ECHEGOYEN, PAULA BARCELO",4678,ESP,1.0,14.0,2.0,4.0,14.0,(18.0),5.0,11.0,3.0,8.0,12.0,-,92.0,74.0
6,"KLARA WESTER, REBECCA NETZLER",2590,SWE,6.0,2.0,2.0,1.0,11.0,11.0,8.0,8.0,16.0,15.0,(23.0),-,103.0,80.0
6,"BART LAMBRIEX, PIM VAN VUGT",461,,4.0,2.0,12.0,1.0,3.0,2.0,4.0,(27.0),8.0,16.0,15.0,15.0,109.0,82.0
