Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
1,"MIKOLAJ STANIUL, KUBA SZTORCH",3488,,8.0,1.0,3.0,11.0,11.0,2.0,1.0,1.0,8.0,3.0,1.0,(23.0),5.0,10.0,3.0,-,-,-,-,-,-,-,-,-,-,91.0,68.0
1,BECKETT MICHAEL,482,,1.0,10.0,4.0,(9.0),1.0,-,-,-,-,-,-,-,-,-,-,(11.0),11.0,2.0,1.0,2.0,-,-,-,-,-,43.0,23.0
1,BARWINSKA AGATA,466,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(20.0),8.0,(13.0),4.0,3.0,1.0,5.0,3.0,1.0,9.0,67.0,34.0
1,UUSITALO VALTTERI,4947,,35.0,(59.0),11.0,(59.0),7.0,-,-,-,-,-,-,-,-,-,-,2.0,1.0,2.0,1.0,1.0,-,-,-,-,-,178.0,60.0
1,"ODILE VAN AANHOLT, ELISE DE RUYTER",3779,,19.0,4.0,2.0,5.0,8.2,(29.0),3.0,19.0,5.0,7.0,6.0,1.0,6.0,1.0,4.0,-,-,-,-,-,-,-,-,-,-,119.2,90.2
2,JURISIC FILIP,2429,,3.0,(200.0),5.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,(12.0),1.0,11.0,3.0,12.0,-,-,-,-,-,71.0,39.0
2,ROLAZ NICOLAS,4203,,(48.0),40.0,13.0,(42.0),21.0,-,-,-,-,-,-,-,-,-,-,1.0,3.0,9.0,2.0,4.0,-,-,-,-,-,183.0,93.0
2,"TIM FISCHER, FABIAN GRAF",4809,GER,1.0,9.0,18.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,1.0,(25.0),12.0,4.0,-,-,-,-,-,-,-,-,-,-,95.0,70.0
2,"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",1311,,14.0,2.0,15.0,3.0,21.0,11.0,1.0,3.0,3.0,(22.0),20.0,11.0,3.0,4.0,12.0,-,-,-,-,-,-,-,-,-,-,145.0,123.0
2,JONKER MAXIME,2309,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(24.0),(18.0),12.0,5.0,8.0,3.0,10.0,13.0,2.0,1.0,96.0,54.0
3,HOFFMANN JULIAN,1909,,41.0,(46.0),13.0,25.0,(59.0),-,-,-,-,-,-,-,-,-,-,7.0,2.0,1.0,4.0,7.0,-,-,-,-,-,205.0,100.0
3,VADNAI JONATAN,4952,,13.0,100.0,2.0,(14.0),3.0,-,-,-,-,-,-,-,-,-,-,2.0,3.0,6.0,4.0,(18.0),-,-,-,-,-,75.0,43.0
3,"GEORGIA LEWI, N-LAFRANCE, ANTONIA LEWIN-LAFRANCE",1639,,11.0,25.0,12.0,8.0,1.0,15.0,2.0,23.0,(38.0),11.6,1.0,5.0,5.0,5.0,6.0,-,-,-,-,-,-,-,-,-,-,168.6,130.6
3,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,2.0,4.0,1.0,1.0,6.0,1.0,2.0,9.0,5.0,9.0,18.0,12.0,12.0,(19.0),13.0,-,-,-,-,-,-,-,-,-,-,114.0,95.0
3,KARACHALIOU VASILEIA,2472,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,1.0,3.0,8.0,14.0,4.0,1.0,(18.0),15.0,(16.0),94.0,60.0
4,HOST LINE FLEM,1918,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,3.0,1.0,(79.0),6.0,11.0,15.0,(27.0),4.0,18.0,167.0,61.0
4,NIKOLAEV MAXIM,3710,,(16.0),40.0,3.0,(18.0),9.0,-,-,-,-,-,-,-,-,-,-,1.0,7.0,7.0,5.8,8.0,-,-,-,-,-,78.8,44.8
4,BOS MARNIX,627,,(39.0),34.0,(35.0),5.0,27.0,-,-,-,-,-,-,-,-,-,-,14.0,11.0,5.0,11.0,6.0,-,-,-,-,-,187.0,113.0
