Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,M0Q,M1Q,M2Q,M3Q,Total,Nett
1,HELENE NOESMOEN,1861,FRA,-,-,-,-,(5.0),1.0,1.0,(13.0),1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,31.0,13.0
1,HUIG JAN TAK,1940,NED,3.0,(11.0),1.0,1.0,(4.0),4.0,2.0,4.0,3.0,2.0,-,-,-,-,-,-,2.0,3.0,7.0,1.0,35.0,20.0
2,ISLAY WATSON,2024,GBR,-,-,-,-,3.0,3.0,1.0,3.0,3.0,(35.0),2.0,(69.0),2.0,4.0,15.7,6.0,4.0,4.0,7.0,2.0,146.7,42.7
2,NICOLAS GOYARD,3676,FRA,7.0,(23.0),1.0,1.0,3.0,3.0,1.0,(28.0),11.0,1.0,-,-,-,-,-,-,4.0,1.0,1.0,4.0,79.0,28.0
3,LUUC VAN OPZEELAND,2968,NED,5.0,13.0,(27.0),1.0,5.0,2.0,3.0,2.0,1.0,(10.0),-,-,-,-,-,-,6.0,5.0,8.0,3.0,69.0,32.0
3,SHACHAR RESHEF,4441,,-,-,-,-,1.0,1.0,25.0,(35.0),1.0,3.0,5.0,2.0,5.0,2.0,(32.0),1.0,6.0,2.0,5.0,5.0,113.0,46.0
4,LOUIS GIARD,2881,,1.0,(15.0),3.0,5.0,(15.0),9.0,15.0,1.0,2.0,4.0,-,-,-,-,-,-,8.0,7.0,3.0,6.0,70.0,40.0
4,LUCIE BELBEOCH,2918,FRA,-,-,-,-,1.0,1.0,5.0,1.0,9.0,3.0,10.0,1.0,10.0,(11.0),11.0,(22.0),8.0,9.0,2.0,3.0,85.0,52.0
5,SASKIA SILLS,4364,,-,-,-,-,1.0,(21.0),15.0,(35.0),1.0,3.0,4.0,4.0,4.0,10.0,7.0,3.0,10.0,7.0,9.0,8.0,108.0,52.0
5,TOM REUVENY,4867,ISR,(37.0),3.0,1.0,3.0,1.0,7.0,5.0,(32.0),12.0,8.0,-,-,-,-,-,-,10.0,8.0,4.0,7.0,109.0,40.0
6,PILAR LAMADRID TRUEBA,4029,ESP,-,-,-,-,(25.0),11.0,1.0,5.0,5.0,1.0,6.0,12.0,13.0,(69.0),10.0,4.0,12.0,3.0,4.0,4.0,162.0,68.0
6,MATEUS ISAAC,3273,BRA,3.0,(29.0),3.0,1.0,2.0,11.0,(14.0),9.0,10.0,5.0,-,-,-,-,-,-,12.0,2.0,2.0,5.0,87.0,44.0
7,TITOUAN LE BOSQ,4836,,1.0,1.0,(3.0),3.0,9.0,(19.0),4.0,19.0,14.0,3.0,-,-,-,-,-,-,14.0,6.0,6.0,8.0,76.0,54.0
7,PALMA CARGO,3864,CRO,-,-,-,-,13.0,(19.0),3.0,11.0,13.0,9.0,12.0,(14.6),6.0,5.0,3.0,5.0,14.0,6.0,3.0,6.0,113.6,80.0
8,SILLS SAMUEL,4479,,9.0,11.0,11.0,(13.0),6.0,5.0,10.0,3.0,6.0,(28.0),-,-,-,-,-,-,16.0,4.0,5.0,2.0,102.0,61.0
8,NICOLE VAN DER VELDEN,3686,,-,-,-,-,9.0,9.0,5.0,1.0,13.0,11.0,(22.0),6.0,12.0,7.0,8.0,(15.0),16.0,5.0,6.0,7.0,118.0,81.0
