Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,Total,Nett
75,ETHAN WESTERA,1363,ARU,25.0,(31.0),17.0,7.0,1.0,(3.0),2.0,(3.0),2.0,1.0,1.0,2.0,95.0,58.0
76,ELIA COLOMBO,1244,SUI,33.0,(37.0),11.0,7.0,2.0,1.0,1.0,(68.0),1.0,(4.0),3.0,1.0,169.0,60.0
77,JOHAN SOE,2262,DEN,(37.0),31.0,7.0,13.0,(3.0),2.0,(4.0),1.0,3.0,3.0,2.0,3.0,109.0,65.0
78,MATTEO BENZ,3317,,(27.0),15.0,23.0,9.0,(11.0),5.0,(6.0),2.0,4.0,2.0,6.0,6.0,116.0,72.0
79,JORGE ARANZUEQUE CAMPELLO,2317,ESP,15.0,27.0,(37.0),11.0,8.0,8.0,3.0,4.0,(68.0),6.0,(20.0),9.0,216.0,91.0
80,SHALEV EGOZY,4446,,19.0,11.0,17.0,(23.0),(16.0),6.0,9.0,6.0,5.0,(25.0),10.0,8.0,155.0,91.0
81,LEE TAEHOON,2727,,(33.0),25.0,15.0,23.0,4.0,4.0,5.0,10.0,(11.0),(34.0),5.0,4.0,173.0,95.0
82,JOHN KAJU,2281,,9.0,(37.0),21.0,25.0,(14.0),9.0,(13.0),5.0,10.0,8.0,7.0,10.0,168.0,104.0
83,CHRISTIAN LINNERUD,876,,(27.0),23.0,23.0,13.0,(26.0),7.0,7.0,8.0,9.0,(11.0),4.0,11.0,169.0,105.0
84,SEBASTIAN SCHARER,4416,SUI,11.0,(17.0),37.0,7.0,(47.0),(32.0),12.0,19.0,12.0,10.0,12.0,8.0,224.0,128.0
85,RICCARDO ONALI,4145,,19.0,21.0,(27.0),15.0,6.0,11.0,16.0,15.0,8.0,(28.0),(23.0),20.0,209.0,131.0
86,JUOZAS BERNOTAS,2425,LTU,(29.0),13.0,19.0,29.0,(17.0),12.0,11.0,12.0,(20.0),7.0,16.0,12.0,197.0,131.0
87,MATTIA CAMBONI,3343,,17.0,(37.0),11.0,23.0,13.0,10.0,8.0,11.0,19.0,(33.0),19.0,(23.0),224.0,131.0
88,MANOLO MODENA,3051,ITA,11.0,19.0,(23.0),19.0,(25.0),(25.0),21.0,13.0,7.0,5.0,21.0,16.0,205.0,132.0
89,MAX BEAMAN,3352,GBR,(37.0),11.0,33.0,25.0,(22.0),13.0,(23.0),7.0,6.0,12.0,13.0,17.0,219.0,137.0
90,ALBERT SERRA MORENO,74,,17.0,(27.0),15.0,21.0,10.0,(24.0),18.0,20.0,14.0,9.0,15.0,(21.0),211.0,139.0
91,MALIK HOVELING,3033,,13.0,(27.0),17.0,21.0,15.0,(21.0),15.0,18.0,13.0,18.0,(33.0),14.0,225.0,144.0
92,ALFRED TANG DIXEN,145,DEN,23.0,(37.0),29.0,17.0,5.0,19.0,25.0,9.0,(27.0),(37.0),17.0,13.0,258.0,157.0
93,VLADISLAV BURMISTRENKO,5063,,9.0,23.0,21.0,(33.0),7.0,15.0,10.0,23.0,(52.0),23.0,26.0,(68.0),310.0,157.0
94,ALEXANDER TEMKO,126,,(23.0),15.0,23.0,9.0,9.0,14.0,28.0,27.0,(68.0),(47.0),28.0,15.0,306.0,168.0
95,MATEO BORS,3268,,21.0,21.0,25.0,(29.0),21.0,(27.0),(50.0),26.0,15.0,15.0,8.0,19.0,277.0,171.0
96,BENCE SANTA,497,HUN,13.0,(25.0),21.0,15.0,23.0,(26.0),22.0,21.0,18.0,19.0,(27.0),25.0,255.0,177.0
97,LARS POGGEMANN,2686,,(37.0),37.0,27.0,37.0,18.0,17.0,17.0,16.0,(24.0),(20.0),9.0,5.0,264.0,183.0
98,FILIP STORE,1463,,29.0,21.0,19.0,(37.0),(51.0),16.0,32.0,14.0,28.0,(54.0),14.0,27.0,342.0,200.0
99,ZHILIN EGOR,5275,,(37.0),37.0,19.0,17.0,(38.0),18.0,14.0,22.0,16.0,27.0,31.0,(68.0),344.0,201.0
100,JACOPO GAVIOLI,2063,,17.0,19.0,19.0,(23.0),19.0,(44.0),(44.0),37.0,23.0,31.0,18.0,22.0,316.0,205.0
101,JANIS PREISS,2132,,27.0,(37.0),13.0,21.0,(35.0),28.0,20.0,17.0,(36.0),14.0,34.0,33.0,315.0,207.0
102,GALITSKII EVGENII,1604,,(27.0),27.0,21.0,23.0,12.0,(30.0),29.0,25.0,22.0,26.0,29.0,(68.0),339.0,214.0
103,JOAN RIUTORT GARCIA,2237,,15.0,15.0,(27.0),19.0,(46.0),22.0,36.0,41.0,17.0,(50.0),42.0,24.0,354.0,231.0
104,BIEL LLADO DURAN,571,,(22.0),21.0,19.0,21.0,(39.0),(38.0),24.0,24.0,25.0,32.0,30.0,35.0,330.0,231.0
105,TOMASZ ROMANOWSKI,4895,POL,(31.0),21.0,15.0,31.0,(52.0),35.0,34.0,(36.0),29.0,16.0,25.0,31.0,356.0,237.0
106,MARTINS DZIRNIEKS,3251,,31.0,(37.0),35.0,23.0,(45.0),42.0,(45.0),35.0,32.0,17.0,22.0,28.0,392.0,265.0
107,PETER NORS,3973,,(33.0),31.0,31.0,25.0,27.0,43.0,19.0,31.0,(44.0),29.0,(46.0),29.0,388.0,265.0
108,ANDREAS CARIOLOU,238,CYP,21.0,15.0,23.0,(27.0),36.0,40.0,31.0,29.0,35.0,(46.0),(45.0),37.0,385.0,267.0
109,KANG HYEONGJUNG,2469,,21.0,25.0,25.0,(27.0),33.0,23.0,(47.0),30.0,(54.0),41.0,40.0,32.0,398.0,270.0
110,VAL ERZEN,4958,SLO,19.0,17.0,(29.0),25.0,34.0,39.0,27.0,38.0,31.0,43.0,(48.0),(44.0),394.0,273.0
111,GUILHERME MUNHOZ,1746,,23.0,23.0,17.0,(31.0),30.0,(50.0),(58.0),48.0,49.0,22.0,36.0,26.0,413.0,274.0
112,TOM VRIES,4871,,13.0,19.0,(31.0),29.0,(68.0),59.0,59.0,43.0,(68.0),24.0,11.0,18.0,442.0,275.0
113,KAREL LAVICKY,2476,CZE,25.0,13.0,(29.0),27.0,(50.0),33.0,33.0,(40.0),30.0,39.0,39.0,39.0,397.0,278.0
114,EVGENY AYVAZYAN,1380,,23.0,15.0,21.0,(25.0),37.0,36.0,38.0,33.0,33.0,(45.0),(53.0),42.0,401.0,278.0
115,ROKAS DIDRIKAS,4201,,15.0,19.0,(25.0),19.0,(68.0),37.0,26.0,(53.0),37.0,35.0,50.0,46.0,430.0,284.0
116,ANAMI TOMONORI,199,,23.0,23.0,(31.0),17.0,28.0,34.0,37.0,45.0,(48.0),(51.0),44.0,34.0,415.0,285.0
117,SAMUEL PEREZ HULTS,4311,,25.0,21.0,(31.0),29.0,30.0,29.0,39.0,28.0,(68.0),(48.0),43.0,41.0,432.0,285.0
118,CHRISTOFFER DAMGAARD,886,,(37.0),37.0,31.0,31.0,49.0,45.0,35.0,(54.0),(50.0),13.0,24.0,30.0,436.0,295.0
119,MIGUEL MARTINHO,3470,,(31.0),27.0,9.0,27.0,42.0,(51.0),42.0,(49.0),26.0,38.0,37.0,49.0,428.0,297.0
120,FRANCESCO SIMEONI,1526,,(27.0),27.0,25.0,20.0,24.0,41.0,43.0,(51.0),43.0,30.0,(47.0),45.0,423.0,298.0
121,FRANK ERVIN,1536,EST,23.0,19.0,29.0,(35.0),41.0,31.0,(53.0),39.0,40.0,(42.0),41.0,36.0,429.0,299.0
122,ANDERS ELIASEN,216,,29.0,(37.0),33.0,37.0,44.0,20.0,30.0,32.0,21.0,(68.0),(68.0),68.0,487.0,314.0
