Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,20Q,MRQ,Total,Nett
1,HELENE NOESMOEN,1861,FRA,3.0,1.0,3.0,3.0,1.0,11.0,1.0,2.0,2.0,1.0,9.0,9.0,24.0,2.0,(49.0),11.0,7.0,9.0,13.0,3.0,1.0,164,77
1,"RUGGERO TITA, CATERINA BANTI",4241,,2.0,1.0,1.0,1.0,1.0,(8.0),2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,-,-,-,-,-,-,29.0,21.0
1,"DIEGO BOTIN, FLORIAN TRITTEL PAUL",1123,,9.0,3.0,3.0,6.0,5.0,4.0,4.0,8.0,1.0,1.0,1.0,5.0,9.0,(12.0),1.0,-,8.0,-,-,-,-,80.0,68.0
1,"GOYARD, NICOLAS",1709,FRA,3.0,1.0,1.0,1.0,(7.0),(14.0),1.0,1.0,14.0,15.0,7.0,7.0,2.0,(78.0),5.0,(78.0),1.0,3.0,5.0,17.0,-,261,84
1,"MARTINE GRAEL, KAHENA KUNZE",3243,BRA,(10.0),3.0,2.0,3.0,2.0,8.0,9.0,3.0,1.0,3.0,10.0,2.0,1.0,6.0,16.0,-,-,-,-,-,-,79.0,69.0
2,"ODILE VAN AANHOLT, ANNETTE DUETZ",3777,NED,7.0,12.0,1.0,6.0,8.0,4.0,(16.0),1.0,3.0,2.0,4.0,5.0,9.0,1.0,12.0,-,-,-,-,-,-,91.0,75.0
2,"MICAH WILKINSON, ERICA DAWSON",3440,,1.0,3.0,(17.0),2.0,2.0,12.0,6.0,9.0,4.0,4.0,6.0,8.0,11.0,10.0,8.0,-,-,-,-,-,-,103.0,86.0
2,"BART LAMBRIEX, FLORIS VAN DE WERKEN",460,NED,2.0,3.0,1.0,4.0,1.0,9.0,2.0,7.0,11.0,3.0,15.0,4.0,6.0,3.0,(25.0),-,12.0,-,-,-,-,108.0,83.0
2,EMMA WILSON,1304,GBR,5.0,3.0,1.0,3.0,1.0,1.0,10.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,(49.0),2.0,21.0,7.0,7.0,1.0,2.0,129,44
2,"RENNA, NICOLO",4133,ITA,1.0,1.0,(35.0),3.0,(41.0),10.0,1.0,2.0,5.0,9.7,4.0,4.0,6.0,15.0,1.0,(29.0),5.0,1.0,11.0,(19.0),-,"203,7","79,7"
3,"SINEM KURTBAY, AKSELI KESKINEN",4506,,11.0,(17.0),6.0,4.0,5.0,17.0,12.0,3.0,8.0,3.0,3.0,5.0,4.0,6.0,6.0,-,-,-,-,-,-,110.0,93.0
3,MAJA DZIARNOWSKA,3018,POL,1.0,5.0,3.0,1.0,9.0,9.0,6.0,4.0,3.0,6.0,7.0,7.0,13.0,4.0,1.0,4.0,15.0,39.0,7.0,21.0,3.0,165,87
3,"VILMA BOBECK, REBECCA NETZLER",5050,SWE,6.0,1.0,4.0,1.0,2.0,8.0,1.0,5.0,1.0,(24.0),1.0,16.0,10.0,20.0,2.0,-,-,-,-,-,-,102.0,78.0
3,"VAN OPZEELAND, LUUC",4988,NED,1.0,1.0,1.0,1.0,(49.0),(9.0),9.0,1.0,2.0,(43.0),1.0,1.0,1.0,3.0,3.0,1.0,(41.0),3.0,1.0,1.0,-,173,31
3,"JAMES PETERS, FYNN STERRITT",2107,GBR,6.0,1.0,1.0,8.0,5.0,3.0,3.0,3.0,10.0,5.0,10.0,10.0,(21.0),7.0,8.0,-,4.0,-,-,-,-,105.0,84.0
4,"OMER, YOAV",3822,ISR,1.0,5.0,5.0,(9.0),2.0,4.0,3.0,(19.0),(48.0),(36.0),9.0,9.0,35.0,16.0,11.0,18.0,5.0,5.0,7.0,1.0,-,248,136
4,"GIANLUIGI UGOLINI, MARIA GIUBILEI",1661,,10.0,6.0,5.0,8.0,10.0,5.0,11.0,2.0,9.0,1.0,4.0,4.0,(12.0),11.0,10.0,-,-,-,-,-,-,108.0,96.0
4,"SIME FANTELA, MIHOVIL FANTELA",4491,,3.0,5.0,4.2,1.0,10.0,2.0,4.0,5.0,9.0,(26.0),16.0,11.0,8.0,9.0,3.0,-,10.0,-,-,-,-,126.2,100.2
4,"JANA GERMANI, GIORGIA BERTUZZI",2125,ITA,8.0,4.0,4.0,12.0,6.0,1.0,10.0,5.0,9.0,14.0,8.0,7.0,(21.0),19.0,4.0,-,-,-,-,-,-,132.0,111.0
4,ISLAY WATSON,2024,GBR,3.0,1.0,1.0,5.0,4.0,3.0,8.0,1.0,19.0,29.0,13.0,13.0,5.0,19.0,5.0,1.0,(49.0),(49.0),3.0,7.0,4.0,238,127
5,"JIM COLLEY, SHAUN CONNOR",2217,AUS,3.0,5.0,9.0,4.0,1.0,3.0,17.0,4.0,14.0,9.0,6.0,7.0,2.0,(19.0),4.0,-,14.0,-,-,-,-,121.0,102.0
5,SARA WENNEKES,4344,NED,19.0,7.0,7.0,21.0,5.0,10.0,3.0,4.0,5.0,12.0,16.0,16.0,8.0,24.0,4.0,10.0,37.0,7.0,11.0,43.0,5.0,269,149
5,"VITTORIO BISSARO, MAELLE FRASCARI",5061,,9.0,11.0,12.0,12.0,13.0,1.0,8.0,15.0,3.0,5.0,5.0,2.0,2.0,(16.0),2.0,-,-,-,-,-,-,116.0,100.0
5,"SILLS, SAMUEL",4480,GBR,3.0,(17.0),3.0,(9.0),8.0,3.0,4.0,6.0,13.0,4.0,8.0,8.0,9.0,(19.0),(39.0),3.0,11.0,3.0,5.0,19.0,-,194,110
5,"TAMARA ECHEGOYEN, PAULA BARCELO",4678,ESP,1.0,11.0,(36.0),5.0,6.0,19.0,3.0,10.0,4.0,4.0,25.0,12.0,6.0,5.0,6.0,-,-,-,-,-,-,153.0,117.0
6,"LUKASZ PRZYBYTEK, JACEK PIASECKI",2956,POL,9.0,10.0,5.0,2.0,6.0,6.0,5.0,7.0,5.0,10.0,3.0,(16.0),12.0,13.0,11.0,-,2.0,-,-,-,-,122.0,106.0
6,"JOHN GIMSON, ANNA BURNET",2277,,5.0,9.0,4.0,10.0,3.0,10.0,3.0,5.0,(17.0),7.0,9.0,16.0,5.0,3.0,12.0,-,-,-,-,-,-,118.0,101.0
6,"MESTRE, ADRIEN",3435,FRA,(41.0),9.0,11.0,3.0,8.0,(17.0),5.0,3.0,16.0,8.0,3.0,3.0,7.0,7.0,(30.0),26.0,9.0,25.0,7.0,(41.0),-,279,150
6,MARTA MAGGETTI,3215,ITA,9.0,(49.0),13.0,17.0,14.0,7.0,5.0,12.0,9.0,2.0,6.0,6.0,18.0,3.0,2.0,21.0,17.0,35.0,21.0,33.0,6.0,299,165
6,"STEPHANIE ROBLE, MAGGIE SHEA",4604,USA,2.0,6.0,2.0,3.0,5.0,3.0,4.0,13.0,15.0,16.0,11.0,6.0,(18.0),17.0,18.0,-,-,-,-,-,-,139.0,121.0
7, AGUILAR CHAVEZ PEON,1,,9.0,11.0,13.0,13.0,2.0,5.0,15.0,5.0,10.0,39.0,3.0,3.0,2.0,12.0,8.0,20.0,27.0,1.0,9.0,21.0,7.0,228,134
7,"PAUL KOHLHOFF, ALICA STUHLEMMER",3909,,7.0,10.0,9.0,5.0,9.0,2.0,1.0,6.0,7.0,6.0,2.0,6.0,13.0,(18.0),18.0,-,-,-,-,-,-,119.0,101.0
7,"TAK, HUIG JAN",4664,NED,1.0,7.0,1.0,13.0,(28.0),12.0,(16.0),13.0,27.0,(45.0),2.0,2.0,(43.0),4.0,8.0,7.0,41.0,5.0,11.0,3.0,-,289,157
7,"ALEXANDRA TEN HOVE, MARIAH MILLEN",133,CAN,(36.0),3.0,12.0,13.0,15.0,14.0,9.0,7.0,9.0,6.0,5.0,3.0,13.0,9.0,10.0,-,-,-,-,-,-,164.0,128.0
7,"FREDERIK RASK, JAKOB PRECHT JENSEN",1559,DEN,2.0,5.0,8.0,1.0,7.0,8.0,6.0,1.0,4.0,14.0,9.0,6.0,10.0,(21.0),5.0,-,20.0,-,-,-,-,127.0,106.0
8,PILAR LAMADRID TRUEBA,4029,ESP,1.0,13.0,1.0,1.0,2.0,6.0,8.0,5.0,6.0,5.0,24.0,24.0,1.0,(49.0),19.0,16.0,15.0,(49.0),1.0,15.0,8.0,261,142
8,"EMIL JARUDD, HANNA JONSSON",1280,,(21.0),7.0,16.0,6.0,6.0,3.0,5.0,4.0,1.0,9.0,10.0,10.0,18.0,2.0,16.0,-,-,-,-,-,-,134.0,113.0
8,"BROWN, ANDREW",666,GBR,(11.0),3.0,3.0,1.0,5.0,(53.0),2.0,6.0,17.0,5.0,17.0,17.0,17.0,8.0,(21.0),(60.0),7.0,3.0,17.0,9.0,-,282,137
8,"JOHANNE SCHMIDT, ANDREA SCHMIDT",2268,DEN,3.0,2.0,3.0,1.0,12.0,3.0,(26.0),20.0,12.0,12.0,13.0,14.0,26.0,3.0,8.0,-,-,-,-,-,-,158.0,132.0
8,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,3.0,13.0,6.0,4.0,6.0,7.0,1.0,13.0,14.0,2.0,(18.0),9.0,14.0,2.0,14.0,-,6.0,-,-,-,-,132.0,114.0
9,"LAILA VAN DER MEER, BJARNE BOUWER",2665,,4.0,2.0,2.0,(16.0),15.0,11.0,9.0,7.0,11.0,13.0,15.0,14.0,7.0,5.0,20.0,-,-,-,-,-,-,151.0,135.0
9,"LE COQ , PIERRE",2718,FRA,11.0,9.0,9.0,9.0,(78.0),12.0,6.0,(78.0),(41.0),24.0,12.0,12.0,8.0,2.0,7.0,(25.0),23.0,1.0,1.0,11.0,-,379,157
9,"RONJA GRONBLOM, VEERA HOKKA",4216,FIN,(24.0),11.0,11.0,9.0,10.0,9.0,13.1,15.0,16.0,1.0,3.0,1.0,4.0,10.0,20.0,-,-,-,-,-,-,157.1,133.1
9,"THOMAS NEEDHAM, JOEL TURNER",4773,,11.0,7.0,2.0,3.0,14.0,3.0,3.0,4.0,10.0,7.0,7.0,14.0,3.0,11.0,(23.0),-,16.0,-,-,-,-,138.0,115.0
9,DANIELA PELEG,1036,ISR,5.0,9.0,11.0,21.0,7.0,1.0,13.0,6.0,21.0,37.0,12.0,12.0,4.0,7.0,3.0,5.0,35.0,11.0,23.0,19.0,9.0,262,156
10,"ISAAC , MCHARDIE, WILLIAM , MCKENZIE",2003,,2.0,9.0,5.0,2.0,3.0,4.0,1.0,9.0,8.0,13.0,12.0,(21.0),17.0,1.0,16.0,-,18.0,-,-,-,-,141.0,120.0
10,"ALEXANDRA MALONEY, OLIVIA HOBBS",131,,3.0,(25.0),13.0,21.0,3.0,4.0,2.0,4.0,7.0,7.0,12.0,18.0,23.0,8.0,14.0,-,-,-,-,-,-,164.0,139.0
10,SHAHAR TIBI,4444,ISR,7.0,3.0,3.0,1.0,3.0,4.0,12.0,8.0,(49.0),27.0,1.0,1.0,11.0,5.0,38.0,18.0,1.0,5.0,45.0,39.0,10.0,281,167
10,"BOURGEOIS, CLEMENT",637,FRA,(41.0),1.0,1.0,1.0,4.0,(19.0),10.0,4.0,6.0,1.0,(44.0),(44.0),16.0,5.0,34.0,31.0,7.0,9.0,7.0,7.0,-,292,144
10,"JASON WATERHOUSE, LISA DARMANIN",2150,,15.0,13.0,10.0,14.0,7.0,4.0,4.0,8.0,13.0,12.0,7.0,11.0,6.0,(20.0),14.0,-,-,-,-,-,-,158.0,138.0
11,NICOLE VAN DER VELDEN,3686,,3.0,17.0,5.0,9.0,8.0,3.0,3.0,6.0,30.0,9.0,2.0,2.0,38.0,6.0,35.0,7.0,19.0,15.0,27.0,23.0,-,267,168
11,"DI TOMASSI, LUCA",1111,ITA,1.0,(31.0),3.0,11.0,(18.0),14.0,5.0,4.0,8.0,23.0,6.0,6.0,19.0,17.0,(44.0),28.0,3.0,(33.0),13.0,1.0,-,288,162
11,"ANDREW MOLLERUS, IAN MACDIARMID",260,USA,5.0,6.0,3.0,9.0,4.0,11.0,10.0,12.0,3.0,8.0,(21.0),12.0,16.0,5.0,6.0,-,-,-,-,-,-,131.0,110.0
11,"ALEXANDRA STALDER, SILVIA SPERI",132,,15.0,12.0,9.0,10.0,8.0,1.0,(21.0),15.0,2.0,21.0,7.0,10.0,2.0,15.0,-,-,-,-,-,-,-,148.0,127.0
11,"MATEO MAJDALANI, EUGENIA BOSCO",3269,,6.0,5.0,20.0,9.0,4.0,13.0,(34.0),11.0,14.0,17.0,16.0,3.0,9.0,4.0,-,-,-,-,-,-,-,165.0,131.0
12,"IDA SVENSSON, MARCUS DACKHAMMAR",1966,,19.0,12.0,14.0,(34.0),8.0,6.0,10.0,13.0,12.0,11.0,8.0,9.0,3.0,7.0,-,-,-,-,-,-,-,166.0,132.0
12,"SARAH STEYAERT, CHARLINE PICON",4356,FRA,2.0,5.0,20.0,4.0,3.0,16.0,1.0,1.0,15.0,13.0,17.0,11.0,(22.0),22.0,-,-,-,-,-,-,-,152.0,130.0
12,"REUVENY, TOM",4136,ISR,7.0,9.0,3.0,(41.0),3.0,1.0,27.33,(78.0),1.0,33.0,20.0,20.0,(55.0),11.0,10.0,(53.0),3.0,17.0,5.0,5.0,-,"402,33","175,33"
12,VEERLE TEN HAVE,5003,NZL,25.0,(49.0),9.0,7.0,3.0,4.0,2.0,8.0,11.0,28.0,8.0,8.0,23.0,32.0,15.0,3.0,(49.0),5.0,21.0,13.0,-,323,168
12,"CHRIS TAYLOR, RHOS HAWES",866,,14.0,4.0,7.0,2.0,5.0,7.0,5.0,10.0,5.0,16.0,(24.0),14.0,1.0,17.0,7.0,-,-,-,-,-,-,138.0,114.0
13,"MEGAN BRICKWOOD, STEPHANIE ORTON",3406,,4.0,9.0,10.0,14.0,7.0,18.0,4.0,12.0,(19.0),8.0,15.0,9.0,14.0,14.0,-,-,-,-,-,-,-,157.0,138.0
13,"LUCAS RUAL, EMILE AMOROS",2911,FRA,8.0,2.0,20.0,1.0,4.0,(23.0),9.0,2.0,7.0,23.0,2.0,3.0,5.0,16.0,18.0,-,-,-,-,-,-,143.0,120.0
13,DELPHINE COUSIN,1084,FRA,17.0,1.0,17.0,(49.0),10.0,15.0,5.0,9.0,4.0,40.0,18.0,18.0,27.0,11.0,14.0,44.0,3.0,33.0,9.0,5.0,-,349,199
