Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
1,ELLIOTT-SHIRCORE STEFAN,1269,,(52.0),(49.0),19.0,43.0,1.0,1.0,17.0,1.0,1.0,1.0,185.0,84.0
2,MOUTOUT JEREMY,3566,,28.0,24.0,(63.0),(54.0),18.0,6.0,6.0,22.0,9.0,10.0,240.0,123.0
3,KRABBE-CHRISTENSEN ANDREAS,2624,,(63.0),(47.0),43.0,37.0,3.0,9.0,19.0,5.0,4.0,5.0,235.0,125.0
4,FLOWER BEN,1505,,(51.0),38.0,48.0,38.0,2.0,3.0,(63.0),2.0,2.0,2.0,249.0,135.0
5,BRUCE LIAM,668,,36.0,30.0,(41.0),(48.0),32.0,12.0,12.0,4.0,8.0,9.0,232.0,143.0
6,VERHULST MARTIN,5006,,(41.0),35.0,37.0,(49.0),15.0,7.0,3.0,13.0,23.0,11.0,234.0,144.0
7,WANSER TILL,5090,,40.0,(56.0),26.0,(42.0),12.0,14.0,14.0,14.0,12.0,16.0,246.0,148.0
8,BOEKHOLT DAAN,608,,36.0,(41.0),(44.0),40.0,11.0,15.0,2.0,39.0,15.0,3.0,246.0,161.0
9,MALINOWSKI PIOTR,3036,,(56.0),(53.0),36.0,51.0,26.0,2.0,23.0,12.0,3.0,12.0,274.0,165.0
10,MORBIDUCCI TITO,3550,,44.0,(46.0),19.0,(48.0),22.0,26.0,1.0,20.0,30.0,4.0,260.0,166.0
11,ZAMIT LOUKIANOS,5259,,(56.0),41.0,(43.0),36.0,9.0,16.0,28.0,3.0,27.0,7.0,266.0,167.0
12,VAKHRUSHEV IVAN,4956,,(47.0),(45.0),34.0,28.0,10.0,4.0,25.0,15.0,33.0,24.0,265.0,173.0
13,CVINAR ALEC,992,,(47.0),39.0,35.0,(44.0),5.0,20.0,38.0,26.0,6.0,17.0,277.0,186.0
14,STRELCIUNAS VEJAS,4626,,55.0,(63.0),42.0,53.0,4.0,11.0,(63.0),17.0,5.0,6.0,319.0,193.0
15,ORJAVIK JENS KAASTAD,3831,,(54.0),37.0,(39.0),32.0,25.0,31.0,13.0,21.0,16.0,19.0,287.0,194.0
16,GOLUBIC BOZIDAR,1701,,31.0,34.0,(40.0),(45.0),6.0,24.0,21.0,30.0,34.0,15.0,280.0,195.0
17,BANJAC NIKOLA,443,,(54.0),36.0,43.0,39.0,16.0,5.0,(63.0),18.0,7.0,34.0,315.0,198.0
18,LANGAAS-HOLT SVERRE,2675,,41.0,42.0,(46.0),28.0,19.0,10.0,(63.0),8.0,29.0,23.0,309.0,200.0
19,KUSS LENNART,2654,,42.0,(44.0),42.0,(49.0),24.0,25.0,26.0,7.0,17.0,18.0,294.0,201.0
20,EYRIPARMAK UMUT,1388,,26.0,43.0,40.0,(45.0),17.0,22.0,(63.0),6.0,20.0,29.0,311.0,203.0
21,AGANOVIC BENJAMIN,28,,27.0,(57.0),40.0,(56.0),34.0,23.0,20.0,42.0,10.0,8.0,317.0,204.0
22,SMITH MALCOLM BENN,4516,,(52.0),(43.0),36.0,35.0,33.0,13.0,10.0,9.0,43.0,26.0,300.0,205.0
23,WACHHOLZ FORREST,5077,,(54.0),(50.0),35.0,32.0,8.0,18.0,30.0,24.0,28.0,38.0,317.0,213.0
24,JANULIONIS RADVILAS,2140,,25.0,50.0,46.0,(63.0),38.0,(63.0),4.0,25.0,13.0,22.0,349.0,223.0
25,ANSTEY LUKE,331,,31.0,(58.0),(56.0),48.0,35.0,34.0,8.0,16.0,18.0,35.0,339.0,225.0
26,ALCALAY YOGEV,81,,2.0,51.0,(63.0),(63.0),21.0,27.0,(34.0),32.0,32.0,28.0,353.0,227.0
