Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
1,BOUWMEESTER MARIT,638,,2.0,(12.0),2.0,2.0,4.0,1.0,1.0,(48.0),7.0,1.0,12.0,-,92.0,32.0
1,STIPANOVIC TONCI,4621,,(7.0),1.0,4.0,3.0,-,-,3.0,9.0,5.0,(15.0),4.0,12.0,63.0,41.0
2,KARACHALIOU VASILEIA,2472,,2.0,1.0,(4.0),1.0,2.0,2.0,17.0,(39.0),19.0,2.0,4.0,-,93.0,50.0
2,JURISIC FILIP,2429,,(63.0),1.0,4.0,11.0,-,-,1.0,8.0,11.0,(24.0),1.0,5.0,129.0,42.0
3,WEARN MATTHEW,5100,,1.0,3.0,2.0,(4.0),-,-,5.0,2.0,17.0,16.0,2.0,(21.0),73.0,48.0
3,ERDI MARIA,1323,,5.0,7.0,(16.0),(21.0),14.0,3.0,5.0,6.0,5.0,4.0,1.0,-,87.0,50.0
4,KONTIDES PAVLOS,2613,,(19.0),17.0,3.0,2.0,-,-,19.0,6.0,1.0,(21.0),6.0,8.0,102.0,62.0
4,JONKER MAXIME,2309,,4.0,6.0,(17.0),1.0,2.0,5.0,3.0,13.0,(16.0),15.0,8.0,-,90.0,57.0
5,RINDOM ANNE-MARIE,4161,,4.0,2.0,3.0,(7.0),5.0,7.0,26.0,1.0,15.0,8.0,(45.0),-,123.0,71.0
5,WILLIM NIK AARON,5150,,(24.0),6.0,2.0,3.0,-,-,25.0,7.0,2.0,(37.0),16.0,6.0,128.0,67.0
6,BARWINSKA AGATA,466,,1.0,1.0,(11.0),4.0,1.0,10.0,21.0,(29.0),17.0,12.0,6.0,-,113.0,73.0
6,MCAULLAY ETHAN,3398,,3.0,19.0,13.0,(20.0),-,-,6.0,(33.0),3.0,14.0,12.0,4.0,127.0,74.0
7,DE SMET WILLIAM,1072,,7.0,2.0,(8.0),7.0,-,-,23.0,(34.0),13.0,5.0,11.0,10.0,120.0,78.0
