Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,MRQ,Total,Nett
1,MINA MOBEKK,3502,NOR,15.0,2.0,6.0,3.0,3.0,3.0,10.0,13.0,4.0,8.0,9.0,14.0,5.0,25.0,3.0,29.0,17.0,4.0,34.0,1.0,207,116
1,NICOLO RENNA,3692,ITA,1.0,7.0,13.0,2.0,1.0,2.0,13.0,13.0,6.0,9.0,(58.0),4.0,13.0,23.0,3.0,31.0,1.0,17.0,-,1.0,217,102
2,SEBASTIAN KOERDEL,4409,GER,2.0,9.0,2.0,1.0,7.0,3.0,2.0,5.0,2.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,8.0,47.0,-,2.0,115,41
2,SHARON KANTOR,4449,ISR,15.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,27.0,7.0,7.0,3.0,12.0,3.0,1.0,2.0,98,34
3,EMMA WILSON,1304,GBR,1.0,3.0,1.0,3.0,3.0,6.0,(46.0),2.0,25.0,9.0,14.4,8.0,13.0,3.0,1.0,37.0,1.0,2.0,3.0,3.0,"181,4","67,4"
3,KIRAN BADLOE,2577,NED,7.0,9.0,6.0,31.0,5.0,3.0,6.0,3.0,5.0,2.0,4.0,5.0,7.0,1.0,3.0,9.0,31.0,5.0,-,3.0,142,62
4,HELENE NOESMOEN,1861,FRA,1.0,10.0,4.0,4.0,6.0,10.0,13.0,8.0,15.0,7.0,5.0,21.0,23.0,17.0,17.0,13.0,4.0,13.0,4.0,4.0,195,128
4,NICOLAS GOYARD,3676,FRA,1.0,1.0,1.0,24.0,1.0,1.0,1.0,1.0,3.0,13.0,8.0,11.0,11.0,7.0,1.0,37.0,10.0,50.0,-,4.0,182,70
5,LUUC VAN OPZEELAND,2968,NED,3.0,2.0,2.0,3.0,9.0,7.0,5.0,1.0,1.0,3.0,7.0,2.0,1.0,3.0,3.0,(39.0),15.0,(58.0),-,5.0,164,51
5,SHAHAR TIBI,4444,ISR,7.0,1.0,14.0,5.0,11.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,41.0,5.0,1.0,1.0,3.0,1.0,19.0,5.0,134,49
6,GRAE MORRIS,1712,AUS,11.0,12.0,4.0,7.0,16.0,1.0,4.0,3.0,11.0,1.0,11.0,18.0,3.0,1.0,11.0,5.0,7.0,2.0,-,6.0,128,71
6,PILAR LAMADRID TRUEBA,4029,ESP,6.0,5.0,5.0,6.0,8.0,1.0,1.0,(46.0),2.0,1.0,3.0,15.0,5.0,7.0,41.0,9.0,11.0,11.0,2.0,6.0,185,75
7,JOSHUA ARMIT,2346,NZL,10.0,5.0,6.0,3.0,2.0,4.0,10.0,2.0,12.0,16.0,21.0,6.0,5.0,23.0,9.0,5.0,(58.0),1.0,-,7.0,198,97
7,PALMA ?ARGO,3863,,11.0,6.0,3.0,11.0,4.0,2.0,2.0,5.0,10.0,4.0,15.0,19.0,25.0,1.0,9.0,27.0,2.0,14.0,12.0,7.0,182,108
8,SAMUEL SILLS,4312,,2.0,4.0,4.0,4.0,11.0,10.0,3.0,6.0,(58.0),22.0,10.0,12.0,11.0,3.0,5.0,3.0,5.0,6.0,-,8.0,179,78
8,SARA WENNEKES,4344,NED,2.0,1.0,2.0,1.0,2.0,4.0,11.0,3.0,9.0,3.0,10.0,11.0,7.0,9.0,17.0,7.0,21.0,16.0,16.0,8.0,152,99
9,LILIAN DE GEUS,2801,NED,3.0,46.0,7.0,6.0,5.0,9.0,(46.0),5.0,11.0,11.0,9.0,5.0,7.0,5.0,7.0,3.0,22.0,6.0,23.0,9.0,236,136
