Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,1Q,2Q,3Q,4Q,5Q,6Q,7Q,Total,Nett
1,CARDOZO LUCIANA,723,,(52.0),31.0,21.0,22.0,(57.0),23.0,3.0,19.0,1.0,1.0,-,-,-,230.0,121.0
1,BOITE ALEXANDRE,609,,26.0,(41.0),27.0,(28.0),-,-,5.0,13.0,9.0,7.0,1.0,1.0,2.0,160.0,91.0
2,PLETIKOS LIN,4043,,(40.0),13.0,22.0,24.0,24.0,(38.0),4.0,18.0,3.0,17.0,-,-,-,203.0,125.0
2,HOFFMANN JULIAN,1909,,28.0,24.0,14.0,(37.0),-,-,2.0,3.0,22.0,3.0,8.0,(29.0),3.0,173.0,107.0
3,UUSITALO VALTTERI,4947,,(27.0),18.0,25.0,26.0,-,-,1.0,1.0,6.0,(30.0),14.0,4.0,29.0,181.0,124.0
3,HIMMES LARA,1901,,14.0,33.0,(34.0),(37.0),20.0,31.0,1.0,7.0,4.0,22.0,-,-,-,203.0,132.0
4,RUITENBERG LUKE,4245,,(33.0),21.0,30.0,33.0,-,-,17.0,2.0,2.0,(49.0),13.0,5.0,10.0,215.0,133.0
4,PALANTI ALESSIA,3862,,(57.0),(40.0),35.0,22.0,11.0,16.0,25.0,21.0,6.0,3.0,-,-,-,236.0,139.0
5,MATTIVI EMMA,3346,,5.0,38.0,28.0,(43.0),(42.0),36.0,10.0,9.0,7.0,16.0,-,-,-,234.0,149.0
5,PAPADIMITRIOU DIMITRIS,3876,,39.0,5.0,38.0,(52.0),-,-,3.0,(42.0),7.0,6.0,2.0,35.0,1.0,230.0,136.0
6,SCHIFFMAN HALLIE,4379,,(43.0),(35.0),23.0,31.0,26.0,30.0,7.0,5.0,15.0,15.0,-,-,-,230.0,152.0
6,HAMEETEMAN PAUL,1778,,(30.0),28.0,18.0,16.0,-,-,27.0,17.0,18.0,9.0,(63.0),2.0,4.0,232.0,139.0
