Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,Total,Nett
1,MARIA ERDI,3118,HUN,3.0,5.0,3.0,6.0,11.0,2.0,0.0,2.0,32.0,21.0
1,ENRICO TANFERNA,1315,ITA,24.0,28.0,27.0,29.0,18.0,3.0,2.0,-,131.0,102.0
1,DAISY COLLINGRIDGE,1009,GBR,48.0,23.0,19.0,8.0,(56.0),1.0,-,-,189.0,133.0
1,CHUSITT PUNJAMALA,898,THA,9.0,13.0,12.0,22.0,28.0,2.0,4.0,-,90.0,62.0
1,VALTTERI UUSITALO,4976,FIN,3.0,9.0,9.0,6.0,3.0,3.0,25.0,9.0,67.0,42.0
2,NIKOLAJ BORCH,3711,DEN,27.0,22.0,35.0,17.0,31.0,5.0,3.0,-,140.0,105.0
2,SANDRA LULIC,4318,CRO,33.0,14.0,44.0,14.0,26.0,9.0,-,-,178.0,134.0
2,SAMUEL BENEYTO,4304,ESP,17.0,20.0,7.0,21.0,11.0,9.0,1.0,-,86.0,65.0
2,VIKTORIJA ANDRULYTE,5044,LTU,1.0,4.0,2.0,8.0,6.0,16.0,0.0,6.0,43.0,27.0
2,JONATAN VADNAI,2298,HUN,14.0,21.0,9.0,4.0,3.0,1.0,14.0,1.0,67.0,46.0
3,JOHAN SCHUBERT,2261,DEN,16.0,10.0,33.0,23.0,12.0,1.0,11.0,-,106.0,73.0
3,YUMIKO TOMBE,5243,JPN,1.0,33.0,29.0,47.0,(56.0),7.0,-,-,191.0,135.0
3,FINN LYNCH,1474,IRL,22.0,4.0,31.0,3.0,1.0,4.0,7.0,5.0,77.0,46.0
3,LOUISE CERVERA,2886,FRA,12.0,3.0,4.0,1.0,5.0,22.0,0.0,4.0,51.0,29.0
3,LUCA VALENTINO,2901,ITA,20.0,38.0,24.0,29.0,23.0,13.0,6.0,-,153.0,115.0
4,FINLEY DICKINSON,1468,GBR,4.0,19.0,1.0,2.0,25.0,16.0,3.0,4.0,74.0,49.0
4,YIGIT YALCIN CITAK,5223,TUR,9.0,28.0,23.0,24.0,1.0,13.0,19.0,-,117.0,89.0
4,NOEL LAUKKANEN,3749,FIN,22.0,31.0,10.0,41.0,32.0,29.0,4.0,-,169.0,128.0
4,NANCY HIGHFIELD,3603,HKG,42.0,6.0,37.0,33.0,38.0,14.0,-,-,184.0,142.0
4,ELENA VOROBEVA,1240,CRO,1.0,2.0,31.0,9.0,13.0,4.0,0.0,8.0,68.0,37.0
5,GAUTHIER VERHULST,1619,SUI,21.0,5.0,28.0,34.0,20.0,6.0,15.0,-,129.0,95.0
5,LAMPROS NIKOLAOS GARMPIS,2673,GRE,15.0,40.0,35.0,27.0,39.0,6.0,8.0,-,170.0,130.0
5,BENJAMIN VADNAI,520,HUN,7.0,1.0,6.0,10.0,8.0,12.0,9.0,18.0,71.0,53.0
5,TEA PETEH,4709,CRO,36.0,49.0,25.0,26.0,17.0,10.0,-,-,191.0,142.0
5,EMMA MATTIVI,1300,ITA,29.0,1.0,13.0,4.0,4.0,11.0,0.0,16.0,78.0,49.0
5,NAZLI CAGLA DONERTAS,3624,TUR,22.0,7.0,1.0,18.0,4.0,7.0,0.0,12.0,71.0,49.0
6,THOMAS FLACHON,4766,FRA,25.0,26.0,34.0,18.0,6.0,18.0,3.0,-,130.0,96.0
6,MARIA MARTINEZ,3127,ESP,13.0,18.0,47.0,34.0,31.0,26.0,-,-,195.0,148.0
6,JUST VAN AANHOLT,2430,ARU,28.0,31.0,37.0,32.0,21.0,18.0,1.0,-,168.0,131.0
6,DIMITRI PERONI,1131,ITA,10.0,3.0,25.0,7.0,1.0,7.0,(47.0),6.0,106.0,59.0
7,RADVILAS JANULIONIS,4086,LTU,17.0,30.0,41.0,(47.0),33.0,8.0,9.0,-,185.0,138.0
7,NICHOLAS HALLIDAY,3647,HKG,11.0,21.0,7.0,2.0,9.0,5.0,4.0,32.0,91.0,59.0
7,PERNELLE MICHON,3962,FRA,6.0,19.0,5.0,12.0,(56.0),1.0,0.0,10.0,109.0,53.0
7,AGATA BARWINSKA,29,POL,5.0,17.0,8.0,2.0,15.0,9.0,0.0,14.0,70.0,53.0
7,ANNE MARIE RINDOM,314,DEN,4.0,12.0,3.0,21.0,13.0,1.0,0.0,20.0,74.0,53.0
7,NUR SHAZRIN MOHAMAD LATIF,3770,MAS,43.0,42.0,4.0,40.0,27.0,4.0,-,-,193.0,150.0
7,ATTILIO BORIO,410,ITA,29.0,6.0,(47.0),19.0,25.0,10.0,7.0,-,143.0,96.0
8,EDUARDO MARQUES,1204,POR,1.0,12.0,5.0,9.0,4.0,10.0,21.0,20.0,82.0,61.0
8,ALASTAIR BROWN,69,GBR,22.0,39.0,21.0,15.0,20.0,20.0,2.0,-,139.0,100.0
8,ERIK NORLEN,1339,SWE,40.0,32.0,36.0,25.0,30.0,11.0,7.0,-,181.0,141.0
8,CARLOTTA RIZZARDI,755,ITA,28.0,39.0,28.0,25.0,43.0,20.0,-,-,194.0,151.0
9,UMUT EYRIPARMAK,4940,TUR,31.0,(47.0),23.0,39.0,37.0,7.0,5.0,-,189.0,142.0
9,OMER VERED VILENCHIK,3821,ISR,5.0,2.0,1.0,22.0,5.0,39.0,1.0,29.0,104.0,65.0
9,LUKA ZABUKOVEC,2941,SLO,27.0,19.0,3.0,26.0,23.0,3.0,31.0,-,132.0,101.0
9,ZOFIA WOJCIK,5293,POL,49.0,28.0,29.0,32.0,19.0,17.0,-,-,203.0,154.0
10,TONCI STIPANOVIC,4903,CRO,24.0,22.0,1.0,1.0,20.0,2.0,24.0,3.0,97.0,73.0
10,OTTO DAHLBERG,3843,FIN,37.0,37.0,4.0,10.0,19.0,22.0,9.0,-,138.0,101.0
