Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,Total,Nett
1,MAX STIFF,3366,,(21.0),6.0,4.0,10.0,1.0,6.0,1.0,7.0,6.0,62.0,41.0
2,VICTOR HENSEL,5023,,(22.0),2.0,3.0,18.0,20.0,5.0,16.0,6.0,10.0,102.0,80.0
3,MORTEN BEN BORCHARDT,3562,,(43.0),12.0,2.0,1.0,10.0,8.0,20.0,15.0,13.0,124.0,81.0
4,JESSE MO METT,2196,,(52.0),4.0,16.0,8.0,13.0,2.0,19.0,26.0,4.0,144.0,92.0
5,LINE-ANNELIEK PAHLER,2829,,24.0,3.0,(29.0),2.0,27.0,11.0,7.0,4.0,16.0,123.0,94.0
6,"RICARDO GI, ESSLER",4140,,7.0,(40.0),9.0,12.0,12.0,21.0,6.0,9.0,18.0,134.0,94.0
7,FRANZ LASCH,1546,,27.0,16.0,15.0,14.0,(37.0),20.0,2.0,1.0,5.0,137.0,100.0
8,TOM STRUVE,4870,,9.0,5.0,12.0,16.0,5.0,(28.0),8.0,23.0,28.0,134.0,106.0
9,NICLAS PERBAND,3659,,(46.0),27.0,5.0,4.0,2.0,24.0,13.0,19.0,14.0,154.0,108.0
10,HENRIK PETERS,1872,,25.0,8.0,11.0,9.0,14.0,3.0,23.0,(76.0),15.0,184.0,108.0
11,JUSTUS FRIEDRICH LOECK,2436,,15.0,10.0,7.0,31.0,11.0,17.0,(39.0),8.0,9.0,147.0,108.0
12,LENNY SCHULZE,2747,,5.0,26.0,14.0,7.0,(42.0),22.0,12.0,5.0,21.0,154.0,112.0
13,EVA WIESE,1370,,3.0,9.0,(37.0),35.0,16.0,9.0,9.0,2.0,36.0,156.0,119.0
14,HANNES BRAUNE,1799,,(48.0),41.0,24.0,3.0,8.0,7.0,4.0,35.0,3.0,173.0,125.0
15,VALERIAN TREGEL,4972,,11.0,23.0,1.0,37.0,4.0,(40.0),5.0,10.0,37.0,168.0,128.0
16,MIRJA DOHLE,3511,,12.0,13.0,31.0,25.0,3.0,14.0,17.0,16.0,(41.0),172.0,131.0
17,FRITZ BOHLKE,1577,,8.0,14.0,25.0,17.0,6.0,13.0,24.0,25.0,(76.0),208.0,132.0
18,HENRIK KULIK,1871,,2.0,25.0,17.0,15.0,31.0,15.0,18.0,12.0,(76.0),211.0,135.0
19,TILL HEIMANN,4799,,(44.0),21.0,13.0,5.0,9.0,16.0,33.0,30.0,25.0,196.0,152.0
20,PAUL ULRICH,3917,,4.0,1.0,19.0,13.0,(76.0),76.0,15.0,24.0,2.0,230.0,154.0
21,SIMON STRACKOW,4498,,20.0,32.0,21.0,24.0,(33.0),25.0,10.0,21.0,1.0,187.0,154.0
22,LORENZ HACKBUSCH,2870,,1.0,55.0,27.0,6.0,26.0,29.0,3.0,20.0,(76.0),243.0,167.0
23,MAXIMILIAN RUDEBUSCH,3385,,10.0,35.0,34.0,26.0,7.0,(75.0),14.0,36.0,11.0,248.0,173.0
24,NEELE LUISA NAGEL,3627,,31.0,(50.0),23.0,23.0,21.0,48.0,11.0,13.0,12.0,232.0,182.0
25,JULE-JOHANNA BLANK,2377,,14.0,44.0,22.0,21.0,15.0,(76.0),25.0,31.0,19.0,267.0,191.0
26,JESPER FREIENSTEIN,2193,,17.0,(62.0),18.0,45.0,19.0,18.0,60.0,33.0,8.0,280.0,218.0
27,THEO PIESKER,4737,,33.0,15.0,28.0,27.0,(40.0),39.0,26.0,28.0,26.0,262.0,222.0
28,JAN BELIK,2112,,36.0,17.0,40.0,27.0,35.0,(59.0),29.0,3.0,40.0,286.0,227.0
29,FELIX BONHAGEN,1435,,23.0,33.0,41.0,37.0,17.0,(52.0),27.0,32.0,17.0,279.0,227.0
30,ANAIS WIENEN,197,,19.0,39.0,42.0,22.0,32.0,34.0,36.0,17.0,(44.0),285.0,241.0
31,JONATHAN RIECK,2305,,35.0,19.0,44.0,38.0,26.0,23.0,44.0,18.0,(76.0),323.0,247.0
32,LEON KAHL,2754,,(62.0),18.0,30.0,49.0,29.0,26.0,21.0,29.0,52.0,316.0,254.0
33,SANDER WOLFF,4315,,28.0,7.0,36.0,34.0,(50.0),47.0,34.0,47.0,23.0,306.0,256.0
34,PAULINE BASTIAN,3924,,41.0,37.0,(47.0),20.0,24.0,10.0,46.0,40.0,45.0,310.0,263.0
