Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,BORIS DE WILDE,621,,1.0,(2.0),2.0,1.0,2.0,8.0,6.0
1,WANNES VAN LAER,5088,BEL,(1.0),1.0,1.0,1.0,1.0,5.0,4.0
2,ALEXANDER DE BIE,116,,(3.0),1.0,1.0,2.0,3.0,10.0,7.0
2,MICHEL MAJON,3463,,2.0,2.0,3.0,(4.0),4.0,15.0,11.0
3,BART MEYNENDONCK,462,,2.0,(3.0),3.0,3.0,1.0,12.0,9.0
3,NICOLAS DUMONCEAU,3675,,(7.0),3.0,2.0,2.0,5.0,19.0,12.0
4,PIERRE VANDECLEE,4020,,4.0,(5.0),5.0,4.0,4.0,22.0,17.0
4,PIETER VAN LAER,4024,,4.0,5.0,(6.0),3.0,2.0,20.0,14.0
5,ALEXANDRE FRISSEN,136,,5.0,4.0,(6.0),5.0,6.0,26.0,20.0
5,ERIC BONHOMME,1325,,3.0,4.0,4.0,(5.0),3.0,19.0,14.0
6,ESTHER GHEKIERE,1361,,(7.0),7.0,4.0,6.0,5.0,29.0,22.0
6,JANEZ PERKO,2129,,8.0,6.0,5.0,(9.0),7.0,35.0,26.0
7,AXEL HOLDERBEKE,424,,6.0,(8.0),7.0,8.0,6.0,35.0,27.0
8,ROEL PEERLINCK,4190,,5.0,(9.0),9.0,6.0,9.0,38.0,29.0
9,FLORIAN PAQUAY,1499,,(9.0),7.0,8.0,7.0,8.0,39.0,30.0
10,MIKE BLINDEMAN,3480,,(11.0),10.0,11.0,11.0,11.0,54.0,43.0
