Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,Total,Nett
1,ALINA SHAPOVALOVA,160,UKR,1.0,3.0,1.0,5.0,5.0
2,LENNY ZUGER,2748,,2.0,1.0,2.0,5.0,5.0
3,MATTHEW CHASSOT,3329,,3.0,2.0,3.0,8.0,8.0
4,THOMAS VEZ,4782,,4.0,4.0,4.0,12.0,12.0
5,SHANA BURGER,4447,,12.0,5.0,5.0,22.0,22.0
6,JONAS BARRAUD,2290,,10.0,6.0,7.0,23.0,23.0
7,REMO STEINMANN,4127,,9.0,11.0,6.0,26.0,26.0
8,THOMAS THYM,4780,,7.0,12.0,9.0,28.0,28.0
9,JOSEPH JAECKY,2335,,8.0,13.0,8.0,29.0,29.0
10,JAKOB MALCHOW,2078,,5.0,14.0,11.0,30.0,30.0
11,REBECCA COOK,4112,,6.0,15.0,10.0,31.0,31.0
12,JOSEPH RICHARDSON,2338,,13.0,7.0,14.0,34.0,34.0
13,NOAH TSCHOPP,3746,,11.0,8.0,15.0,34.0,34.0
14,TIMOTEO FILIPPINI,4823,,16.0,9.0,13.0,38.0,38.0
15,JOANNA UTIGER,2241,,14.0,17.0,12.0,43.0,43.0
16,WALTER GAHWILER,5083,,17.0,10.0,17.0,44.0,44.0
17,LUCILLE ANDREY,2922,,15.0,16.0,16.0,47.0,47.0
18,MARIE DIETMAIR,3142,,19.0,19.0,19.0,57.0,57.0
