Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,EVA DEICHMANN,1368,,1.0,2.0,1.0,2.0,(9.0),15.0,6.0
2,PHILIPP VAN HUSEN,3999,,3.0,1.0,(6.0),3.0,3.0,16.0,10.0
3,JANNES LLULL,2135,,(10.0),5.0,2.0,5.0,1.0,23.0,13.0
4,YOLANDA GEBEL,5228,,2.0,4.0,3.0,(13.0),5.0,27.0,14.0
5,ALEKSANDER KRYSIAK,93,,(12.0),6.0,7.0,1.0,2.0,28.0,16.0
6,MARLENE BRANDIS,3202,,8.0,3.0,(9.0),6.0,6.0,32.0,23.0
7,ARMANDO MORENO,369,,11.0,7.0,4.0,(12.0),4.0,38.0,26.0
8,LUKAS FANGMEYER,2943,,7.0,(9.0),8.0,8.0,7.0,39.0,30.0
9,LARS KREILAUS,2685,,4.0,10.0,10.0,7.0,(18.0),49.0,31.0
10,CHARLOTTE STROHFELDT,829,,9.0,12.0,5.0,9.0,(18.0),53.0,35.0
11,FEDERICO FIERLI,1424,,13.0,8.0,12.0,4.0,(18.0),55.0,37.0
12,CELINE REEGEN,802,,5.0,11.0,13.0,11.0,(18.0),58.0,40.0
13,THORBEN FILLMANN,4789,,(14.0),13.0,11.0,10.0,11.0,59.0,45.0
14,TIMO LAUKHARDT,4819,,6.0,15.0,14.0,15.0,(18.0),68.0,50.0
15,FELIX KLIER,1437,,15.0,14.0,(16.0),14.0,10.0,69.0,53.0
16,LEVIN KOSKA,2775,,16.0,17.0,15.0,(18.0),8.0,74.0,56.0
17,LEONARD ALEXANDER MAIER,2757,,(18.0),16.0,17.0,16.0,12.0,79.0,61.0
