Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,Total,Nett
1,AKSEL NAESHAGEN,64,,2.0,1.0,2.0,2.0,(4.0),3.0,4.0,1.0,19.0,15.0
1,CHRISTOFFER SORLIE,887,NOR,2.0,1.0,1.0,1.0,(3.0),1.0,1.0,2.0,12.0,9.0
2,MIA BECKMANN KLAEBOE,3437,,1.0,2.0,(9.0),7.0,3.0,5.0,6.0,5.0,38.0,29.0
2,JENS KAASTAD ORJAVIK,2174,,1.0,2.0,3.0,3.0,2.0,(5.0),2.0,1.0,19.0,14.0
3,NILAS GOA DIAB,3715,,5.0,3.0,1.0,3.0,9.0,9.0,(10.0),2.0,42.0,32.0
3,SVERRE LANGAAS-HOLT,4654,,3.0,(4.0),2.0,2.0,1.0,2.0,3.0,3.0,20.0,16.0
4,TINUS STROMME,4829,,(4.0),3.0,4.0,4.0,4.0,3.0,4.0,4.0,30.0,26.0
4,UNA BRYHNI UTHEIM,4941,,3.0,4.0,4.0,10.0,(13.0),6.0,9.0,4.0,53.0,40.0
5,GUDLEIK KJOPSNES,1740,,(17.0),5.0,8.0,13.0,6.0,2.0,2.0,6.0,59.0,42.0
6,OLAV GRONLUND,3797,,(11.0),6.0,6.0,9.0,5.0,7.0,7.0,3.0,54.0,43.0
7,MIKKEL JANSEN,3484,,6.0,8.0,7.0,6.0,9.0,1.0,(12.0),8.0,57.0,45.0
8,SOREN HOMME HALAND,4560,,7.0,14.0,(15.0),4.0,2.0,12.0,5.0,9.0,68.0,53.0
9,ANA WINTHER,195,,4.0,11.0,3.0,5.0,14.0,18.0,1.0,(27.0),83.0,56.0
10,IDA-LINN VITTERSO,1968,,12.0,12.0,12.0,1.0,7.0,(13.0),13.0,7.0,77.0,64.0
11,SINDRE JOHANNES BLYDT AARNAES,4504,,8.0,22.0,13.0,19.0,8.0,8.0,3.0,(27.0),108.0,81.0
12,LINN NOACH,2832,,13.0,10.0,10.0,11.0,(18.0),4.0,17.0,16.0,99.0,81.0
13,NANNA SOFIE JUELL-BERGAN,3605,,9.0,7.0,(27.0),15.0,11.0,14.0,18.0,10.0,111.0,84.0
14,SIMEN HETLE ENGEN,4492,,14.0,(21.0),16.0,18.0,10.0,10.0,8.0,12.0,109.0,88.0
15,AUGUST SJURSEN-ERIKSEN,417,,16.0,18.0,14.0,(27.0),16.0,11.0,11.0,13.0,126.0,99.0
16,VILDE ANDREA BLYDT AARNAES,5045,,18.0,(20.0),11.0,14.0,15.0,15.0,16.0,11.0,120.0,100.0
17,METTE AABYE,3436,,19.0,17.0,(20.0),8.0,20.0,17.0,20.0,14.0,135.0,115.0
18,PELAYO SALVADORES-HANSEN,3949,,20.0,15.5,17.0,21.0,12.0,16.0,15.0,(27.0),143.5,116.5
19,EMILIE K NILSEN,1292,,10.0,9.0,5.0,12.0,(27.0),27.0,27.0,27.0,144.0,117.0
20,HELENE GRUNDVIG HVIDSTEN,1858,,15.0,13.0,19.0,16.0,19.0,(21.0),21.0,17.0,141.0,120.0
21,SOFIE FORLI,4531,,(22.0),19.0,21.0,20.0,17.0,19.0,14.0,18.0,150.0,128.0
22,JACOB HOFFMANN,2058,,21.0,15.5,18.0,17.0,(27.0),27.0,27.0,27.0,179.5,152.5
23,GEORG JENSEG,1630,,(27.0),27.0,27.0,27.0,21.0,20.0,19.0,15.0,183.0,156.0
24,VICTOR AUGUST RONNING SOLSTAD,5016,,(27.0),27.0,27.0,27.0,27.0,27.0,27.0,27.0,216.0,189.0
24,SINDRE SOREBO,4505,,(27.0),27.0,27.0,27.0,27.0,27.0,27.0,27.0,216.0,189.0
24,MARINA HATLOY,3160,,(27.0),27.0,27.0,27.0,27.0,27.0,27.0,27.0,216.0,189.0
