Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,Total,Nett
1,TETIANA NIKITENKOVA,4725,,1.0,1.0,1.0,3.0,3.0
1,FLORIAN HAFNER,1496,,1.0,2.0,1.0,4.0,4.0
2,KATHARINA SCHOCH,2505,,6.0,4.0,2.0,12.0,12.0
2,SEBASTIAN BUHLER,4404,,2.0,1.0,2.0,5.0,5.0
3,MARC FUNKEN,3072,,3.0,6.0,4.0,13.0,13.0
3,ANNA BICHLER,290,,4.0,10.0,4.0,18.0,18.0
4,NICO SCHAFFERLING,3668,,4.0,3.0,8.0,15.0,15.0
4,MORITZ POPP,3557,,10.0,5.0,5.0,20.0,20.0
5,MAXI BICHLER,3371,,3.0,12.0,6.0,21.0,21.0
5,LUKAS RENN,2950,,6.0,5.0,6.0,17.0,17.0
6,EVA DEICHMANN,1368,,7.0,8.0,7.0,22.0,22.0
6,ANDREAS THIEMANN,246,,5.0,11.0,3.0,19.0,19.0
7,THORALF WOLFENSTETTER,4788,,7.0,9.0,5.0,21.0,21.0
7,BIANCA TUNGER,569,,5.0,15.0,3.0,23.0,23.0
8,BEAT HEINZ,478,,9.0,4.0,13.0,26.0,26.0
8,KARL SCHMID,2484,,2.0,7.0,18.0,27.0,27.0
9,ANDREAS SCHRETZENMAYER,245,,10.0,10.0,10.0,30.0,30.0
9,SELINA EBERLE,4432,,9.0,3.0,15.0,27.0,27.0
10,FLORIAN JUNGBAUER,1497,,8.0,8.0,15.0,31.0,31.0
10,SILVIA GOEBEL,4483,,8.0,11.0,8.0,27.0,27.0
11,KLAUS JUNGBAUER,2592,,11.0,19.0,9.0,39.0,39.0
11,TIM WIRTH,4813,,19.0,2.0,9.0,30.0,30.0
12,MORITZ RENN,3558,,16.0,12.0,11.0,39.0,39.0
12,JOSEF MAURER,2329,,12.0,9.0,10.0,31.0,31.0
13,CARL PAWLOWSKY,734,,20.0,7.0,16.0,43.0,43.0
13,STEFAN DR DOMOK,4577,,13.0,6.0,16.0,35.0,35.0
14,HEIKO MAIER,1849,,19.0,16.0,12.0,47.0,47.0
14,KARIN FENDL-RENN,2479,,15.0,19.0,11.0,45.0,45.0
15,LEONIE HEIDER,2761,,16.0,17.0,14.0,47.0,47.0
15,GERALD METZ,1645,,14.0,14.0,20.0,48.0,48.0
16,ELLA HEIDER,1260,,11.0,16.0,22.0,49.0,49.0
16,JOHANNES MENGEL,2270,,29.0,13.0,7.0,49.0,49.0
17,KERSTIN ALTMANN,2544,,17.0,13.0,19.0,49.0,49.0
17,TOM NOLLERT,4863,,13.0,18.0,18.0,49.0,49.0
18,FABIANA EBERLE,1396,,18.0,18.0,13.0,49.0,49.0
18,PHILIPP KYEWSKI,3997,,12.0,23.0,17.0,52.0,52.0
19,KYM AHRENS,2659,,14.0,25.0,12.0,51.0,51.0
19,TIM STEINHAUS,4812,,18.0,22.0,14.0,54.0,54.0
20,JEANETTE SCHLOSSER,2159,,23.0,14.0,25.0,62.0,62.0
20,WOLFGANG MAYER,5161,,17.0,20.0,19.0,56.0,56.0
21,TIMO KLAPPER,4818,,21.0,15.0,21.0,57.0,57.0
21,HANNA REVUTSKA,1786,,24.0,22.0,17.0,63.0,63.0
22,MATHILDE HEIDER,3294,,20.0,23.0,20.0,63.0,63.0
22,JOACHIM BARTHELE,2229,,15.0,21.0,25.0,61.0,61.0
23,FRANK HEIDER,1537,,25.0,17.0,23.0,65.0,65.0
23,MARTIN RENN,3234,,21.0,21.0,24.0,66.0,66.0
24,MORITZ THIELE,3559,,22.0,24.0,24.0,70.0,70.0
24,WILFRIED LIEKMEIER,5125,,22.0,24.0,21.0,67.0,67.0
25,"TOMI SCHWANHA, USSER",4899,,24.0,25.0,22.0,71.0,71.0
25,KLAUS SARZIO,2595,,25.0,20.0,23.0,68.0,68.0
26,TOBIAS CREFELD,4841,,23.0,26.0,32.0,81.0,81.0
26,LEVI VOGEL,2773,,27.0,27.0,27.0,81.0,81.0
27,GEORG NOLLERT,1631,,27.0,28.0,27.0,82.0,82.0
28,HANS TAIBER,1805,,26.0,31.0,26.0,83.0,83.0
29,MICHAEL SCHUPP,3455,,28.0,29.0,29.0,86.0,86.0
30,JOHANN BAPTIST LINDNER,2264,,32.0,27.0,28.0,87.0,87.0
31,MICHAEL MEI,3450,,30.0,30.0,30.0,90.0,90.0
32,RUDOLF VOGEL,4237,,31.0,33.0,33.0,97.0,97.0
