Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,"MARKUS MEILCHEN, BERND SCHALTE",3190,,(2.0),2.0,1.0,1.0,1.0,7.0,5.0
2,"FLORIAN GREINER, DUSTIN FUNK",1494,,1.0,1.0,(2.0),2.0,2.0,8.0,6.0
3,"ANNETTE FORSTER, TOBIAS FORSTER",324,,3.0,4.0,5.0,3.0,(9.0),24.0,15.0
4,"MIRIAM VAN DEN HOUT, SABRINA JACKEL-DOFFING",3510,,4.0,3.0,3.0,(6.0),6.0,22.0,16.0
5,"JANNIK ANDERSEN, JULE SOPHIE ECKERT",2136,,5.0,(7.0),7.0,4.0,4.0,27.0,20.0
6,"KARLO SCHMIEDEL, FRANK HOLM",2489,,6.0,6.0,(9.0),7.0,3.0,31.0,22.0
7,"THOMAS DE , PRYCK, EMMELINE DEDECKER",4762,,7.0,(8.0),8.0,5.0,5.0,33.0,25.0
8,"LORENZO FAHR, LEONARD FAHR",2873,,(8.0),5.0,6.0,8.0,8.0,35.0,27.0
9,"MAIKE MULSER, BJORN BLOM",3011,,(10.0),10.0,4.0,9.0,7.0,40.0,30.0
10,"JOERG WARTENBERG, JONAS KLINKHAMELS",2258,,9.0,9.0,10.0,11.0,(12.0),51.0,39.0
11,"PHILLIP STRAUCH, JANNIK STRAUCH",4008,,(11.0),11.0,11.0,10.0,10.0,53.0,42.0
