Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,Total,Nett
1,MIRJA DOHLE,3511,,1.0,2.0,1.0,4.0,4.0
1,CHRISTOPH MOHRING,888,,1.0,2.0,1.0,4.0,4.0
2,MAX STIFF,3366,,3.0,1.0,3.0,7.0,7.0
2,LUKAS VON LEVERN,2952,,4.0,1.0,3.0,8.0,8.0
3,"RICARDO GI, ESSLER",4140,,2.0,4.0,2.0,8.0,8.0
3,AMIR HEINISCH,189,,3.0,4.0,2.0,9.0,9.0
4,ANAIS WIENEN,197,,4.0,3.0,4.0,11.0,11.0
4,JAN O SCHULZ,2119,,2.0,3.0,4.0,9.0,9.0
5,ERIK RISSANEN,1340,,5.0,5.0,9.0,19.0,19.0
5,MIKA DURAU,3476,,5.0,5.0,6.0,16.0,16.0
6,LEA SOPHIE CLAASEN,2720,,6.0,10.0,5.0,21.0,21.0
6,REINHARD NOACK,4122,,6.0,9.0,5.0,20.0,20.0
7,MORITZ LUTKE NOTARP,3556,,8.0,6.0,11.0,25.0,25.0
7,ERIK FINN JOHANNES PITZNER,1336,,8.0,6.0,12.0,26.0,26.0
8,CHRISTIAN WERBLOW,879,,7.0,8.0,11.0,26.0,26.0
8,COLLIN FINLEY RIEHL,933,,9.0,9.0,7.0,25.0,25.0
9,GUIDO BRUCH,1743,,12.0,7.0,8.0,27.0,27.0
9,HANNES GODDE,1800,,10.0,7.0,10.0,27.0,27.0
10,FRANK STORCK,1540,,9.0,12.0,7.0,28.0,28.0
10,SEBASTIAN RODE,4415,,7.0,15.0,6.0,28.0,28.0
11,KEVIN ROTTGER,2551,,11.0,10.0,8.0,29.0,29.0
11,PAUL PATALAS,3914,,10.0,8.0,13.0,31.0,31.0
12,CLEMENS HORSTMANN,915,,12.0,11.0,9.0,32.0,32.0
12,UTE NOACK,4944,,14.0,11.0,10.0,35.0,35.0
13,LUKAS HADRE,2946,,13.0,13.0,13.0,39.0,39.0
13,ARMANDO MORENO,369,,11.0,13.0,12.0,36.0,36.0
14,MAURICE HORRAS,3349,,13.0,12.0,14.0,39.0,39.0
14,RALF LUBBE,4094,,15.0,15.0,15.0,45.0,45.0
