Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,MORTEN BEN BORCHARDT,3562,,1.0,(5.0),2.0,3.0,1.0,12.0,7.0
2,TOM STRUVE,4870,,7.0,1.0,(8.0),4.0,4.0,24.0,16.0
3,MAXIMILIAN RUDEBUSCH,3385,,4.0,7.0,4.0,1.0,(8.0),24.0,16.0
4,JUSTUS FRIEDRICH LOECK,2436,,5.0,4.0,(7.0),5.0,2.0,23.0,16.0
5,PAULINE BASTIAN,3924,,(11.0),9.0,1.0,6.0,3.0,30.0,19.0
6,MAX STRUVE,3369,,6.0,2.0,5.0,(8.0),6.0,27.0,19.0
7,ANTON THONFELD,338,,(9.0),3.0,6.0,7.0,5.0,30.0,21.0
8,TILL HEIMANN,4799,,2.0,8.0,3.0,(11.0),9.0,33.0,22.0
9,VINCENT THOMAS,5052,,8.0,6.0,(11.0),2.0,7.0,34.0,23.0
10,LARISSA UHDE,2684,,3.0,(11.0),11.0,11.0,11.0,47.0,36.0
