Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,Total,Nett
1,VIESTURS SIMSONS,5040,,2.0,2.0,4.0,7.0,1.0,2.0,1.0,(10.0),2.0,31.0,21.0
1,KARLIS JUNKERS,2488,,1.0,1.0,1.0,1.0,1.0,(11.0),1.0,1.0,1.0,19.0,8.0
2,KARLIS DUBRA,2487,,2.0,3.0,2.0,(11.0),11.0,1.0,2.0,2.0,2.0,36.0,25.0
2,RIHARDS PLAVINS,4153,,3.0,1.0,(8.0),3.0,2.0,4.0,5.0,3.0,3.0,32.0,24.0
3,AGRIS EVALDSONS,37,,4.0,4.0,5.0,2.0,2.0,2.0,6.0,6.0,(7.0),38.0,31.0
3,PAULA LAIPNIECE,3919,,(6.0),4.0,3.0,4.0,5.0,5.0,4.0,1.0,5.0,37.0,31.0
4,RICARDS MUCINS,4142,,4.0,5.0,9.0,2.0,3.0,1.0,7.0,(10.0),1.0,42.0,32.0
4,MARTINS JUNKERS,3253,,5.0,5.0,(7.0),3.0,5.0,4.0,4.0,5.0,3.0,41.0,34.0
5,EMILS AMSILS,1294,,(10.0),10.0,1.0,1.0,8.0,7.0,6.0,2.0,7.0,52.0,42.0
5,ALEKSEJS LVOVS,99,,3.0,2.0,4.0,4.0,6.0,(11.0),6.0,3.0,11.0,50.0,39.0
6,MARTINS JANKOVSKIS,3252,,(9.0),7.0,9.0,7.0,3.0,5.0,5.0,4.0,5.0,54.0,45.0
6,SARONA ALIDA CAUNE,4361,,1.0,3.0,2.0,8.0,6.0,8.0,9.0,6.0,(10.0),53.0,43.0
7,EMILS MIKUS BASKEVICS,1295,,7.0,(10.0),7.0,6.0,4.0,3.0,2.0,10.0,4.0,53.0,43.0
7,NIKITA LAKSTIGALA,3701,,6.0,(11.0),8.0,11.0,4.0,3.0,7.0,7.0,4.0,61.0,50.0
8,JEKABS CODARS,2163,,(10.0),6.0,6.0,5.0,7.0,6.0,3.0,4.0,6.0,53.0,43.0
8,ARVIS HERMANIS MAURITIS,397,,7.0,(11.0),3.0,5.0,8.0,11.0,8.0,8.0,8.0,69.0,58.0
9,MARTA LIVA RUPENHEITE,3214,,5.0,(10.0),5.0,9.0,9.0,10.0,8.0,5.0,8.0,69.0,59.0
9,MARKUSS MIEZIS,3198,,(11.0),8.0,10.0,6.0,7.0,6.0,9.0,9.0,6.0,72.0,61.0
10,GIRTS TIMROTS,1683,,8.0,6.0,6.0,8.0,9.0,7.0,(11.0),11.0,11.0,77.0,66.0
