Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,LEVIAN BUSCHER,2774,,1.0,2.0,2.0,1.0,(3.0),9.0,6.0
1,ROGER SCHULZ,4192,,(8.0),3.0,2.0,4.0,1.0,18.0,10.0
2,LEON KAHL,2754,,2.0,(3.0),3.0,2.0,1.0,11.0,8.0
2,NICOLAS THIERSE,3682,,5.0,(11.0),3.0,2.0,2.0,23.0,12.0
3,JONATHAN BRINKMANN,2301,,3.0,1.0,1.0,(6.0),5.0,16.0,10.0
3,MARKUS MUELLER,3191,,7.0,1.0,(11.0),3.0,3.0,25.0,14.0
4,JONATHAN BERGSCHMIDT,2300,,1.0,4.0,4.0,(6.0),5.0,20.0,14.0
4,FINN PETZOLD,1475,,(9.0),8.0,4.0,7.0,2.0,30.0,21.0
5,LENA ABENDROTH,2737,,4.0,(9.0),5.0,4.0,8.0,30.0,21.0
5,STEFAN MAGNEI,4581,,4.0,5.0,1.0,(8.0),6.0,24.0,16.0
6,FABIAN SCHMITZ,1393,,(11.0),2.0,9.0,1.0,7.0,30.0,19.0
6,JAN GISSELMANN,2114,,(8.0),5.0,7.0,3.0,7.0,30.0,22.0
7,PETER STEIN,3975,,3.0,6.0,10.0,(11.0),10.0,40.0,29.0
7,SEBASTIAN RODE,4415,,5.0,4.0,(15.0),12.0,4.0,40.0,25.0
8,ARNDT KLINGENBURG,372,,7.0,7.0,9.0,8.0,(12.0),43.0,31.0
8,STEFAN MAUER,4582,,9.0,8.0,(14.0),10.0,4.0,45.0,31.0
9,MANUEL BREIHAN,3064,,6.0,9.0,8.0,9.0,(14.0),46.0,32.0
9,FINN BICKERT,1470,,(12.0),12.0,8.0,5.0,9.0,46.0,34.0
10,SEBASTIAN LAPPE,4413,,6.0,10.0,(14.0),11.0,10.0,51.0,37.0
10,JENS BREER,2171,,(14.0),14.0,6.0,7.0,8.0,49.0,35.0
11,DENNIS LEUKEL,1097,,2.0,7.0,7.0,(20.0),20.0,56.0,36.0
11,CONSTANTIN ENGELKE,948,,(15.0),13.0,6.0,10.0,11.0,55.0,40.0
12,THOMAS LEUKEL,4769,,13.0,13.0,5.0,5.0,(20.0),56.0,36.0
12,LAURA BRUCH,2697,,11.0,6.0,(16.0),13.0,15.0,61.0,45.0
13,OLE STAPPEN,3800,,12.0,12.0,(13.0),13.0,9.0,59.0,46.0
13,GUIDO BRUCH,1743,,(13.0),11.0,13.0,9.0,13.0,59.0,46.0
14,LEON MARGALE,2755,,10.0,(20.0),12.0,12.0,12.0,66.0,46.0
14,ERIK RISSANEN,1340,,16.0,17.0,10.0,(18.0),6.0,67.0,49.0
15,KLAUS SCHULTE,2596,,10.0,(23.0),11.0,14.0,16.0,74.0,51.0
15,LASSE TRIEBEL,2691,,(16.0),10.0,15.0,14.0,11.0,66.0,50.0
16,NILS AHRENS,3718,,(17.0),16.0,16.0,15.0,15.0,79.0,62.0
16,VICTORIA LAPPE,5030,,14.0,14.0,12.0,(16.0),14.0,70.0,54.0
17,CEDRIC-SOREN VOGT,801,,19.0,(20.0),17.0,16.0,13.0,85.0,65.0
17,PHYLLIS-SOLVEIG VOGT,4009,,(17.0),15.0,17.0,15.0,17.0,81.0,64.0
18,VOLKER STREHLE,5070,,18.0,15.0,(20.0),20.0,20.0,93.0,73.0
18,ALEXANDER ROTHHOFT,125,,18.0,18.0,18.0,17.0,(19.0),90.0,71.0
19,OLIVER MORGENSTERN,3808,,15.0,(20.0),20.0,20.0,20.0,95.0,75.0
19,NILS FLORYZAK,3721,,(19.0),16.0,19.0,19.0,18.0,91.0,72.0
20,TOBIAS SORGE,4848,,20.0,(23.0),21.0,21.0,23.0,108.0,85.0
21,JOHANNA WILD,2267,,(23.0),23.0,20.0,20.0,23.0,109.0,86.0
22,TOM NACHTSHEIM,4862,,(23.0),23.0,23.0,23.0,23.0,115.0,92.0
