Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
1,"IMKE WEIDENBACH, MATHIAS WEIDENBACH",1986,,1.0,1.0,1.0,1.0,1.0,(18.0),23.0,5.0
2,"KRISTOF DOFFING, JAN KAMINSKI",2632,,3.0,2.0,3.0,(10.0),2.0,2.0,22.0,12.0
3,"SEBASTIAN KONRAD, STEFAN BRAMBOSCH",4410,,2.0,4.0,2.0,(9.0),3.0,3.0,23.0,14.0
4,"MAX PLEGER, BEATRICE BADOUIN",3364,,(10.0),6.0,6.0,7.0,4.0,1.0,34.0,24.0
5,"JOERG WARTENBERG, ANDREAS FUCHS",2257,,(8.0),3.0,5.0,4.0,6.0,8.0,34.0,26.0
6,"ISABELL SAWERT, DOMINIC KOSER",2010,,5.0,8.0,(9.0),8.0,5.0,4.0,39.0,30.0
7,"MIRIAM VAN DEN HOUT, SABRINA JACKEL-DOFFING",3510,,7.0,7.0,(17.0),5.0,7.0,5.0,48.0,31.0
8,"HENRIKE LERCH, JONA SPONSEL",1874,,6.0,9.0,8.0,3.0,(11.0),6.0,43.0,32.0
9,"MARKUS MEILCHEN, BERND SCHALTE",3190,,4.0,5.0,4.0,2.0,(18.0),18.0,51.0,33.0
10,"BIRGIT SCHEER, SUSE KLASEN",580,,9.0,11.0,11.0,(12.0),10.0,7.0,60.0,48.0
11,"JANNIK STRAUCH, PHILLIP STRAUCH",2137,,(13.0),10.0,10.0,11.0,9.0,10.0,63.0,50.0
12,"MAIKE MULSER, BJORN BLOM",3011,,11.0,(13.0),13.0,6.0,12.0,9.0,64.0,51.0
13,"THOMAS SCHUMANN, CHRISTIAN FUCHS",4776,,(14.0),14.0,12.0,13.0,8.0,12.0,73.0,59.0
14,"RAPHAEL HAMMEL, ELIAS SPIEWOK",4102,,(15.0),15.0,7.0,14.0,13.0,11.0,75.0,60.0
15,"BIANCA BANNENBERG, ELENA SCHULZE ZURMUSSEN",566,,12.0,12.0,(15.0),15.0,14.0,13.0,81.0,66.0
16,"MAIKE BOVING, KATHARINA NIEDENZU",3010,,(17.0),17.0,16.0,16.0,15.0,14.0,95.0,78.0
17,"MARION PETER, ULRIKE KURBY",3175,,16.0,16.0,14.0,17.0,(18.0),18.0,99.0,81.0
