Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,ALEXANDER DE BIE,116,,1.0,2.0,1.0,2.0,(14.0),20.0,6.0
2,LUKA SCHERENS,2940,,(4.0),1.0,4.0,3.0,1.0,13.0,9.0
3,BORIS DE WILDE,621,,2.0,4.0,(14.0),1.0,9.0,30.0,16.0
4,"EMILIE VAN DE VOORD, E, -VAN BOCXLAER",1293,,3.0,3.0,(7.0),7.0,4.0,24.0,17.0
5,"SEBASTIEN VAN DE VOORD, E, -VAN BOCXLAE",4423,,7.0,6.0,3.0,(8.0),2.0,26.0,18.0
6,BAVO SMETS,475,,(14.0),7.0,2.0,4.0,5.0,32.0,18.0
7,LUCA VANLAEKE,2902,,5.0,5.0,(9.0),6.0,3.0,28.0,19.0
8,JEAN-LAURENT DIRIX,2158,,9.0,(10.0),6.0,5.0,10.0,40.0,30.0
9,JULIEN KUPFERMUNZ,2414,,8.0,8.0,(11.0),9.0,6.0,42.0,31.0
10,VICTOR CAMBIER,5021,,6.0,9.0,8.0,11.0,(12.0),46.0,34.0
11,MATTIS PEIRS,3345,,10.0,(11.0),5.0,10.0,11.0,47.0,36.0
12,FLORIS MAES,1503,,11.0,12.0,12.0,(13.0),7.0,55.0,42.0
13,ROELAND DEPLANCKE,4191,,12.0,(13.0),10.0,12.0,8.0,55.0,42.0
