Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
1,ARON HEIMONEN,376,,4.0,2.0,3.0,(5.0),1.0,4.0,19.0,14.0
1,CHRISTOFFER SORLIE,887,NOR,1.0,2.0,1.0,(9.0),4.0,5.0,22.0,13.0
2,UFFE TOMASGAARD,4934,NOR,3.0,7.0,(8.0),1.0,3.0,3.0,25.0,17.0
2,NILAS GOA DIAB,3715,,1.0,1.0,5.0,(20.0),6.0,3.0,36.0,16.0
3,AKSEL NAESHAGEN,64,,3.0,(7.0),2.0,4.0,2.0,5.0,23.0,16.0
3,LUDVIG LINDQVIST,2931,SWE,4.0,1.0,(9.0),3.0,9.0,1.0,27.0,18.0
4,IDA-LINN VITTERSO,1968,,7.0,4.0,1.0,11.0,(28.0),1.0,52.0,24.0
4,OLAI HAGLAND,3796,,6.0,(9.0),4.0,2.0,1.0,6.0,28.0,19.0
5,EIVIND MELLEBY,1216,,(8.0),6.0,6.0,5.0,5.0,2.0,32.0,24.0
5,MIA BECKMANN KLAEBOE,3437,,2.0,3.0,(16.0),7.0,3.0,9.0,40.0,24.0
6,JONAS AUGUST STJERNSTROM,2289,,5.0,10.0,3.0,(16.0),2.0,9.0,45.0,29.0
6,EMILIE K NILSEN,1292,,8.0,10.0,6.0,9.0,(12.0),2.0,47.0,35.0
7,JENS JOHAN KAASTAD ORJAVIK,2173,,2.0,11.0,5.0,(12.0),12.0,4.0,46.0,34.0
7,OLAV STANDNES GRONLUND,3798,,5.0,6.0,8.0,10.0,(16.0),7.0,52.0,36.0
8,IVER ELIAS HOLM,2030,,12.0,4.0,(13.0),8.0,7.0,8.0,52.0,39.0
8,ALBERTINE LIND,76,,6.0,13.0,11.0,2.0,(14.0),8.0,54.0,40.0
9,ANDERS LINDEMARK,217,,9.0,12.0,2.0,(13.0),10.0,7.0,53.0,40.0
9,ERIK BOEN,1333,,10.0,8.0,13.0,5.0,(15.0),6.0,57.0,42.0
10,UNA BRYHNI UTHEIM,4941,,11.0,12.0,7.0,3.0,11.0,(13.0),57.0,44.0
10,MAGNUS NILSSON,3005,,14.0,3.0,7.0,(15.0),8.0,10.0,57.0,42.0
11,TERJE ANDRE KJAER,4718,,7.0,5.0,14.0,10.0,(18.0),13.0,67.0,49.0
11,NANNA SOFIE JUELL-BERGAN,3605,,15.0,16.0,4.0,(17.0),4.0,12.0,68.0,51.0
12,GUILLERMO GARCIA DE LA CONCHA,1750,,(18.0),15.0,10.0,7.0,6.0,14.0,70.0,52.0
12,SINDRE JOHANNES BLYDT AARNAES,4504,,(21.0),9.0,10.0,8.0,10.0,15.0,73.0,52.0
13,EINAR OLAF BLYDT AARNAES,1214,,11.0,8.0,(12.0),11.0,11.0,11.0,64.0,52.0
13,VILDE ANDREA BLYDT AARNAES,5045,,(18.0),14.0,15.0,14.0,13.0,10.0,84.0,66.0
14,JESPER MOBERG,2194,,13.0,(18.0),17.0,4.0,15.0,15.0,82.0,64.0
14,ANA EMILIE WINTHER,191,,13.0,5.0,12.0,21.0,(22.0),20.0,93.0,71.0
15,AUGUST AUSTEFJORD,415,,(30.0),13.0,11.0,14.0,13.0,17.0,98.0,68.0
15,EMIL SCHONING-OLSEN,1283,,23.0,19.0,(25.0),6.0,7.0,17.0,97.0,72.0
16,EIVIND WESTBY,1217,,15.0,17.0,19.0,6.0,(24.0),12.0,93.0,69.0
16,LINN NOACH,2832,,(22.0),11.0,9.0,13.0,19.0,21.0,95.0,73.0
17,AUGUST SJURSEN-ERIKSEN,417,,9.0,18.0,18.0,(19.0),17.0,11.0,92.0,73.0
17,BJORN MALM,583,,10.0,14.0,(26.0),19.0,17.0,20.0,106.0,80.0
18,NICLAS DOMACK,3656,,17.0,22.0,15.0,(28.0),14.0,18.0,114.0,86.0
18,MIKKEL JANSEN,3484,,20.0,(28.0),17.0,21.0,5.0,18.0,109.0,81.0
19,PER ERLING ASPELIEN,3956,,16.0,21.0,18.0,22.0,(26.0),16.0,119.0,93.0
19,SOREN HOMME HALAND,4560,,19.0,17.0,(24.0),12.0,18.0,16.0,106.0,82.0
20,HANNE BIRKELAND,1797,,16.0,15.0,(30.0),30.0,8.0,14.0,113.0,83.0
20,NILS PETTER HOVEMOEN,3723,,(21.0),16.0,21.0,20.0,20.0,21.0,119.0,98.0
21,HELENE GRUNDVIG HVIDSTEN,1858,,(24.0),20.0,14.0,23.0,9.0,23.0,113.0,89.0
21,NICOLAY BERARD-ANDERSEN,3685,,22.0,(25.0),25.0,17.0,16.0,24.0,129.0,104.0
22,METTE AABYE,3436,,14.0,(23.0),23.0,18.0,20.0,19.0,117.0,94.0
22,MARCUS HILLIG,3097,,20.0,26.0,20.0,25.0,(28.0),19.0,138.0,110.0
23,JACOB HOFFMANN,2058,,12.0,22.0,19.0,15.0,(30.0),30.0,128.0,98.0
23,TINUS STROMME,4829,,(30.0),28.0,22.0,18.0,21.0,23.0,142.0,112.0
24,BENDIK STENING,498,,(25.0),21.0,20.0,24.0,21.0,24.0,135.0,110.0
24,ROMAN SHEVCHUK,4207,,(30.0),19.0,16.0,30.0,23.0,25.0,143.0,113.0
25,SOFIE FORLI,4531,,(27.0),25.0,21.0,22.0,25.0,26.0,146.0,119.0
25,BARRY SPRADBROW,458,,24.0,20.0,24.0,26.0,19.0,(27.0),140.0,113.0
26,CHRISTIAN HENRIK BERGH,875,,(25.0),23.0,23.0,23.0,25.0,22.0,141.0,116.0
26,GRY DAHL,1734,,21.0,26.0,26.0,(30.0),23.0,25.0,151.0,121.0
27,MARIANNE BERG,3139,,26.0,24.0,22.0,(30.0),26.0,27.0,155.0,125.0
27,KRISTIAN VALE,2630,,23.0,24.0,(28.0),27.0,22.0,26.0,150.0,122.0
28,MARINA HATLOY,3160,,29.0,(30.0),30.0,30.0,24.0,22.0,165.0,135.0
28,SVEN ARNE KNUDSEN,4647,,26.0,27.0,27.0,21.0,27.0,(28.0),156.0,128.0
29,EIVIND GRAVERSEN,1215,,19.0,29.0,29.0,29.0,(34.0),34.0,174.0,140.0
29,INGRID BOEN,1992,,(30.0),30.0,30.0,30.0,30.0,30.0,180.0,150.0
30,GEIR SUNDE,1624,,(34.0),34.0,34.0,34.0,34.0,34.0,204.0,170.0
30,TILIAM STROMME,4798,,(34.0),34.0,34.0,34.0,34.0,34.0,204.0,170.0
30,SVERRE LANGAAS-HOLT,4654,,(34.0),34.0,34.0,34.0,34.0,34.0,204.0,170.0
30,MORTEN D LIE,3563,,(34.0),34.0,34.0,34.0,34.0,34.0,204.0,170.0
