Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,TIMO RIEMENSCHNEIDER,4820,,1.0,1.0,1.0,1.0,1.0,5.0,5.0
2,MAXIMILIAN NEST,3382,,2.0,2.0,2.0,2.0,2.0,10.0,10.0
3,MORITZ VON GAUDECKER,3560,,3.0,3.0,3.0,3.0,3.0,15.0,15.0
4,MAX WEISEL,3370,,4.0,4.0,4.0,4.0,4.0,20.0,20.0
5,FABIAN FRICK,1390,,5.0,5.0,5.0,5.0,5.0,25.0,25.0
6,FABIAN HEINZE,1391,,6.0,6.0,6.0,6.0,6.0,30.0,30.0
7,RALF SCHULT,4095,,7.0,7.0,7.0,7.0,7.0,35.0,35.0
8,PAULINE REHNERT,3926,,8.0,8.0,8.0,8.0,8.0,40.0,40.0
9,MARVIN GRANDT,3258,,9.0,9.0,9.0,9.0,9.0,45.0,45.0
10,LONIA ERDMANN,2868,,10.0,10.0,10.0,10.0,10.0,50.0,50.0
11,TIMO BECKER,4816,,11.0,11.0,11.0,11.0,11.0,55.0,55.0
12,MELANIE KAYSER,3418,,12.0,12.0,12.0,12.0,12.0,60.0,60.0
13,JONA LION,2287,,13.0,13.0,13.0,13.0,13.0,65.0,65.0
14,NILAS SCHNEEKLOTH,3716,,15.0,15.0,15.0,15.0,15.0,75.0,75.0
