Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,LUKAS BARAN,2942,,1.0,1.0,1.0,1.0,1.0,5.0,5.0
2,KIM SCHNEIDER,2568,,2.0,2.0,2.0,2.0,2.0,10.0,10.0
3,ZEPHANJA ARZT,5268,,3.0,3.0,3.0,3.0,3.0,15.0,15.0
4,TIMO RIEMENSCHNEIDER,4820,,4.0,4.0,4.0,4.0,4.0,20.0,20.0
5,RALF SCHULT,4095,,5.0,5.0,5.0,5.0,5.0,25.0,25.0
6,NORA KLEMENT,3759,,6.0,6.0,6.0,6.0,6.0,30.0,30.0
7,SEBASTIAN DANNENBERG,4405,,7.0,7.0,7.0,7.0,7.0,35.0,35.0
8,NILS OPROTKOWITZ,3722,,8.0,8.0,8.0,8.0,8.0,40.0,40.0
9,MELANIE KAYSER,3418,,9.0,9.0,9.0,9.0,9.0,45.0,45.0
10,LUIS PASTORS,2934,,10.0,10.0,10.0,10.0,10.0,50.0,50.0
11,"SEBASTIAN DANNENBERG, JASMIN DANNENBERG",4406,,11.0,11.0,11.0,11.0,11.0,55.0,55.0
12,LYNN WARKOTZ,2971,,12.0,12.0,12.0,12.0,12.0,60.0,60.0
13,MORITZ VON GAUDECKER,3560,,13.0,13.0,13.0,13.0,13.0,65.0,65.0
14,FABIAN HEINZE,1391,,15.0,15.0,15.0,15.0,15.0,75.0,75.0
