Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,ZEPHANJA ARZT,5268,,1.0,1.0,1.0,1.0,1.0,5.0,5.0
2,TIMO RIEMENSCHNEIDER,4820,,2.0,2.0,2.0,2.0,2.0,10.0,10.0
3,RALF SCHULT,4095,,3.0,3.0,3.0,3.0,3.0,15.0,15.0
4,JANNES AHLERS,2134,,4.0,4.0,4.0,4.0,4.0,20.0,20.0
5,MARVIN GRANDT,3258,,5.0,5.0,5.0,5.0,5.0,25.0,25.0
6,LENNART RADLOF,2745,,6.0,6.0,6.0,6.0,6.0,30.0,30.0
7,FABIAN HEINZE,1391,,7.0,7.0,7.0,7.0,7.0,35.0,35.0
8,PAULINE REHNERT,3926,,8.0,8.0,8.0,8.0,8.0,40.0,40.0
9,MORITZ VON GAUDECKER,3560,,9.0,9.0,9.0,9.0,9.0,45.0,45.0
10,GUNDULA WINTER,1752,,10.0,10.0,10.0,10.0,10.0,50.0,50.0
11,BARNET HAGER,452,,11.0,11.0,11.0,11.0,11.0,55.0,55.0
12,JONATHAN ISSELSTEIN,2304,,12.0,12.0,12.0,12.0,12.0,60.0,60.0
13,MAXIMILIAN NEST,3382,,13.0,13.0,13.0,13.0,13.0,65.0,65.0
14,MAX WEISEL,3370,,14.0,14.0,14.0,14.0,14.0,70.0,70.0
15,LIA GEHRKE,2784,,15.0,15.0,15.0,15.0,15.0,75.0,75.0
16,MELANIE KAYSER,3418,,16.0,16.0,16.0,16.0,16.0,80.0,80.0
17,DANIEL EVERS,1024,,17.0,17.0,17.0,17.0,17.0,85.0,85.0
18,MAX GRIEGER,3358,,18.0,18.0,18.0,18.0,18.0,90.0,90.0
