Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
1,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",1965,,7.0,1.0,3.0,6.0,1.0,6.0,27.0,19.0,8.0,1.0,19.0,12.0,4.0,114.0,87.0
1,"BILLY BESSON, MARIE RIOU",574,,8.0,3.0,1.0,1.0,12.0,3.0,12.0,1.0,14.0,9.0,5.0,2.0,-,71.0,57.0
1,"BLAIR TUKE, PETER BURLING",586,,2.0,9.0,3.0,1.0,1.0,2.0,3.0,3.0,20.0,2.0,1.0,21.0,2.0,70.0,49.0
1,TOM BURTON,4855,AUS,2.0,33.0,3.0,2.0,11.0,5.0,1.0,21.0,4.0,-,-,-,-,82.0,49.0
1,EVI VAN ACKER,1381,BEL,17.0,4.0,4.0,2.0,7.0,2.0,5.0,1.0,2.0,-,-,-,-,44.0,27.0
2,NICK THOMPSON,3653,GBR,8.0,36.0,9.0,6.0,6.0,13.0,3.0,2.0,10.0,-,-,-,-,93.0,57.0
2,GINTARE SCHEIDT,1670,,6.0,3.0,8.0,4.0,11.0,22.0,1.0,5.0,10.0,-,-,-,-,70.0,48.0
2,"COEN DE KONING, MANDY MULDER",928,,25.0,24.0,3.0,4.0,4.0,2.0,5.0,15.0,6.0,4.0,13.0,4.0,-,109.0,84.0
2,"NATHAN OUTTERIDGE, IAIN JENSEN",3617,AUS,33.0,4.0,1.0,16.0,12.0,6.0,17.0,1.0,11.0,9.0,14.0,1.0,6.0,131.0,98.0
2,"MARTINE GRAEL, KAHENA KUNZE",3243,BRA,9.0,15.0,2.0,17.0,14.0,7.0,4.0,9.0,4.0,3.0,10.0,5.0,12.0,111.0,94.0
3,JOSEFIN OLSSON,2331,SWE,12.0,21.0,13.0,8.0,3.0,1.0,6.0,3.0,4.0,-,-,-,-,71.0,50.0
3,ROBERT SCHEIDT,4173,BRA,9.0,6.0,7.0,17.0,5.0,11.0,22.0,3.0,8.0,-,-,-,-,88.0,66.0
3,"ERIK HEIL, THOMAS PLOESSEL",1338,GER,19.0,22.0,23.0,41.0,5.0,1.0,1.0,13.0,2.0,3.0,29.0,22.0,4.0,185.0,144.0
3,"FRANCESCA CLAPCICH, GIULIA CONTI",1520,,40.0,8.0,13.0,13.0,2.0,1.0,14.0,12.0,17.0,7.0,1.0,1.0,10.0,139.0,99.0
3,"RENEE GROENEVELD, STEVEN KROL",4130,,2.0,6.0,18.0,12.0,2.0,18.0,8.0,7.0,20.0,1.0,12.0,12.0,-,118.0,98.0
4,ANNE-MARIE RINDOM,319,DEN,3.0,24.0,6.0,1.0,12.0,3.0,4.0,15.0,8.0,-,-,-,-,76.0,52.0
4,JESPER STALHEIM,2195,SWE,33.0,4.0,15.0,4.0,25.0,2.0,8.0,5.0,6.0,-,-,-,-,102.0,69.0
4,"NINA CURTIS, DARREN BUNDOCK",3728,,14.0,5.0,14.0,14.0,8.0,16.0,2.0,11.0,1.0,13.0,15.0,6.0,-,119.0,103.0
4,"RHYS MARA, DAVID GILMOUR",4139,,12.0,28.0,35.0,5.0,19.0,11.0,7.0,10.0,15.0,11.0,8.0,6.0,18.0,185.0,150.0
4,"KATJA SALSKOV-IVERSEN, JENA HANSEN",2508,,8.0,3.0,12.0,40.0,9.0,3.0,17.0,22.0,9.0,2.0,3.0,13.0,2.0,143.0,103.0
5,"ALAIN SIGN, DYLAN FLETCHER",67,,41.0,16.0,20.0,10.0,15.0,5.0,5.0,22.0,29.0,13.0,13.0,4.0,8.0,201.0,160.0
5,"BEN SAXTON, NICOLA GROVES",496,,16.0,7.0,4.0,7.0,13.0,8.0,4.0,14.0,15.0,18.0,1.0,16.0,-,123.0,105.0
5,"LISA ORN, HANNA KLINGA",2842,,20.0,17.0,1.0,9.0,11.0,30.0,1.0,1.0,14.0,4.0,15.0,23.0,16.0,162.0,132.0
5,EMMA PLASSCHAERT,1301,BEL,8.0,5.0,20.0,3.0,24.0,9.0,2.0,11.0,14.0,-,-,-,-,96.0,72.0
5,RUTGER VAN SCHAARDENBURG,4252,NED,1.0,13.0,16.0,9.0,4.0,10.0,26.0,4.0,12.0,-,-,-,-,95.0,69.0
6,"SARAH STEYAERT, AUDE COMPAN",4355,FRA,23.0,9.0,5.0,3.0,18.0,25.0,2.0,11.0,22.0,5.0,7.0,14.0,14.0,158.0,133.0
6,MARIT BOUWMEESTER,3179,NED,16.0,15.0,14.0,10.0,1.0,5.0,3.0,7.0,18.0,-,-,-,-,89.0,73.0
