Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
1,"FERNANDO ECHAVARRI ERASUN, TARA PACHECO VAN RIJNSOEVER",1448,,2.0,7.0,2.0,1.0,8.0,10.0,34.0,17.0,20.0,3.0,1.0,4.0,2.0,111.0,77.0
1,"BLAIR TUKE, PETER BURLING",586,,1.0,3.0,9.0,1.0,6.0,3.0,1.0,9.0,10.0,1.0,28.0,8.0,-,80.0,52.0
1,EVI VAN ACKER,1381,BEL,1.0,4.0,3.0,2.0,4.0,4.0,9.0,6.0,18.0,-,-,-,-,51.0,42.0
1,PHILIPP BUHL,3995,GER,6.0,1.0,4.0,18.0,32.0,15.0,1.0,4.0,4.0,-,-,-,-,85.0,53.0
1,"HANNA KLINGA, LISA ORN",1784,,2.0,10.0,1.0,1.0,2.0,1.0,3.0,14.0,9.0,12.0,24.0,3.0,14.0,96.0,72.0
2,"SILVIA SICOURI, VITTORIO BISSARO",4487,,6.0,5.0,17.0,8.0,14.0,14.0,3.0,6.0,3.0,5.0,4.0,5.0,4.0,94.0,77.0
2,"CHRISTIAN LUBECK, JONAS WARRER",877,,7.0,2.0,41.0,3.0,1.0,25.0,22.0,3.0,9.0,18.0,4.0,4.0,-,139.0,98.0
2,"KAHENA KUNZE, MARTINE GRAEL",2448,,13.0,6.0,7.0,6.0,8.0,3.0,1.0,9.0,1.0,3.0,9.0,5.0,16.0,87.0,74.0
2,JOSEFIN OLSSON,2331,SWE,14.0,1.0,2.0,10.0,2.0,2.0,3.0,2.0,20.0,-,-,-,-,56.0,42.0
2,SAM MEECH,4288,NZL,9.0,11.0,5.0,12.0,7.0,3.0,7.0,8.0,6.0,-,-,-,-,68.0,56.0
3,"KATJA SALSKOV-IVERSEN, JENA HANSEN",2508,,6.0,4.0,13.0,2.0,5.0,17.0,7.0,7.0,8.0,14.0,1.0,2.0,6.0,92.0,75.0
3,"MANDY MULDER, COEN DE KONING",3048,,4.0,9.0,20.0,7.0,3.0,2.0,12.0,1.0,2.0,13.0,18.0,8.0,8.0,107.0,87.0
3,TOM BURTON,4855,AUS,3.0,9.0,1.0,11.0,4.0,5.0,11.0,14.0,14.0,-,-,-,-,72.0,58.0
3,"WILLIAM PHILLIPS, SAM PHILLIPS",5146,,6.0,4.0,1.0,2.0,5.0,5.0,38.0,41.0,5.0,25.0,1.0,10.0,-,143.0,102.0
3,ALISON YOUNG,163,GBR,2.0,6.0,22.0,6.0,30.0,5.0,1.0,1.0,10.0,-,-,-,-,83.0,53.0
4,"ANNETTE DUETZ, ANNEMIEK BEKKERING",322,,8.0,3.0,2.0,3.0,6.0,12.0,6.0,5.0,2.0,17.0,11.0,9.0,10.0,94.0,77.0
4,"BEN SAXTON, NICOLA GROVES",496,,12.0,18.0,11.0,9.0,1.0,3.0,18.0,3.0,4.0,6.0,3.0,3.0,14.0,105.0,87.0
4,TUULA TENKANEN,4922,FIN,10.0,21.0,7.0,4.0,11.0,3.0,2.0,10.0,12.0,-,-,-,-,80.0,59.0
4,MATT WEARN,3315,AUS,1.0,7.0,12.0,13.0,13.0,4.0,9.0,3.0,10.0,-,-,-,-,72.0,59.0
4,"FYNN STERRITT, JAMES PETERS",1585,,20.0,5.0,11.0,7.0,20.0,7.0,14.0,6.0,3.0,12.0,15.0,6.0,-,126.0,106.0
5,"SARAH STEYAERT, AUDE COMPAN",4355,FRA,4.0,2.0,3.0,14.0,4.0,19.0,16.0,12.0,11.0,10.0,6.0,1.0,2.0,104.0,85.0
5,ANDY MALONEY,274,NZL,11.0,15.0,2.0,20.0,1.0,20.0,2.0,7.0,2.0,-,-,-,-,80.0,60.0
5,"ALAIN SIGN, DYLAN FLETCHER",67,,3.0,17.0,6.0,32.0,18.0,19.0,17.0,14.0,11.0,2.0,2.0,2.0,-,143.0,111.0
5,"JASON WATERHOUSE, LISA DARMANIN",2150,,10.0,13.0,15.0,6.0,2.0,5.0,2.0,15.0,1.0,16.0,21.0,2.0,6.0,114.0,93.0
5,VERONIKA KOZELSKA FENCLOVA,5011,CZE,4.0,2.0,9.0,3.0,5.0,12.0,10.0,14.0,14.0,-,-,-,-,73.0,59.0
6,"BILLY BESSON, MARIE RIOU",574,,8.0,1.0,25.0,2.0,7.0,13.0,5.0,10.0,19.0,10.0,9.0,11.0,12.0,132.0,107.0
6,"STUART BITHELL, JOHN PINK",4629,,2.0,8.0,5.0,10.0,15.0,13.0,21.0,22.0,4.0,21.0,10.0,14.0,-,145.0,123.0
6,"FRANCESCA CLAPCICH, GIULIA CONTI",1520,,3.0,5.0,10.0,7.0,7.0,9.0,15.0,3.0,7.0,7.0,3.0,11.0,18.0,105.0,90.0
6,NICK THOMPSON,3653,GBR,18.0,3.0,6.0,6.0,12.0,29.0,5.0,6.0,12.0,-,-,-,-,97.0,68.0
6,ANNE-MARIE RINDOM,319,DEN,11.0,22.0,1.0,1.0,22.0,6.0,16.0,15.0,4.0,-,-,-,-,98.0,76.0
7,JEAN BAPTISTE BERNAZ,2154,FRA,4.0,6.0,23.0,10.0,22.0,19.0,4.0,5.0,8.0,-,-,-,-,101.0,78.0
7,MAUD JAYET,3347,SUI,21.0,23.0,5.0,7.0,1.0,11.0,14.0,18.0,2.0,-,-,-,-,102.0,79.0
7,"CECILIA JONSSON, JULIA GROSS",798,,12.0,14.0,12.0,6.0,18.0,10.0,9.0,4.0,5.0,2.0,14.0,7.0,12.0,125.0,107.0
7,"NICO DELLE - KARTH, NIKOLAUS RESCH",3660,,11.0,15.0,41.0,5.0,9.0,4.0,27.0,4.0,29.0,3.0,5.0,12.0,-,165.0,124.0
7,"MANON AUDINET, MOANA VAIREAUX",3052,,1.0,10.0,9.0,3.0,6.0,19.0,9.0,11.0,23.0,11.0,17.0,13.0,10.0,142.0,119.0
8,NICHOLAS HEINER,3648,NED,7.0,4.0,24.0,8.0,6.0,14.0,13.0,11.0,20.0,-,-,-,-,107.0,83.0
8,"SANTIAGO RAUL LANGE, CECILIA CARRANZA SAROLI",4330,,34.0,2.0,14.0,15.0,13.0,4.0,11.0,21.0,10.0,9.0,5.0,12.0,16.0,166.0,132.0
8,"KIMBERLY MIN LIM, RUI QI CECILIA LOW",2575,,5.0,9.0,8.0,17.0,1.0,6.0,19.0,21.0,4.0,4.0,21.0,10.0,4.0,129.0,108.0
8,PERNELLE MICHON,3962,FRA,12.0,7.0,6.0,15.0,19.0,22.0,4.0,17.0,6.0,-,-,-,-,108.0,86.0
8,"PETAR CUPAC, PAVLE KOSTOV",3964,,9.0,13.0,3.0,26.0,11.0,10.0,6.0,27.0,8.0,8.0,22.0,16.0,-,159.0,132.0
9,ASHLEY STODDART,403,AUS,18.0,11.0,27.0,5.0,14.0,8.0,11.0,13.0,8.0,-,-,-,-,115.0,88.0
9,KACPER ZIEMINSKI,2446,POL,19.0,8.0,20.0,4.0,18.0,11.0,19.0,2.0,16.0,-,-,-,-,117.0,97.0
9,"SAMUEL ALBRECHT, ISABEL SWAN",4302,,34.0,15.0,4.0,12.0,4.0,12.0,7.0,5.0,11.0,12.0,11.0,25.0,18.0,170.0,136.0
9,"TOM PELSMAEKERS, YANNICK LEFEBVRE",4864,,5.0,20.0,15.0,17.0,10.0,18.0,7.0,19.0,14.0,11.0,13.0,18.0,-,167.0,147.0
9,"MOLLY MEECH, ALEX MALONEY",3538,,9.0,22.0,4.0,13.0,22.0,7.0,10.0,1.0,15.0,15.0,2.0,4.0,8.0,132.0,110.0
10,RUTGER VAN SCHAARDENBURG,4252,NED,10.0,2.0,11.0,41.0,9.0,13.0,20.0,18.0,18.0,-,-,-,-,142.0,101.0
10,"ERIK HEIL, THOMAS PLOESSEL",1338,GER,8.0,1.0,13.0,22.0,12.0,32.0,3.0,10.0,24.0,10.0,34.0,22.0,-,191.0,157.0
