Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
1,"DIEGO BOTIN LE CHEVER, IAGO LOPEZ MARRA",1122,,7.0,2.0,6.0,5.0,1.0,2.0,3.0,5.0,(17.0),1.0,11.0,6.0,8.0,74.0,57.0
1,EVI VAN ACKER,1381,BEL,3.0,1.0,(29.0),8.0,1.0,15.0,6.0,13.0,11.0,1.0,8.0,-,-,96.0,67.0
1,"MARTINE SOFFIATTI GRAEL, KAHENA KUNZE",3245,,1.0,2.0,4.0,3.0,2.0,3.0,4.0,(10.0),2.0,2.0,1.0,8.0,2.0,44.0,34.0
2,"DYLAN FLETCHE, R-SCOTT, STUART BITHELL",1189,,20.0,3.0,1.0,1.0,10.0,1.0,1.0,8.0,4.0,9.0,18.0,(25.0),6.0,107.0,82.0
2,TUULA TENKANEN,4922,FIN,1.0,20.0,8.0,1.0,8.0,18.0,3.0,(29.0),1.0,7.0,20.0,-,-,116.0,87.0
2,"VICTORIA JURCZOK, ANIKA LORENZ",5029,GER,(9.0),9.0,6.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,6.0,59.0,50.0
3,"CARL P SYLVAN, MARCUS ANJEMARK",732,SWE,2.0,7.0,8.0,6.0,2.0,6.0,19.0,1.0,2.0,(22.0),20.0,3.0,12.0,110.0,88.0
3,MATHILDE DE KERANGAT,3293,FRA,17.0,3.0,9.0,(18.0),4.0,7.0,15.0,6.0,15.0,11.0,6.0,-,-,111.0,93.0
3,"CHARLOTTE DOBSON, SASKIA TIDEY",824,,2.0,8.0,8.0,1.0,1.0,5.0,(11.0),8.0,6.0,4.0,11.0,1.0,8.0,74.0,63.0
4,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,4.0,(21.0),2.0,7.0,8.0,10.0,3.0,4.0,4.0,13.0,10.0,7.0,10.0,103.0,82.0
4,ALISON YOUNG,163,GBR,24.0,7.0,30.0,(40.0),10.0,5.0,1.0,5.0,2.0,3.0,14.0,-,-,141.0,101.0
4,"YAGO LANGE, KLAUS LANGE",5194,,12.0,1.0,2.0,2.0,8.0,3.0,7.0,9.0,12.0,(29.0),12.0,15.0,20.0,132.0,103.0
5,"LILI SEBESI, ALBANE DUBOIS",2799,FRA,12.0,11.0,5.0,2.0,4.0,13.0,13.0,9.0,(15.0),14.0,2.0,4.0,4.0,108.0,93.0
5,"JAMES PETERS, FYNN STERRITT",2107,GBR,(29.0),13.0,5.0,7.0,3.0,7.0,29.0,15.0,3.0,12.0,6.0,5.0,4.0,138.0,109.0
5,AGATA BARWINSKA,29,POL,(39.0),2.0,4.0,16.0,22.0,2.0,10.0,4.0,18.0,14.0,10.0,-,-,141.0,102.0
6,"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",4929,ITA,(25.0),6.0,20.0,16.0,4.0,9.0,9.0,3.0,8.0,17.0,1.0,7.0,18.0,143.0,118.0
6,"ODILE VAN AANHOLT, NICOLE VAN DER VELDEN",3783,,10.0,6.0,11.0,11.0,(12.0),6.0,2.0,6.0,3.0,9.0,4.0,9.0,20.0,109.0,97.0
6,SILVIA ZENNARO,4489,ITA,10.0,11.0,1.0,21.0,7.0,11.0,(31.0),2.0,17.0,6.0,16.0,-,-,133.0,102.0
7,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,(23.0),15.0,7.0,13.0,5.0,10.0,8.0,7.0,20.0,15.0,13.0,4.0,2.0,142.0,119.0
7,"VICTORIA TRAVASCIO, MARIA BRANZ",5033,,3.0,1.0,12.0,12.0,13.0,1.0,15.0,3.0,8.0,15.0,(16.0),6.0,18.0,123.0,107.0
7,TATIANA DROZDOVSKAYA,4698,BLR,22.0,6.0,15.0,3.0,13.0,9.0,(34.0),3.0,24.0,19.0,4.0,-,-,152.0,118.0
8,TIRIL BUE,4830,NOR,4.0,31.0,(35.0),10.0,2.0,4.0,2.0,17.0,21.0,10.0,18.0,-,-,154.0,119.0
8,"KLARA WESTER, REBECCA NETZLER",2590,SWE,15.0,(21.0),1.0,5.0,10.0,19.0,12.0,7.0,11.0,5.0,5.0,2.0,16.0,129.0,108.0
8,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,11.0,12.0,4.0,22.0,11.0,13.0,4.0,10.0,5.0,2.0,(25.0),9.0,16.0,144.0,119.0
9,"KIMBERLY LIM, CECILIA LOW",2573,SGP,7.0,14.0,7.0,8.0,7.0,4.0,9.0,(18.0),12.0,17.0,7.0,10.0,12.0,132.0,114.0
9,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,10.0,4.0,15.0,3.0,17.0,14.0,(29.0),2.0,6.0,14.0,7.0,21.0,10.0,152.0,123.0
9,EMMA PLASSCHAERT,1301,BEL,6.0,17.0,3.0,14.0,30.0,(44.0),18.0,25.0,3.0,5.0,2.0,-,-,167.0,123.0
10,MANAMI DOI,3044,JPN,12.0,16.0,16.0,(31.0),14.0,12.0,13.0,12.0,12.0,8.0,12.0,-,-,158.0,127.0
10,"CHIKA HATAE, HIROKA ITAKURA",853,,6.0,4.0,3.0,9.0,11.0,17.0,8.0,15.0,7.0,20.0,3.0,(21.0),14.0,138.0,117.0
10,"JOSH POREBSKI, TRENT RIPPEY",2345,,(26.0),18.0,10.0,9.0,9.0,25.0,2.0,6.0,14.0,20.0,9.0,11.0,14.0,173.0,147.0
