Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
1,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,3.0,5.0,1.0,19.0,8.0,(31.0),3.0,10.0,-,-,-,-,80.0,49.0
1,JEAN BAPTISTE BERNAZ,2154,FRA,18.0,2.0,9.0,3.0,(29.0),8.0,11.0,12.0,2.0,9.0,10.0,-,113.0,84.0
1,"ALEXANDRA MALONEY, MOLLY MEECH",130,NZL,8.0,(31.0),1.0,14.0,1.0,9.0,5.0,3.0,14.0,13.0,6.0,2.0,107.0,76.0
2,"LOGAN DUNNING BECK, OSCAR GUNN",2860,,4.0,3.0,6.0,(32.0),22.0,11.0,12.0,2.0,-,-,-,-,92.0,60.0
2,SAM MEECH,4288,NZL,7.0,(20.0),1.0,9.0,9.0,18.0,17.0,5.0,8.0,13.0,14.0,-,121.0,101.0
2,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",1965,,1.0,1.0,16.0,(24.0),7.0,7.0,10.0,8.0,1.0,3.0,15.0,8.0,101.0,77.0
3,"VICTORIA TRAVASCIO, MARIA BRANZ",5033,,5.0,23.0,11.0,3.0,(28.0),19.0,2.0,7.0,13.0,2.0,5.0,6.0,124.0,96.0
3,TOM BURTON,4855,AUS,3.0,26.0,(41.0),15.0,1.0,1.0,12.0,31.0,13.0,1.0,6.0,-,150.0,109.0
3,"JOSH POREBSKI, TRENT RIPPEY",2345,,19.0,(34.0),5.0,18.0,5.0,6.0,5.0,4.0,-,-,-,-,96.0,62.0
4,"DAVID GILMOUR, JOEL TURNER",1053,,2.0,2.0,(27.0),1.0,13.0,2.0,20.0,22.0,-,-,-,-,89.0,62.0
4,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,4.0,3.0,3.0,5.0,13.0,21.0,1.0,9.0,16.0,10.0,(26.0),14.0,125.0,99.0
4,TONCI STIPANOVIC,4903,CRO,1.0,1.0,7.0,27.0,44.0,20.0,6.0,9.0,14.0,(49.0),2.0,-,180.0,131.0
5,LORENZO BRANDO CHIAVARINI,2872,ITA,13.0,3.0,5.0,13.0,7.0,24.0,19.0,20.0,(39.0),19.0,16.0,-,178.0,139.0
5,"CHARLOTTE DOBSON, SASKIA TIDEY",824,,16.0,(32.0),13.0,26.0,15.0,1.0,3.0,1.0,6.0,4.0,1.0,18.0,136.0,104.0
5,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,6.0,8.0,10.0,15.0,(21.0),12.0,6.0,12.0,-,-,-,-,90.0,69.0
6,"KLARA WESTER, REBECCA NETZLER",2590,SWE,10.0,2.0,4.0,8.0,(31.0),23.0,9.0,5.0,20.0,20.0,2.0,4.0,138.0,107.0
