Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,MRQ,OVERQ,16 MRQ,"a. 1
1Q","a. 2
1Q","a. 3
1Q","a. 4
1Q","a. 5
1Q","a. 6
1Q","a. 7
1Q","a. 8
1Q","a. 9
1Q","a.10
1Q","11 M*
2Q","11 MR
2Q",Total,Nett
1,MAXIMILIAN MAEDER,3380,SGP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
1,NICOLAS GOYARD,3676,FRA,(10.0),(2.0),2.0,(6.0),2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,15
1,"MARTINE GRAEL, KAHENA RYC KUNZE",3244,,8.0,13.0,4.0,5.0,8.0,5.0,1.0,3.0,1.0,11.0,2.0,3.0,2.0,1.0,2.0,-,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,68
1,HELENE NOESMOEN,1861,FRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,12
1,"DAHLBERG ANTON, KARLSSON LOVISA",1002,,1.0,2.0,3.0,3.0,(10.0),3.0,5.0,3.0,5.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,35
1,DANIELA MOROZ,1035,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
1,KONTIDES PAVLOS,2613,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,1.0,2.0,2.0,1.0,10.0,7.0,5.0,7.0,17.0,-,4.0,59,42
1,"TITA RUGGERO, BANTI CATERINA",4832,ITA,1.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,(6.0),4.0,4.0,-,-,4.0,-,-,-,-,-,-,-,-,-,-,-,-,42,36
1,BARWINSKA AGATA,466,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,2.0,1.0,17.0,4.0,(19.0),7.0,2.0,19.0,14.0,12.0,-,105,86
1,"BUKSAK, DOMINIK / KSAWZISE RAZWBIFICSK IG,DS.Z/YAMZOSN",689,,3.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,8.0,2.0,10.0,9.0,(23.0),9.0,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,66
2,"OSPOZNAN
SANGONEWS, E,N EMVAINXIMILIANO",3841,,1.0,4.0,3.0,1.0,2.0,3.0,3.0,11.0,5.0,4.0,(18.0),17.0,3.0,4.0,14.0,-,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,93
2,BARRUE MARIE,457,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,12.0,6.0,16.0,(28.0),1.0,12.0,18.0,4.0,10.0,16.0,-,139,111
2,"MACHETTI HIPPOLYTE, RETORNAZ ALOISE",2979,,2.0,1.0,2.0,2.0,4.0,8.0,6.0,(12.0),3.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,42
2,MAJA DZIARNOWSKA,3018,POL,6.0,6.0,6.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,9.0,5.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,36
2,LAURIANE NOLOT,2712,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
