Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,MRQ,Total,Nett
1,SARAH DOUGLAS,4346,CAN,1.0,2.0,9.0,2.0,8.0,4.0,8.0,12.0,23.0,8.0,-,-,-,-,-,-,-,20.0,97.0,74.0
1,"DIEGO BOTIN LE CHEVER, FLORIAN TRITTEL PAUL",1121,,1.0,11.0,5.0,4.0,1.0,2.0,12.0,1.0,1.0,13.0,25.0,3.0,10.0,-,-,-,-,14.0,103.0,78.0
1,"NORA BRUGMAN CABOT, JORDI XAMMAR HERNANDEZ",3757,,1.0,1.0,12.0,3.0,2.0,4.0,2.0,5.0,29.0,19.0,-,-,-,-,-,-,-,4.0,82.0,53.0
1,"JOHN GIMSON, ANNA BURNET",2277,,3.0,3.0,1.0,5.0,7.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,-,-,-,-,-,4.0,39.0,32.0
1,"ANNETTE DUETZ, ODILE VAN AANHOLT",323,,2.0,2.0,9.0,2.0,2.0,7.0,3.0,3.0,4.0,2.0,4.0,6.0,1.0,-,-,-,-,12.0,59.0,50.0
1,FABIEN PIANAZZA,1397,FRA,5.0,1.0,5.0,3.0,3.0,8.0,3.0,5.0,6.0,3.0,3.0,2.0,6.0,1.0,-,-,-,1.0,54.0,34.0
1,LAURIANE NOLOT,2712,FRA,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,12.0,11.0,3.0,14.0,5.0,1.0,-,1.0,64.0,34.0
1,BARBORA SVIKOVA,449,CZE,5.0,2.0,2.0,8.0,2.0,2.0,8.0,4.0,6.0,1.0,2.0,2.0,12.0,5.0,-,-,-,1.0,61.0,33.0
1,AXEL MAZELLA,425,FRA,1.0,2.0,4.0,2.0,15.0,10.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,7.0,5.0,3.0,4.0,1.0,70.0,38.0
1,ELLIOT HANSON,1263,GBR,2.0,1.0,1.0,1.0,18.0,8.0,6.0,4.0,7.0,4.0,-,-,-,-,-,-,-,2.0,54.0,36.0
2,"JIM COLLEY, SHAUN CONNOR",2217,AUS,5.0,7.0,6.0,1.0,2.0,14.0,25.0,18.0,3.0,4.0,9.0,8.0,6.0,-,-,-,-,4.0,112.0,87.0
2,"LUKAS MAEHR, LARA VADLAU",2949,,5.0,3.0,2.0,9.0,6.0,9.0,10.0,1.0,4.0,33.0,-,-,-,-,-,-,-,12.0,94.0,61.0
2,"JANA GERMANI, GIORGIA BERTUZZI",2125,ITA,1.0,1.0,14.0,3.0,3.0,1.0,2.0,17.0,16.0,24.0,2.0,16.0,10.0,-,-,-,-,16.0,126.0,102.0
2,DANIELA MOROZ,1035,USA,1.0,2.0,1.0,1.0,26.0,4.0,3.0,11.0,9.0,1.0,2.0,9.0,5.0,1.0,8.0,19.0,-,2.0,103.0,56.0
2,MAXIMILIAN MAEDER,3380,SGP,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,28.0,13.0,2.0,12.0,2.0,2.0,1.0,9.0,1.0,2.0,84.0,42.0
2,MICHAEL BECKETT,3441,GBR,3.0,3.0,5.0,3.0,1.0,4.0,11.0,3.0,4.0,3.0,-,-,-,-,-,-,-,8.0,48.0,37.0
2,ANNE-MARIE RINDOM,319,DEN,4.0,13.0,4.0,17.0,8.0,5.0,2.0,6.0,8.0,7.0,-,-,-,-,-,-,-,18.0,92.0,75.0
2,"EUGENIA BOSCO, MATEO MAJDALANI",1367,,2.0,1.0,11.0,11.0,5.0,3.0,4.0,11.0,4.0,1.0,13.0,7.0,-,-,-,-,-,10.0,83.0,70.0
