Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,LENNY SCHULZE,2747,,3.0,1.0,1.0,(4.0),1.0,10.0,6.0
2,DAVID BUCHLER,1050,,2.0,2.0,(20.0),2.0,3.0,29.0,9.0
3,BERNARDO LOW-BEER,537,,(7.0),5.0,2.0,1.0,2.0,17.0,10.0
4,HANS HABERLAND,1802,,1.0,4.0,(20.0),3.0,4.0,32.0,12.0
5,TRISTAN SCHNITZER,4912,,5.0,6.0,4.0,(11.0),5.0,31.0,20.0
6,JAN PUTZIER,2121,,4.0,(8.0),5.0,7.0,7.0,31.0,23.0
7,FELIX MINEUR,1438,,8.0,3.0,7.0,6.0,(10.0),34.0,24.0
8,JAKOB FEHLBERG,2077,,6.0,7.0,8.0,8.0,(11.0),40.0,29.0
9,THEO ROMEY,4740,,9.0,(20.0),3.0,13.0,6.0,51.0,31.0
10,THIERRY SCHILBACH,4751,,(10.0),10.0,6.0,9.0,9.0,44.0,34.0
11,PAUL HIRSCHBERGER,3907,,11.0,11.0,11.0,10.0,(12.0),55.0,43.0
12,PAUL HOFFMANN,3908,,12.0,9.0,9.0,(15.0),15.0,60.0,45.0
13,EMILIA BAYER,1288,,(13.0),13.0,10.0,12.0,13.0,61.0,48.0
14,GEORG GRAW,1628,,(20.0),20.0,20.0,5.0,8.0,73.0,53.0
15,BOJUN LIU,610,,(14.0),12.0,13.0,14.0,14.0,67.0,53.0
16,ALEXANDER BORODULIN,115,,15.0,14.0,12.0,(20.0),20.0,81.0,61.0
17,OSKA KNOBEL,3838,,(20.0),20.0,20.0,20.0,20.0,100.0,80.0
17,LEON PFAFF,2756,,(20.0),20.0,20.0,20.0,20.0,100.0,80.0
17,EVA WIESE,1370,,(20.0),20.0,20.0,20.0,20.0,100.0,80.0
