Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,Total,Nett
1,"PETER BURLING ,  BLAIR TUKE",3967,NZL,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,(26.0),4.0,2.0,7.0,11.0,14.0,76,50
1,"MAIKEN FOGHT SCHUTT, ANNE-JULIE FOGHT SCHUTT",3013,DEN,4.0,1.0,14.0,1.0,6.0,1.0,11.0,5.0,8.0,3.0,(15.0),3.0,4.0,8.0,84,69
2,"IDA MARIE BAAD NIELSEN, MARIE THUAGAARD OLSEN",1964,DEN,9.0,4.0,(25.0),2.0,2.0,2.0,24.0,3.0,12.0,1.0,14.0,5.0,1.0,20.0,124,99
2,"ERIK HEIL ,  THOMAS PLOESSEL",1337,GER,2.0,2.0,3.0,(19.0),4.0,1.0,4.0,6.0,9.0,6.0,1.0,1.0,13.0,16.0,87,68
3,"DANTE BIANCHI ,  THOMAS LOWBEER",1041,BRA,2.0,7.0,10.0,1.0,2.0,13.0,13.0,9.0,4.0,11.0,6.0,3.0,(21.0),6.0,108,87
3,"OLIVIA PRICE, ELIZA SOLLY",3812,AUS,6.0,3.0,16.0,7.0,17.0,14.0,10.0,4.0,5.0,(21.0),1.0,1.0,14.0,2.0,121,100
4,"JONAS WARRER ,  ANDERS THOMSEN",2292,DEN,19.0,1.0,4.0,17.0,16.0,(26.0),11.0,3.0,2.0,10.0,7.0,5.0,2.0,2.0,125,99
4,"MARTINE GRAEL, KAHENA KUNZE",3243,BRA,7.0,8.0,7.0,10.0,9.0,12.0,12.0,8.0,(23.0),2.0,12.0,2.0,11.0,6.0,129,106
5,"MARCUS HANSEN ,  JOSH POREBSKI",3095,NZL,6.0,6.0,20.0,7.0,14.0,(26.0),9.0,4.0,3.0,7.0,8.0,4.0,10.0,4.0,128,102
5,"ANNEMIEK BEKKERING, ANNETTE DUETZ",321,NED,1.0,16.0,1.0,9.0,5.0,9.0,1.0,7.0,15.0,15.0,3.0,(18.0),8.0,18.0,126,108
