Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
1,"RYAN SEATON, MATT MCGOVERN",4261,IRL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,2.0,1.0,2.0,6.0,3.0,8.0,(15.0),5.0,3.0,7.0,5.0,10.0,2.0,1.0,12.0,90,75
1,"ANNEMIEK BEKKERING, ANNETTE DUETZ",321,NED,1.0,1.0,5.0,(10.0),3.0,6.0,8.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,5.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.0,71.0
2,"NATHAN OUTTERIDGE, IAIN JENSEN",3617,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,1.0,11.0,(18.0),1.0,1.0,9.0,10.0,1.0,13.0,6.0,1.0,5.0,4.0,3.0,10.0,106,88
2,"JENA MAI HANSEN, KATJA STEEN SALSKOV-IVERSEN",2167,DEN,2.0,2.0,1.0,2.0,(35.0),10.0,3.0,7.0,3.0,5.0,3.0,2.0,3.0,9.0,2.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.0,109.0
3,"DIEGO BOTIN, IAGO LOPEZ",1124,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,3.0,3.0,8.0,6.0,1.0,1.0,11.0,(26.0),9.0,12.0,26.0,1.0,7.0,2.0,6.0,123,97
3,"TINA LUTZ, SUSANN BEUCKE",4826,GER,5.0,12.0,14.0,11.0,5.0,8.0,10.0,2.0,1.0,4.0,2.0,6.0,5.0,(23.0),4.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.0,116.0
4,"NICO DELLE KARTH, NIKOLAUS RESCH",3661,AUT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,1.0,3.0,2.0,3.0,2.0,7.0,3.0,16.0,5.0,9.0,14.0,8.0,13.0,(22.0),2.0,120,98
4,"VICTORIA JURCZOK, ANIKA LORENZ",5029,GER,7.0,5.0,9.0,8.0,6.0,4.0,16.0,13.0,11.0,7.0,14.0,7.0,7.0,5.0,(17.0),2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121.0,138.0
5,"ERIK HEIL, THOMAS PLOESSEL",1338,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,4.0,4.0,5.0,2.0,2.0,16.0,(25.0),8.0,1.0,1.0,15.0,11.0,5.0,19.0,20.0,141,116
5,"TESS LLOYD, CAITLIN ELKS",4721,AUS,16.0,8.0,6.0,6.0,14.0,11.0,4.0,(20.0),8.0,19.0,8.0,12.0,2.0,8.0,1.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139.0,159.0
6,"JUSTUS SCHMIDT, MAX BOEHME",2439,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,13.0,2.0,1.0,13.0,4.0,14.0,14.0,11.0,8.0,11.0,7.0,2.0,(26.0),13.0,8.0,149,123
6,"CHARLOTTE DOBSON, SOPHIE AINSWORTH",825,GBR,4.0,3.0,2.0,7.0,4.0,24.0,28.0,3.0,5.0,18.0,18.0,8.0,(35.0),4.0,7.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143.0,178.0
7,"WILL PHILLIPS, SAM PHILLIPS",5133,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,5.0,(18.0),10.0,9.0,3.0,3.0,7.0,14.0,11.0,3.0,18.0,7.0,1.0,4.0,16.0,143,125
7,"RAGNA AGERUP, MAIA AGERUP",4093,NOR,11.0,15.0,7.0,(22.0),2.0,1.0,20.0,10.0,6.0,9.0,7.0,10.0,13.0,14.0,10.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147.0,169.0
8,"PARIS HENKEN, HELENA SCUTT",3881,USA,6.0,4.0,13.0,(30.0),28.0,9.0,7.0,21.0,13.0,16.0,5.0,4.0,12.0,20.0,8.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172.0,202.0
8,"DAVID GILMOUR, LEWIS BRAKE",1055,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,7.0,6.0,16.0,7.0,5.0,6.0,(18.0),2.0,10.0,10.0,10.0,13.0,8.0,12.0,4.0,150,132
9,"NOORA RUSKOLA, CAMILLA CEDERCREUTZ",3755,FIN,17.0,14.0,16.0,5.0,23.0,7.0,5.0,19.0,17.0,3.0,(35.0),9.0,15.0,1.0,16.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177.0,212.0
9,"MARCO GRAEL, GABRIEL BORGES",3087,BRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.0,5.0,1.0,11.0,8.0,7.0,2.0,9.0,6.0,20.0,4.0,20.0,(21.0),6.0,17.0,14.0,168,147
10,"TAMARA ECHEGOYEN DOMINGUEZ, BERTA BETANZOS MORO",4675,ESP,12.0,18.0,4.0,23.0,24.0,15.0,(26.0),11.0,2.0,2.0,21.0,3.0,1.0,13.0,18.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181.0,207.0
10,"JACOPO PLAZZI, UMBERTO MOLINERIS",2068,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,11.0,9.0,7.0,(26.0),9.0,18.0,1.0,3.0,2.0,18.0,3.0,4.0,26.0,9.0,18.0,173,147
11,"GRISELDA KHNG, SARA TAN",1727,SIN,(19.0),17.0,19.0,3.0,17.0,12.0,15.0,6.0,15.0,10.0,19.0,13.0,8.0,11.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177.0,196.0
11,"JULIEN D ORTOLI, NOE DELPECH",2412,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,4.0,7.0,4.0,12.0,4.0,11.0,2.0,18.0,(26.0),2.0,16.0,6.0,22.0,18.0,0.0,163,137
12,"RUGGERO TITA, PIETRO ZUCCHETTI",4242,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,3.0,2.0,17.0,1.0,17.0,10.0,6.0,21.0,23.0,(26.0),12.0,26.0,10.0,5.0,0.0,186,160
12,"JULE GORGE, LOTTA GORGE",2376,GER,18.0,7.0,17.0,15.0,12.0,20.0,11.0,5.0,(27.0),12.0,10.0,14.0,14.0,14.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183.0,210.0
13,"VICTOR BERGSTROM, NICLAS DURING",5017,SWE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,9.0,5.0,13.0,11.0,10.0,13.0,17.0,15.0,12.0,15.0,17.0,(19.0),12.0,11.0,0.0,180,161
13,"ERIN RAFUSE, DANIELLE BOYD",1346,CAN,10.0,11.0,12.0,(27.0),25.0,21.0,13.0,24.0,9.0,6.0,9.0,19.0,10.0,15.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199.0,226.0
14,"JONAS WARRER, CHRISTIAN PETER STEPHENSEN LUBECK",2294,DEN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,7.0,6.0,20.0,16.0,21.0,15.0,5.0,7.0,6.0,5.0,(26.0),12.0,16.0,20.0,0.0,192,166
14,"HAYLEE OUTTERIDGE, NINA CURTIS",1835,AUS,13.0,13.0,10.0,9.0,18.0,23.0,31.0,16.0,14.0,17.0,6.0,11.0,(35.0),6.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200.0,235.0
15,"JAMES PETERS, FYNN STERRITT",2107,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,2.0,17.0,11.0,3.0,25.0,5.0,16.0,22.0,(26.0),26.0,6.0,15.0,3.0,14.0,0.0,193,167
15,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,14.0,16.0,(35.0),1.0,13.0,19.0,6.0,12.0,10.0,14.0,12.0,21.0,35.0,21.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205.0,240.0
16,"CARL P SYLVAN, MARCUS ANJEMARK",732,SWE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,6.0,(25.0),17.0,4.0,18.0,24.0,20.0,12.0,4.0,23.0,4.0,3.0,21.0,7.0,0.0,194,169
16,"LAURA SCHOEFEGGER, ELSA LOVREK",2707,AUT,20.0,10.0,18.0,21.0,8.0,18.0,1.0,25.0,19.0,11.0,11.0,(35.0),14.0,25.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,215.0,250.0
17,"STEFANO CHERIN, ANDREA TESEI",4588,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,10.0,10.0,6.0,8.0,7.0,4.0,(23.0),13.0,22.0,17.0,26.0,9.0,9.0,16.0,0.0,193,170
17,"SINEM KURTBAY, SILJA KANERVA",4507,FIN,(35.0),35.0,20.0,16.0,9.0,17.0,21.0,4.0,16.0,15.0,16.0,16.0,6.0,16.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216.0,251.0
18,"ANDREA BREWSTER, SASKIA TIDEY",231,IRL,8.0,9.0,8.0,29.0,21.0,22.0,30.0,14.0,25.0,(35.0),35.0,5.0,9.0,3.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224.0,259.0
