Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,Total,Nett
1,"PETERS JAMES, STERRITT FYNN",3978,GBR,3.0,5.0,1.0,3.0,9.0,5.0,3.0,6.0,3.0,6.0,6.0,2.0,4.0,12.0,(16.0),-,-,84,68
1,"JURCZOK ANIKA, LORENZ ANIKA",2426,GER,12.0,1.0,5.0,1.0,2.0,2.0,1.0,(31.0),1.0,1.0,1.0,2.0,3.0,10.0,1.0,3.0,1.0,78,47
2,"BOTIN LE CHEVER DIEGO, LOPEZ MARRA IAGO",631,ESP,3.0,2.0,5.0,1.0,1.0,9.0,14.0,5.0,(17.0),10.0,5.0,1.0,1.0,11.0,1.0,-,-,86,69
2,"NAESS HELENE, RONNINGEN HELENE",3595,NOR,3.0,12.0,2.0,(20.0),1.0,3.0,11.0,6.0,8.0,4.0,8.0,4.0,13.0,3.0,3.0,4.0,(11.0),116,96
3,"FLETCHER-SCOTT DYLAN, BITHELL STUART",1488,GBR,2.0,2.0,7.0,6.0,(31.0),14.0,24.0,3.0,1.0,1.0,2.0,3.0,12.0,2.0,2.0,-,-,112,81
3,"LIM KIMBERLY, LOW CECILIA",2809,SIN,1.0,2.0,13.0,2.0,7.0,(19.0),8.0,1.0,9.0,9.0,4.0,10.0,19.0,4.0,8.0,6.0,(11.0),133,114
4,"LANGE YAGO, LANGE KLAUS",2677,ARG,13.0,(31.0),2.0,3.0,5.0,7.0,1.0,2.0,13.0,4.0,15.0,7.0,10.0,7.0,4.0,-,-,124,93
4,"WESTER KLARA, NETZLER KLARA",5115,SWE,(23.0),10.0,6.0,5.0,10.0,14.0,2.0,3.0,15.0,11.0,5.0,3.0,10.0,1.0,11.0,(11.0),(11.0),151,128
5,"LEFEBVRE YANNICK, PELSMAEKERS TOM",2731,BEL,12.0,1.0,8.0,2.0,1.0,13.0,4.0,22.0,8.0,2.0,9.0,11.0,8.0,(24.0),7.0,-,-,132,108
5,"SEBESI LILI, DUBOIS LILI",4425,FRA,2.0,16.0,3.0,15.0,3.0,16.0,5.0,2.0,7.0,(17.0),17.0,11.0,1.0,2.0,9.0,(11.0),(11.0),148,131
6,"ALONSO TELLECHEA FEDERICO, ALONSO TELLECHEA ARTURO",169,ESP,2.0,12.0,11.0,10.0,3.0,2.0,7.0,11.0,5.0,11.0,8.0,(24.0),7.0,17.0,3.0,-,-,133,109
6,"DOBSON SASKIA, TIDEY SASKIA",1152,GBR,9.0,7.0,1.0,12.0,8.0,8.0,4.0,14.0,11.0,8.0,10.0,16.0,(31.0),5.0,7.0,1.0,(11.0),163,132
7,"FISCHER TIM, GRAF FABIAN",1483,GER,14.0,3.0,3.0,4.0,12.0,4.0,17.0,1.0,9.0,9.0,7.0,18.0,6.0,6.0,(26.0),-,-,139,113
7,SVENSSON JONSSON,4652,SWE,4.0,17.0,7.0,13.0,11.0,5.0,(20.0),13.0,14.0,3.0,16.0,7.0,5.0,6.0,6.0,2.0,(11.0),160,140
8,RAGGIO BERGAMASCHI,4091,ITA,(31.0),5.0,4.0,10.0,12.0,4.0,3.0,9.0,20.0,2.0,18.0,8.0,18.0,21.0,4.0,7.0,2.0,178,147
8,"BUKSAK DOMINIK, WIERZBICKI SZYMON",688,POL,22.0,18.0,9.0,5.0,2.0,1.0,6.0,4.0,16.0,(22.0),3.0,14.0,2.0,9.0,9.0,-,-,142,120
