Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
1,"FLETCHER-SCOTT STUART, BITHELL STUART",1489,GBR,12.0,1.0,5.0,1.0,1.0,2.0,19.0,4.0,1.0,6.0,9.0,1.0,(25.0),17.0,3.0,14.0,121,96
1,"BEKKERING ANNEMIEK, DUETZ ANNETTE",484,NED,1.0,1.0,8.0,1.0,3.0,1.0,4.0,1.0,1.0,8.0,8.0,1.0,(15.0),1.0,6.0,2.0,62,47
2,"VAN AANHOLT ODILE, JONGENS MARIEKE",4978,NED,3.0,5.0,5.0,9.0,2.0,12.0,16.0,7.0,7.0,2.0,5.0,5.0,1.0,(20.0),4.0,14.0,117,97
2,"FREI MATHIEU, DELPECH NOE",1567,FRA,4.0,1.0,8.0,18.0,3.0,8.0,2.0,3.0,12.0,1.0,2.0,10.0,11.0,(26.0),12.0,2.0,123,97
3,"NIELSEN IDA MARIE, THUSGAARD OLSEN IDA MARIE",3695,DEN,1.0,2.0,8.0,2.0,5.0,6.0,2.0,10.0,5.0,10.0,18.0,2.0,(26.0),19.0,11.0,4.0,131,105
3,"PRZYBYTEK LUKASZ, KOLODZINSKI PAWEL",4071,POL,8.0,5.0,2.0,(32.0),1.0,2.0,8.0,1.0,5.0,15.0,13.0,12.0,4.0,20.0,13.0,4.0,145,113
4,"BUKSAK DOMINIK, WIERZBICKI SZYMON",688,POL,2.0,10.0,1.0,(32.0),15.0,4.0,3.0,7.0,10.0,5.0,1.0,13.0,10.0,4.0,16.0,18.0,151,119
4,"NAESS HELENE, RONNINGEN MARIE",3596,NOR,11.0,9.0,(16.0),1.0,1.0,3.0,7.0,3.0,13.0,1.0,14.0,3.0,4.0,12.0,14.0,10.0,122,106
5,"ALONSO TELLECHEA ALONSO, TELLECHEA ALONSO",168,ESP,8.0,2.0,18.0,11.0,5.0,6.0,11.0,15.0,2.0,7.0,6.0,(20.0),7.0,5.0,1.0,16.0,140,120
5,"HANSEN JENA MAI, SALSKOV-IVERSEN",1806,DEN,7.0,4.0,9.0,5.0,3.0,11.0,6.0,4.0,3.0,(21.0),17.0,17.0,8.0,2.0,10.0,6.0,133,112
6,"SCHNEITER SEBASTIEN, CUJEAN LUCIEN",4383,SUI,3.0,2.0,10.0,5.0,9.0,6.0,4.0,8.0,6.0,13.0,15.0,21.0,5.0,9.0,(24.0),8.0,148,124
6,"WEGUELIN SOPHIE, AINSWORTH SOPHIE",5102,GBR,9.0,8.0,7.0,16.0,9.0,8.0,14.0,5.0,6.0,11.0,2.0,19.0,11.0,(22.0),1.0,12.0,160,138
7,"WARRER JONAS, KDY PRECHT JENSEN",5094,DEN,1.0,1.0,10.0,3.0,4.0,16.0,13.0,6.0,7.0,(21.0),14.0,6.0,16.0,3.0,7.0,20.0,148,127
7,"WESTER KLARA, NETZLER REBECCA",5116,SWE,9.0,8.0,4.0,9.0,2.0,1.0,15.0,(26.0),12.0,15.0,11.0,4.0,5.0,7.0,17.0,(22.0),167,141
8,"FISCHER KEVIN, JAUVIN YANN, BESSE",1482,FRA,3.0,2.0,12.0,1.0,6.0,3.0,14.0,13.0,17.0,9.0,4.0,7.0,17.0,19.0,(23.0),12.0,162,139
8,"DOBSON CHARLOTTE, TIDEY SASKIA",1151,GBR,2.0,2.0,25.0,6.0,1.0,8.0,5.0,(26.0),2.0,7.0,3.0,23.0,(26.0),14.0,2.0,16.0,168,142
9,"COUVERT DEWI, KISTERS JESSICA",969,NED,7.0,4.0,12.0,4.0,4.0,12.0,8.0,2.0,8.0,19.0,(23.0),10.0,12.0,13.0,13.0,0.0,151,128
9,"RUAL LUCAS, AMOROS EMILE, CLUB",4231,FRA,11.0,4.0,1.0,5.0,3.0,10.0,9.0,9.0,16.0,8.0,(22.0),3.0,18.0,22.0,(12.0),-,153,131
10,"STEPHENSEN LUBECK HOFFMANN, BUHL HOFFMANN",4611,DEN,6.0,(18.0),6.0,3.0,12.0,6.0,15.0,14.0,11.0,14.0,16.0,8.0,6.0,14.0,9.0,-,158,140
10,"FRANK TANJA, ABICHT LORENA",1541,AUT,11.0,7.0,14.0,8.0,19.0,5.0,1.0,(26.0),16.0,3.0,15.0,15.0,13.0,6.0,15.0,0.0,174,148
11,"SCHUTT ANNE-JULIE, NIELSBY IBEN",4390,DEN,21.0,6.0,1.0,10.0,10.0,4.0,(26.0),11.0,9.0,18.0,9.0,12.0,7.0,11.0,24.0,0.0,179,153
11,"HEDSTROM FRITIOF, HAMEL OTTO, GKSS",1844,SWE,2.0,9.0,3.0,10.0,(32.0),11.0,7.0,17.0,9.0,25.0,17.0,24.0,3.0,2.0,6.0,-,177,145
12,"CHEKH YAN, ZOTOV IVAN",835,RUS,8.0,4.0,2.0,7.0,6.0,3.0,16.0,20.0,15.0,11.0,21.0,16.0,(22.0),8.0,10.0,-,169,147
12,"ZIELINSKA MADELEINE, ZIELINSKA NADIA",5276,POL,4.0,11.0,14.0,12.0,11.0,2.0,21.0,(26.0),19.0,5.0,7.0,16.0,16.0,15.0,18.0,0.0,197,171
13,"FANTELA SIME, FANTELA MIHOVIL",1406,CRO,7.0,6.0,5.0,(6.0),(6.0),(32.0),(15.7),(15.7),(26.0),2.0,(26.0),19.0,2.0,7.0,5.0,-,"180,4","148,4"
13,"BOSSARD JULIE, COMPAN AUDE",629,FRA,8.0,14.0,2.0,12.0,14.0,5.0,(26.0),13.0,15.0,13.0,21.0,14.0,19.0,24.0,12.0,0.0,212,186
14,"OFFERMAN WILLEMIJN, ENGBERTS JUDITH",3789,NED,10.0,15.0,6.0,3.0,13.0,3.0,13.0,(26.0),21.0,22.0,24.0,6.0,20.0,10.0,22.0,0.0,214,188
14,"SCHMIDT JUSTUS, THE PLOSSEL THOMAS, THE",4380,GER,5.0,16.0,14.0,2.0,11.0,2.0,18.0,10.0,4.0,4.0,(26.0),11.0,23.0,12.0,21.0,-,179,153
15,"RAGGIO MARIA OTTAVIA, GERMANI JANA",4092,ITA,14.0,7.0,12.0,6.0,16.0,20.0,20.0,8.0,10.0,23.0,22.0,21.0,(26.0),16.0,7.0,0.0,228,202
15,"PLAZZI MARZOTTO ANDREA, TESEI ANDREA",4042,ITA,5.0,6.0,14.0,(32.0),2.0,7.0,5.0,(26.0),20.0,12.0,20.0,2.0,15.0,6.0,22.0,-,194,162
16,"RASK FREDERIK, BAY MARCUS, HS",4103,DEN,9.0,7.0,8.0,16.0,7.0,5.0,17.0,16.0,8.0,22.0,5.0,(25.0),8.0,13.0,25.0,-,191,166
16,"MIQUEL AURA, MIRO NURIA",3508,ESP,6.0,17.0,7.0,21.0,12.0,7.0,11.0,(26.0),(26.0),16.0,4.0,20.0,18.0,23.0,21.0,0.0,235,209
17,"BRICKWOOD MEGAN, ALDRIDGE ELEANOR",655,GBR,16.0,6.0,5.0,24.0,6.0,11.0,18.0,(26.0),17.0,24.0,16.0,24.0,17.0,17.0,23.0,0.0,250,224
17,"CRIVELLI VISCONTI GIANMARCO, TOGNI GIANMARCO",983,ITA,11.0,12.0,3.0,(32.0),8.0,1.0,21.0,(14.4),23.0,16.0,8.0,4.0,21.0,21.0,4.0,-,"199,4","167,4"
18,"SIBELLO PIETRO, CAVALLI GIACOMO",4468,ITA,1.0,24.0,12.0,8.0,4.0,12.0,12.0,(26.0),14.0,23.0,11.0,9.0,13.0,15.0,14.0,-,198,172
18,"SUAREZ GONZALEZ RITA ROMAN, JULIA",4635,ESP,4.0,9.0,13.0,14.0,13.0,10.0,17.0,(26.0),(26.0),(26.0),(26.0),(26.0),21.0,18.0,(26.0),0.0,275,249
19,"CHEGLOV DENIS, KARACHOV PAVEL",834,RUS,1.0,(27.0),7.0,6.0,16.0,11.0,20.0,21.0,22.0,17.0,10.0,18.0,9.0,11.0,15.0,-,211,184
19,"NINCEVIC ENIA, DE MICHELI-VITTURI",3733,CRO,12.0,(22.0),13.0,17.0,9.0,20.0,7.0,5.0,8.0,10.0,3.0,2.0,4.0,1.0,10.0,0.0,143,121
