Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,Total,Nett
1,CAMILLE LECOINTRE,708,,5.0,5.0,3.0,1.0,9.0,5.0,9.0,12.0,1.0,50,38
2,JORDI XAMMAR,2315,,4.0,1.0,4.0,4.0,2.0,9.0,24.0,1.0,14.0,63,39
3,MALTE WINKEL,3039,,1.0,2.0,15.0,11.0,2.0,4.0,14.0,28.0,7.0,84,56
4,SIMON DIESCH,4493,,9.0,1.0,13.0,6.0,3.0,2.0,10.0,13.0,18.0,75,57
5,THERESA LOFFLER,4746,,7.0,8.0,14.0,1.0,4.0,8.0,11.0,14.0,5.0,72,58
6,MATISSE PACAUD,3309,,5.0,5.0,8.0,2.0,14.0,5.0,13.0,9.0,17.0,78,61
7,ELENA BERTA,1231,,11.0,12.0,11.0,13.0,5.0,4.0,17.0,2.0,4.0,79,62
8,VITA HEATHCOTE HEATHCOTE,5057,,2.0,2.0,10.0,5.0,7.0,18.0,25.0,3.0,15.0,87,62
9,KEIJU OKADA,2526,,7.0,7.0,6.0,7.0,12.0,11.0,8.0,8.0,9.0,75,63
10,ANTON DAHLBERG,334,,4.0,3.0,5.0,8.0,1.0,1.0,26.0,17.0,25.0,90,64
11,"PHILIPP WANSER, LUISE AUTENRIETH",4000,,6.0,20.0,2.0,5.0,8.0,11.0,22.0,7.0,6.0,87,65
12,GIACOMO FERRARI,1655,,8.0,9.0,1.0,18.0,11.0,(35.0),1.0,6.0,12.0,101,66
13,"CAROLINA COSTA, DIOGO JOAO",761,,10.0,10.0,1.0,10.0,6.0,12.0,4.0,22.0,13.0,88,66
14,NITAI HASSON,3737,,3.0,6.0,16.0,12.0,1.0,3.0,15.0,16.0,21.0,93,72
15,"MATTI DAHNKE, THERES CIPRA",3340,,1.0,8.0,12.0,(35.0),5.0,9.0,19.0,11.0,8.0,108,73
16,ZANGJUN XU,5261,,8.0,9.0,21.0,9.0,4.0,20.0,6.0,18.0,2.0,97,76
17,"RODOLFO GAGO, BEATRIZ PIRES",4184,,13.0,15.0,4.0,15.0,8.0,7.0,3.0,15.0,28.0,108,80
18,YVES MERMOD,5251,,7.0,13.0,7.0,17.0,19.0,8.0,2.0,10.0,20.0,103,83
19,TETSUYA ISOZAKI,4726,,14.0,10.0,22.0,6.0,3.0,7.0,12.0,20.0,16.0,110,88
20,STUART MCNAY,4630,,10.0,5.0,21.0,14.0,13.0,1.0,16.0,34.0,11.0,125,91
21,DENIZ CINAR,1094,,13.0,17.0,3.0,7.0,7.0,15.0,7.0,24.0,33.0,126,93
22,"LARA VADLAU, LUKAS MAEHR",2683,AUT,11.0,3.0,(35.0),35.0,12.0,6.0,21.0,5.0,3.0,131,96
22,"LUKAS VADLAU, LARA MAEHR",2951,,11.0,3.0,(35.0),35.0,12.0,6.0,21.0,5.0,3.0,131,96
23,AI YOSHIDA,49,,14.0,11.0,18.0,8.0,15.0,6.0,30.0,32.0,10.0,144,112
24,NIA JERWOOD,3643,,10.0,4.0,17.0,(35.0),17.0,3.0,34.0,4.0,24.0,148,113
25,DAICHI TAKAYAMA,1007,,3.0,7.0,10.0,(35.0),10.0,18.0,20.0,21.0,31.0,155,120
26,QIAN FU,4078,,13.0,18.0,11.0,4.0,13.0,22.0,33.0,23.0,19.0,156,123
27,HENRIQUE HADDAD,1876,,18.0,25.0,5.0,16.0,14.0,13.0,5.0,29.0,27.0,152,123
27,"HENRIQUE HADDAD, ISABEL SWAN",1877,BRA,18.0,25.0,5.0,16.0,14.0,13.0,5.0,29.0,27.0,152,123
28,"YANI XU, JIANYONG XU",5207,,15.0,12.0,23.0,3.0,11.0,17.0,23.0,26.0,34.0,164,130
29,MANON PENNANEAC'H,3054,,21.0,13.0,16.0,2.0,17.0,15.0,31.0,25.0,22.0,162,131
30,MING XU,3503,,15.0,11.0,8.0,12.0,19.0,20.0,27.0,27.0,30.0,169,139
31,"ODYSSEAS-EMMANOUIL SPANAKI, ARIADNE-PARASKEVI SPANAKIS",3785,,21.0,14.0,6.0,10.0,16.0,21.0,29.0,30.0,23.0,170,140
32,"JINGSA DONG, WENJU WANG",2221,,16.0,17.0,18.0,16.0,6.0,19.0,32.0,31.0,29.0,184,152
33,MELINA PAPPA,3419,,20.0,20.0,7.0,(35.0),9.0,13.0,18.0,33.0,32.0,187,152
34,HANNAH BRISTOW,1789,,12.0,16.0,28.0,25.0,10.0,17.0,28.0,19.0,27.0,182,154
35,LOMANE VALADE,2867,,16.0,18.0,19.0,21.0,24.0,27.0,2.0,1.0,2.0,130,103
36,MUHAMMAD FAUZI KAMAN SHAH,3568,,28.0,21.0,15.0,(35.0),20.0,2.0,1.0,3.0,17.0,142,107
37,"DEFNE TULCALI, EFE DANISMEND",1078,,(35.0),35.0,23.0,3.0,18.0,22.0,6.0,5.0,1.0,148,113
38,JULIA JACOBSEN,2392,,17.0,17.0,25.0,22.0,16.0,16.0,14.0,2.0,10.0,139,114
39,ZOFIA KORSAK,5288,,24.0,29.0,20.0,14.0,18.0,24.0,4.0,8.0,5.0,146,117
40,AGNIESZKA PAWLOWSKA,34,,27.0,26.0,(35.0),9.0,25.0,12.0,3.0,9.0,7.0,153,118
41,JULIANA DUQUE,2402,,17.0,19.0,25.0,(35.0),15.0,10.0,19.0,4.0,11.0,155,120
42,ROSA DONNER,4222,,20.0,19.0,27.0,20.0,22.0,19.0,17.0,6.0,6.0,156,129
43,LAURA PUKROPSKI,2704,,18.0,14.0,12.0,26.0,21.0,26.0,13.0,12.0,13.0,155,129
44,DEREK SCOTT,1098,,22.0,15.0,17.0,(35.0),22.0,26.0,15.0,7.0,9.0,168,133
45,HEDVIG LILJEGREN,1845,,23.0,23.0,9.0,24.0,26.0,28.0,7.0,24.0,3.0,167,139
46,RAFAL POGORZELSKI,4088,,25.0,22.0,27.0,18.0,21.0,16.0,18.0,13.0,19.0,179,152
46,"RAFAL POGORZELSKI, MALGORZATA GORNISIEWICZ",4089,POL,25.0,22.0,27.0,18.0,21.0,16.0,18.0,13.0,19.0,179,152
47,NAVEE THAMSOONTORN,3623,,29.0,(35.0),2.0,35.0,23.0,14.0,20.0,18.0,12.0,188,153
48,JOHANN EMMER,2265,,27.0,22.0,9.0,22.0,30.0,30.0,12.0,14.0,18.0,184,154
49,"RAVINDRA KUMAR VERMA, SHRADDHA SHARMA",4110,,30.0,(35.0),19.0,23.0,20.0,10.0,28.0,22.0,8.0,195,160
50,BELEN TAVELLA,488,,19.0,22.0,29.0,19.0,30.0,21.0,(35.0),19.0,4.0,198,163
51,YEHOR SAMARIN,5218,,19.0,24.0,13.0,31.0,33.0,25.0,16.0,11.0,26.0,198,165
52,NEUS BALLESTER,3636,,26.0,28.0,24.0,15.0,(35.0),29.0,9.0,25.0,16.0,207,172
53,KACPER PASZEK,2444,,(35.0),30.0,20.0,28.0,28.0,23.0,5.0,15.0,23.0,207,172
54,REAMONN THEINER,4111,,(35.0),35.0,14.0,29.0,27.0,14.0,22.0,20.0,14.0,210,175
55,SOPHIE JACKSON,4546,,22.0,(35.0),31.0,30.0,23.0,24.0,11.0,23.0,15.0,214,179
56,"JULIANE ADELSSEN, JONATHAN WILLE",2405,,29.0,25.0,33.0,20.0,27.0,27.0,23.0,10.0,21.0,215,182
56,JULIANE ADELSSEN,2404,,29.0,25.0,33.0,20.0,27.0,27.0,23.0,10.0,21.0,215,182
57,UMA CHOUHAN,4938,,29.0,28.0,22.0,11.0,25.0,(35.0),21.0,26.0,24.0,221,186
58,EMA SAMARIJA,1274,,(35.0),35.0,29.0,13.0,24.0,23.0,26.0,16.0,27.0,228,193
59,CATHARINA SCHAAFF,786,,31.0,(35.0),24.0,33.0,31.0,35.0,8.0,17.0,20.0,234,199
60,ASHLEE DAUNT,402,,23.0,26.0,26.0,19.0,26.0,28.0,24.0,27.0,32.0,231,199
61,MILLIE IRISH,3494,,26.0,23.0,30.0,17.0,29.0,25.0,27.0,30.0,29.0,236,206
62,"BETTINE WRIGLEY, MARTIN HARRIS",557,,2.0,7.0,26.0,(35.0),35.0,35.0,35.0,35.0,35.0,245,210
63,JOANNA CYMERMAN,2239,,27.0,25.0,32.0,27.0,29.0,30.0,31.0,29.0,22.0,252,220
64,MAX KELLER,3361,,(35.0),35.0,28.0,23.0,32.0,32.0,10.0,33.0,28.0,256,221
65,PAUL PORTHUN,3916,,25.0,27.0,30.0,(35.0),28.0,33.0,30.0,21.0,31.0,260,225
66,LUISA GANDOLPHO,2935,,(35.0),35.0,34.0,21.0,31.0,31.0,25.0,31.0,30.0,273,238
67,AMELIE WEHRLE,188,,(35.0),35.0,32.0,32.0,32.0,29.0,29.0,28.0,25.0,277,242
68,"MACIEJ SCHMIDT, POLA PANA",2984,,(35.0),35.0,31.0,34.0,34.0,31.0,33.0,32.0,33.0,298,263
68,"POLA SCHMIDT, MACIEJ PANA",4051,,(35.0),35.0,31.0,34.0,34.0,31.0,33.0,32.0,33.0,298,263
