Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
1,MONA MERZ,3543,,2.0,1.0,1.0,(23.0),8.0,1.0,36.0,13.0
1,FLORIAN HAFNER,1496,,(3.0),1.0,1.0,1.0,1.0,2.0,9.0,6.0
2,CHRISTOPH WURM,891,,8.0,2.0,(13.0),1.0,1.0,2.0,27.0,14.0
2,ANDREAS THIEMANN,246,,(23.0),4.0,3.0,2.0,5.0,1.0,38.0,15.0
3,THOMAS BUTTNER,4759,,4.0,4.0,6.0,2.0,(11.0),7.0,34.0,23.0
3,NICO SCHAFFERLING,3668,,1.0,6.0,2.0,3.0,(7.0),4.0,23.0,16.0
4,NINA LOSER,3732,,3.0,5.0,(8.0),5.0,4.0,6.0,31.0,23.0
4,MARC FUNKEN,3072,,2.0,2.0,8.0,(29.0),2.0,3.0,46.0,17.0
5,CHRISTIAN DEMLEITNER,871,,6.0,3.0,9.0,4.0,(10.0),5.0,37.0,27.0
5,THORALF WOLFENSTETTER,4788,,(7.0),3.0,4.0,7.0,3.0,5.0,29.0,22.0
6,STEFFEN POHLMANN,4595,,8.0,5.0,7.0,5.0,(11.0),9.0,45.0,34.0
6,TETIANA NIKITENKOVA,4725,,11.0,7.0,2.0,(14.0),5.0,3.0,42.0,28.0
7,MARCO CASALINI,3084,,13.0,8.0,5.0,6.0,3.0,(15.0),50.0,35.0
7,ANDREAS SCHRETZENMAYER,245,,(11.0),8.0,11.0,6.0,8.0,6.0,50.0,39.0
8,BENJAMIN RADES,518,,6.0,9.0,16.0,4.0,6.0,(20.0),61.0,41.0
8,JESPER FREIENSTEIN,2193,,7.0,6.0,(11.0),9.0,7.0,10.0,50.0,39.0
9,PHILIPP VAN HUSEN,3999,,14.0,11.0,3.0,(20.0),2.0,13.0,63.0,43.0
9,KLAUS RICHTER,2594,,4.0,(14.0),12.0,8.0,10.0,12.0,60.0,46.0
10,ELIA ARMBRUSTER,1243,,9.0,10.0,7.0,8.0,14.0,(20.0),68.0,48.0
10,WOLFGANG MAYER,5161,,10.0,(18.0),6.0,10.0,15.0,8.0,67.0,49.0
11,ANNA BICHLER,290,,15.0,(17.0),12.0,3.0,12.0,9.0,68.0,51.0
11,"TILL NI, ESSNER",4801,,12.0,(15.0),10.0,13.0,4.0,14.0,68.0,53.0
12,LUIS HABERLEN,2933,,13.0,10.0,15.0,11.0,(29.0),7.0,85.0,56.0
12,HENK WITTENBERG,1865,,5.0,12.0,10.0,(30.0),16.0,8.0,81.0,51.0
13,MAXIMILIAN ELSTNER,3379,,(26.0),9.0,14.0,18.0,9.0,4.0,80.0,54.0
13,JULIAN ELSTNER,2395,,9.0,(17.0),9.0,14.0,14.0,10.0,73.0,56.0
14,JENS SATTMANN,2175,,5.0,13.0,14.0,15.0,12.0,(17.0),76.0,59.0
14,ALEXANDRA BEHRENS,129,,(38.0),15.0,20.0,21.0,6.0,12.0,112.0,74.0
15,WOLFGANG SCHMIDT,5163,,16.0,16.0,5.0,17.0,9.0,(27.0),90.0,63.0
15,MAXI BICHLER,3371,,16.0,(28.0),18.0,11.0,13.0,16.0,102.0,74.0
16,THORSTEN RIES,4790,,(19.0),12.0,17.0,9.0,19.0,11.0,87.0,68.0
16,MARIAN FIEDLER,3136,,17.0,16.0,16.0,7.0,(25.0),19.0,100.0,75.0
17,THOMAS FLEISCHMANN,4767,,14.0,7.0,18.0,(29.0),13.0,21.0,102.0,73.0
17,JULIUS BRULL,2418,,1.0,18.0,(32.0),22.0,24.0,14.0,111.0,79.0
18,FRITHJOF CALLENS,1572,,(21.0),11.0,19.0,19.0,17.0,13.0,100.0,79.0
18,EMILIA WACHS,1290,,10.0,(25.0),25.0,13.0,20.0,17.0,110.0,85.0
19,ANDREAS DR NEUSS,239,,18.0,(21.0),13.0,20.0,16.0,15.0,103.0,82.0
19,CELINE REEGEN,802,,12.0,13.0,28.0,15.0,19.0,(38.0),125.0,87.0
20,TOBIAS KALKOWSKY,4844,,17.0,19.0,22.0,16.0,18.0,(23.0),115.0,92.0
20,LETIZIA LAY,2768,,23.0,27.0,4.0,17.0,(30.0),18.0,119.0,89.0
21,VOLKER BRUECK,5069,,15.0,(27.0),21.0,12.0,24.0,22.0,121.0,94.0
21,JONATHAN ERHARD,2302,,21.0,21.0,19.0,19.0,(23.0),11.0,114.0,91.0
22,DIRK SALAW,1143,,22.0,(23.0),23.0,18.0,21.0,18.0,125.0,102.0
22,FLORIAN CIESLA,1493,,25.0,14.0,24.0,10.0,(27.0),21.0,121.0,94.0
23,DIRK CIESLA,1141,,20.0,22.0,20.0,23.0,20.0,(24.0),129.0,105.0
23,JOSEF MAURER,2329,,(38.0),24.0,15.0,16.0,18.0,24.0,135.0,97.0
24,MARKUS SALER,3194,,(25.0),24.0,25.0,22.0,25.0,16.0,137.0,112.0
24,WALTER GAHWILER,5083,,22.0,(30.0),26.0,12.0,15.0,25.0,130.0,100.0
25,MIKA HYNER,3478,,24.0,23.0,23.0,(31.0),17.0,22.0,140.0,109.0
25,STEFFEN OTT,4594,,(28.0),20.0,24.0,26.0,23.0,19.0,140.0,112.0
26,MIRJA SPARN,3512,,19.0,19.0,(31.0),26.0,21.0,28.0,144.0,113.0
26,GEORG NOLLERT,1631,,24.0,25.0,(28.0),24.0,22.0,28.0,151.0,123.0
27,FRANK ZIMMERMANN,1544,,26.0,26.0,(27.0),21.0,27.0,26.0,153.0,126.0
27,SABRINA QUEREN,4270,,18.0,26.0,27.0,25.0,(29.0),27.0,152.0,123.0
28,TOBIAS NIGGL,4845,,27.0,(29.0),26.0,25.0,26.0,25.0,158.0,129.0
28,BETTINA CIESLA,555,,20.0,(31.0),22.0,27.0,31.0,23.0,154.0,123.0
29,KARL SCHMID,2484,,28.0,20.0,17.0,28.0,(38.0),38.0,169.0,131.0
30,KLAUS SARZIO,2595,,27.0,(32.0),21.0,32.0,26.0,26.0,164.0,132.0
31,JEANETTE SCHLOSSER,2159,,31.0,(37.0),30.0,24.0,22.0,29.0,173.0,136.0
32,FREDERIK LAY,1557,,30.0,29.0,33.0,29.0,32.0,(34.0),187.0,153.0
33,MAXIMILIAN OTT,3383,,(34.0),33.0,29.0,34.0,28.0,31.0,189.0,155.0
34,KERSTIN NOLLERT,2545,,29.0,22.0,(38.0),38.0,35.0,32.0,194.0,156.0
35,CHRISTOFF SCHIEGG,885,,32.0,(34.0),34.0,33.0,34.0,33.0,200.0,166.0
36,LUKAS GRAF,2944,,(35.0),35.0,35.0,35.0,33.0,30.0,203.0,168.0
37,ANDREAS NEUMANN,243,,33.0,36.0,36.0,36.0,(38.0),38.0,217.0,179.0
