Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
1,"PETER BURLING, BLAIR TUKE",3968,,-,-,-,-,-,-,-,1.0,(18.0),1.0,4.0,5.0,1.0,1.0,8.0,2.0,(15.0),9.0,1.0,13.0,8.0,8.0,8.0,103.0,70.0
1,LINE FLEM HOST,2827,NOR,(45.0),(36.0),31.0,2.0,32.0,3.0,-,4.0,3.0,1.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,81.0,162.0
1,JEAN-BAPTISTE BERNAZ,2157,FRA,21.0,12.0,18.0,20.0,22.0,(32.0),(32.0),4.0,15.0,2.0,1.0,17.0,-,-,-,-,-,-,-,-,-,-,-,196.0,132.0
1,ANNE-MARIE RINDOM,319,DEN,1.0,8.0,(29.0),1.0,7.0,5.0,-,4.0,5.0,7.0,2.0,(19.0),-,-,-,-,-,-,-,-,-,-,-,88.0,40.0
1,"GIULIA CONTI, FRANCESCA CLAPCICH",1686,,-,-,-,-,-,-,-,4.0,6.0,3.0,1.0,2.0,1.0,5.0,(7.0),(15.0),7.0,10.0,6.0,8.0,4.0,8.0,2.0,89.0,67.0
1,ROB CRANE,4165,USA,(54.0),(54.0),25.0,14.0,25.0,50.0,17.0,5.0,9.0,1.0,7.0,3.0,-,-,-,-,-,-,-,-,-,-,-,264.0,156.0
1,NICK THOMPSON,3653,GBR,5.0,2.0,6.0,3.0,4.0,1.0,(24.0),7.0,2.0,4.0,(25.0),15.0,18.0,-,-,-,-,-,-,-,-,-,-,116.0,67.0
2,PHILIPP BUHL,3995,GER,1.0,2.0,1.0,5.0,(15.0),5.0,7.0,16.0,15.0,27.0,13.0,(48.0),1.0,-,-,-,-,-,-,-,-,-,-,156.0,93.0
2,"MARTINE GRAEL, KAHENA KUNZE",3243,BRA,-,-,-,-,-,-,-,9.0,4.0,2.0,5.0,(14.0),4.0,8.0,2.0,1.0,4.0,1.0,(14.0),7.0,6.0,12.0,4.0,97.0,69.0
2,JOEL RODRIGUEZ,2251,ESP,(44.0),26.0,36.0,36.0,29.0,20.0,30.0,1.0,3.0,3.0,3.0,(37.0),-,-,-,-,-,-,-,-,-,-,-,268.0,187.0
2,TOBIAS SCHADEWALDT,4847,GER,22.0,17.0,(54.0),15.0,27.0,(30.0),2.0,6.0,8.0,8.0,16.0,19.0,-,-,-,-,-,-,-,-,-,-,-,224.0,140.0
2,MARIT BOUWMEESTER,3179,NED,2.0,7.0,6.0,4.0,(51.0),9.0,-,1.0,3.0,(10.0),4.0,4.0,-,-,-,-,-,-,-,-,-,-,-,101.0,40.0
2,"NATHAN OUTTERIDGE, IAIN JENSEN",3617,AUS,-,-,-,-,-,-,-,10.0,5.0,(32.0),7.0,17.0,27.0,2.0,2.0,(17.0),9.0,6.0,2.0,2.0,1.0,4.0,10.0,153.0,104.0
2,ISABELLA BERTOLD,2012,CAN,8.0,22.0,(26.0),24.0,25.0,(37.0),-,13.0,5.0,7.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,108.0,171.0
3,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",1965,,-,-,-,-,-,-,-,1.0,1.0,1.0,5.0,(10.0),1.0,1.0,1.0,(19.0),10.0,2.0,13.0,13.0,16.0,11.0,8.0,113.0,84.0
3,JOAQUIN BLANCO,2248,ESP,20.0,8.0,(28.0),(54.0),19.0,21.0,14.0,25.0,5.0,3.0,12.0,15.0,-,-,-,-,-,-,-,-,-,-,-,224.0,142.0
3,YULONG QIU,5242,CHN,(44.0),(45.0),20.0,54.0,21.0,27.0,13.0,29.0,2.0,6.0,13.0,4.0,-,-,-,-,-,-,-,-,-,-,-,278.0,189.0
3,"FEDERICO ALONSO, ARTURO ALONSO TELLECHEA",1423,,-,-,-,-,-,-,-,8.0,4.0,4.0,9.0,4.0,8.0,(13.0),1.0,1.0,6.0,2.0,4.0,20.0,20.0,(24.0),16.0,144.0,107.0
3,ANDREA ALDANA,230,GUA,(45.0),(36.0),7.0,23.0,15.0,27.0,-,9.0,7.0,11.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,109.0,190.0
3,EVI VAN ACKER,1381,BEL,2.0,12.0,(51.0),1.0,1.0,8.0,-,9.0,1.0,4.0,6.0,(25.0),-,-,-,-,-,-,-,-,-,-,-,120.0,44.0
3,TOM BURTON,4855,AUS,(19.0),4.0,2.0,2.0,1.0,11.0,10.0,15.0,(27.0),2.0,16.0,11.0,23.0,-,-,-,-,-,-,-,-,-,-,143.0,97.0
4,SUSANNAH PYATT,4643,NZL,5.0,32.0,(51.0),14.0,27.0,(34.0),-,1.0,11.0,4.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,115.0,200.0
4,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,-,-,-,-,-,-,-,7.0,6.0,2.0,5.0,9.0,(20.0),7.0,13.0,(18.0),5.0,14.0,3.0,11.0,12.0,18.0,2.0,152.0,114.0
4,YURI HUMMEL,5246,NED,27.0,37.0,15.0,30.0,36.0,(54.0),44.0,(53.0),11.0,5.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,314.0,207.0
4,TUULA TENKANEN,4922,FIN,(12.0),4.0,2.0,8.0,6.0,(12.0),-,2.0,10.0,1.0,9.0,7.0,-,-,-,-,-,-,-,-,-,-,-,73.0,49.0
