Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
1,"PETER BURLING, BLAIR TUKE",3968,,-,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,(11.0),4.0,(20.0),2.0,2.0,3.0,12.0,6.0,71.0,40.0
1,GUILLAUME GIROD,1747,SUI,24.0,(42.0),23.0,24.0,20.0,27.0,36.0,(39.0),7.0,1.0,3.0,2.0,3.0,-,-,-,-,-,-,-,-,-,-,-,251.0,170.0
1,NICK THOMPSON,3653,GBR,1.0,1.0,5.0,(13.0),1.0,2.0,2.0,4.0,7.0,18.0,10.0,1.0,(41.0),9.0,-,-,-,-,-,-,-,-,-,-,115.0,61.0
1,ALISON YOUNG,163,GBR,(11.0),1.0,7.0,6.0,2.0,4.0,3.0,-,3.0,1.0,9.0,(33.0),5.0,1.0,-,-,-,-,-,-,-,-,-,-,86.0,42.0
1,"TAMARA ECHEGOYEN, BERTA BETANZOS",4677,,-,-,-,-,-,-,-,-,2.0,12.0,5.0,(13.0),8.0,1.0,1.0,1.0,2.0,1.0,3.0,10.0,(17.0),2.0,14.0,-,92.0,62.0
1,SILVIA ZENNARO,4489,ITA,23.0,(24.0),21.0,(27.0),9.0,8.0,11.0,-,3.0,3.0,1.0,15.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,148.0,97.0
2,PAIGE RAILEY,3859,USA,(9.0),3.0,4.0,3.0,1.0,1.0,7.0,-,(9.0),5.0,2.0,5.0,6.0,6.0,-,-,-,-,-,-,-,-,-,-,61.0,43.0
2,"MAIKEN FOGHT SCHUTT, ANNE-, JULIE SCHUTT",3012,,-,-,-,-,-,-,-,-,1.0,9.0,4.0,4.0,2.0,4.0,12.0,(14.0),5.0,2.0,(20.0),7.0,7.0,8.0,10.0,-,109.0,75.0
2,JEAN-BAPTISTE BERNAZ,2157,FRA,(7.0),2.0,4.0,2.0,2.0,3.0,5.0,3.0,(22.0),6.0,15.0,11.0,5.0,15.0,-,-,-,-,-,-,-,-,-,-,102.0,73.0
2,BENJAMIN VADNAI,520,HUN,(33.0),27.0,(34.0),33.0,22.0,22.0,27.0,11.0,2.0,8.0,13.0,1.0,19.0,-,-,-,-,-,-,-,-,-,-,-,252.0,185.0
2,"NICO LUCA MARC DELLE KARTH, NIKOLAUS LEOPOLD RESCH",3665,,-,-,-,-,-,-,-,-,10.0,16.0,2.0,1.0,(22.0),3.0,7.0,1.0,7.0,5.0,8.0,5.0,5.0,7.0,(15.0),4.0,118.0,81.0
2,AGATA BARWINSKA,29,POL,(32.0),(28.0),22.0,11.0,20.0,7.0,9.0,-,1.0,12.0,7.0,5.0,4.0,5.0,-,-,-,-,-,-,-,-,-,-,163.0,103.0
3,"DYLAN FLETCHE, R-SCOTT, ALAIN SIGN",1188,,-,-,-,-,-,-,-,-,5.0,10.0,4.0,2.0,7.0,6.0,19.0,(23.0),4.0,3.0,9.0,4.0,6.0,(12.0),7.0,2.0,123.0,88.0
3,RUTGER VAN SCHAARDENBURG,4252,NED,(22.0),12.0,7.0,9.0,(16.0),6.0,12.0,6.0,6.0,3.0,8.0,15.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,126.0,88.0
3,ANNE-MARIE RINDOM,319,DEN,(27.0),6.0,3.0,5.0,4.0,2.0,(8.0),-,6.0,3.0,4.0,8.0,4.0,5.0,-,-,-,-,-,-,-,-,-,-,85.0,50.0
3,ANNALISE MURPHY,313,IRL,(34.0),7.0,(26.0),25.0,5.0,8.0,25.0,-,5.0,1.0,2.0,19.0,11.0,3.0,-,-,-,-,-,-,-,-,-,-,171.0,111.0
3,FRANCISCO RENNA,1533,ARG,24.0,23.0,(40.0),32.0,(37.0),27.0,24.0,13.0,5.0,3.0,10.0,8.0,17.0,-,-,-,-,-,-,-,-,-,-,-,263.0,186.0
3,"VICTORIA JURCZOK, ANIKA LORENZ",5029,GER,-,-,-,-,-,-,-,-,7.0,1.0,1.0,2.0,5.0,(9.0),9.0,2.0,(18.0),14.0,12.0,9.0,3.0,3.0,8.0,-,103.0,76.0
