Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,Total,Nett
1,"WILLIAM JONES, EVAN DEPAUL",5142,,-,-,-,-,-,-,-,-,3.0,2.0,1.0,2.0,5.0,2.0,2.0,1.0,4.0,1.0,2.0,(11.0),4.0,2.0,2.0,44.0,33.0
1,LUCIA FALASCA,2914,ARG,(35.0),32.0,27.0,34.0,19.0,3.0,(35.0),16.0,1.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,206.0,136.0
1,ROBERT DAVIS,4167,CAN,(23.0),14.0,21.0,18.0,16.0,16.0,-,-,4.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,114.0,91.0
1,CHRISTIAN GULDBERG ROST,874,DEN,(47.0),36.0,28.0,21.0,33.0,33.0,-,-,2.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,203.0,156.0
1,MARIT BOUWMEESTER,3179,NED,(29.0),(27.0),3.0,6.0,1.0,2.0,1.0,1.0,5.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,78.0,22.0
1,"RAGNA AGERUP, MAIA AGERUP",4093,NOR,-,-,-,-,-,-,-,-,4.0,1.0,2.0,2.0,(6.0),5.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,37.0,31.0
1,PAVLOS KONTIDES,3933,CYP,1.0,1.0,1.0,3.0,1.0,(nan),-,-,(26.0),2.0,1.0,5.0,-,-,-,-,-,-,-,-,-,-,-,41.0,15.0
2,TOM BURTON,4855,AUS,(18.0),2.0,6.0,7.0,1.0,1.0,-,-,5.0,4.0,4.0,(23.0),-,-,-,-,-,-,-,-,-,-,-,71.0,30.0
2,MARTIS PAJARSKAS,3255,LTU,(48.0),37.0,40.0,25.0,26.0,24.0,-,-,3.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,205.0,157.0
2,"ANNA YAMAZAKI, SENA TAKANO",306,,-,-,-,-,-,-,-,-,3.0,5.0,3.0,1.0,4.0,1.0,4.0,5.0,(6.0),6.0,3.0,2.0,1.0,1.0,3.0,48.0,42.0
2,HANNAH VAN GOOR,1796,NED,(40.0),40.0,20.0,16.0,(41.0),13.0,26.0,8.0,13.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,219.0,138.0
2,"DANE WILSON, SCOTT EWING",1014,,-,-,-,-,-,-,-,-,1.0,1.0,(4.0),4.0,4.0,3.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,41.0,37.0
2,ANDREW MCKENZIE,258,NZL,46.0,5.0,2.0,11.0,13.0,(nan),-,-,15.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,93.0,93.0
2,EVI VAN ACKER,1381,BEL,4.0,3.0,3.0,9.0,2.0,(15.0),3.0,3.0,4.0,(15.0),-,-,-,-,-,-,-,-,-,-,-,-,-,61.0,31.0
3,MATTHEW WEARN,3336,AUS,(9.0),3.0,1.0,1.0,2.0,2.0,-,-,11.0,(24.0),5.0,6.0,-,-,-,-,-,-,-,-,-,-,-,64.0,31.0
3,BERKAY ABAY,534,TUR,31.0,32.0,31.0,(35.0),26.0,30.0,-,-,6.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,203.0,168.0
3,"CARLA MUNTE, MARTA MUNTE",737,ESP,-,-,-,-,-,-,-,-,2.0,2.0,4.0,4.0,(12.0),6.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,58.0,46.0
3,MILDA EIDUKEVICIUTE,3491,LTU,23.0,16.0,(31.0),5.0,28.0,31.0,(45.0),26.0,8.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,222.0,146.0
3,MANAMI DOI,3044,JPN,(34.0),5.0,7.0,2.0,2.0,5.0,4.0,(23.0),13.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,97.0,40.0
3,"DON WHITCRAFT, DYLAN WHITCRAFT",1165,THA,-,-,-,-,-,-,-,-,2.0,3.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,(6.0),4.0,4.0,1.0,8.0,3.0,48.0,42.0
3,THEODOR BAUER,4742,GER,7.0,25.0,17.0,23.0,14.0,(28.0),-,-,9.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,128.0,100.0
4,MUSTAFA CAKIR,3581,TUR,(42.0),33.0,16.0,15.0,29.0,6.0,-,-,16.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,160.0,118.0
4,MATHILDE DE KERANGAT,3293,FRA,4.0,9.0,(17.0),13.0,6.0,7.0,10.0,4.0,(14.0),7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,91.0,60.0
4,"OLIVER MANTON, BILLY GOODFELLOW",3806,,-,-,-,-,-,-,-,-,4.0,5.0,(6.0),5.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,6.0,7.0,62.0,56.0
4,EKATERINA ZYUZINA,1222,RUS,41.0,17.0,16.0,8.0,17.0,(51.0),24.0,37.0,(51.0),3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,265.0,163.0
4,"NATASHA BRYANT, ANNIE WILMOT",3613,,-,-,-,-,-,-,-,-,1.0,3.0,5.0,3.0,1.0,3.0,(7.0),7.0,5.0,1.0,2.0,6.0,4.0,4.0,2.0,54.0,47.0
4,PHILIPPP BUHL,4003,GER,(10.0),1.0,3.0,2.0,3.0,4.0,-,-,(18.0),11.0,11.0,2.0,-,-,-,-,-,-,-,-,-,-,-,65.0,37.0
4,YANIC GENTRY,5208,MEX,(39.0),30.0,38.0,26.0,31.0,25.0,-,-,8.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,208.0,169.0
5,LOIC QUEYROUX,2863,FRA,(33.0),13.0,23.0,31.0,19.0,22.0,-,-,5.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,156.0,123.0
5,ZOE THOMSON,5286,AUS,2.0,24.0,18.0,(51.0),33.0,(43.0),31.0,35.0,22.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,260.0,166.0
5,JESPER STALHEIM,2195,SWE,(10.0),4.0,5.0,4.0,6.0,5.0,-,-,7.0,(nan),3.0,11.0,-,-,-,-,-,-,-,-,-,-,-,55.0,45.0
5,MAXIMILIAN MUELLER,3381,GER,26.0,35.0,24.0,31.0,35.0,(37.0),-,-,16.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,212.0,175.0
5,"RYAN WOOD, ANDREW WOOD",4266,,-,-,-,-,-,-,-,-,5.0,(7.0),3.0,3.0,2.0,7.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,1.0,5.0,67.0,60.0
5,BRENDA BOWSKILL,649,CAN,1.0,15.0,10.0,8.0,11.0,6.0,(45.0),11.0,2.0,(16.0),-,-,-,-,-,-,-,-,-,-,-,-,-,125.0,64.0
5,"ALEXANDRA TEN HOVE, MARIAH MILLEN",133,CAN,-,-,-,-,-,-,-,-,5.0,4.0,1.0,5.0,7.0,2.0,5.0,1.0,4.0,4.0,5.0,(8.0),6.0,5.0,12.0,74.0,66.0
6,"JOAO PEDRO HERRLEIN SOUTO DE
  OLIVEIRA",2243,BRA,11.0,15.0,23.0,24.0,(27.0),18.0,-,-,18.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,150.0,123.0
6,MAXIME JONKER,3375,NED,(23.0),7.0,13.0,4.0,3.0,(24.0),10.0,3.0,10.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,115.0,68.0
6,NICK THOMPSON,3653,GBR,3.0,5.0,8.0,3.0,1.0,(nan),-,-,(20.0),1.0,13.0,14.0,-,-,-,-,-,-,-,-,-,-,-,68.0,48.0
6,HUGH MACRAE,1932,CAN,34.0,(39.0),32.0,35.0,31.0,34.0,-,-,4.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,219.0,180.0
6,"NOAH LYONS, JOHN MICHEL",3744,,-,-,-,-,-,-,-,-,7.0,6.0,2.0,6.0,6.0,4.0,(8.0),7.0,6.0,8.0,8.0,3.0,11.0,3.0,8.0,93.0,85.0
6,LENA HAVERLAND,2739,GER,22.0,(43.0),21.0,17.0,26.0,20.0,27.0,(31.0),18.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,243.0,169.0
6,"QUINLAN WILSON, ROMAIN SCREVE",4082,,-,-,-,-,-,-,-,-,6.0,6.0,(7.0),6.0,5.0,4.0,3.0,3.0,3.0,2.0,6.0,3.0,4.5,12.0,12.0,82.5,75.5
7,"TIMMA FLANAGAN, JEAN-, MATTHIEU BOLLAND",4815,,-,-,-,-,-,-,-,-,8.0,7.0,6.0,7.0,2.0,(9.0),8.0,8.0,9.0,7.0,7.0,7.0,5.0,6.0,12.0,108.0,99.0
7,KEERATI BUALONG,2524,THA,23.0,(43.0),32.0,32.0,40.0,38.0,-,-,14.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,226.0,183.0
7,ZENO GREGORIN,5267,ITA,22.0,5.0,8.0,(32.0),24.0,24.0,-,-,25.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,159.0,127.0
7,JEAN-BAPTISTE BERNAZ,2157,FRA,2.0,2.0,(7.0),1.0,2.0,1.0,-,-,10.0,30.0,2.0,(40.0),-,-,-,-,-,-,-,-,-,-,-,97.0,50.0
