Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
1,"SIME FANTELA, MIHOVIL FANTELA",4491,,6.0,8.0,3.0,1.0,(25.0),15.0,8.0,1.0,4.0,2.0,12.0,2.0,10.0,97.0,72.0
1,EMMA PLASSCHAERT,1301,BEL,5.0,7.0,1.0,(15.0),9.0,3.0,11.0,7.0,11.0,2.0,10.0,-,-,81.0,66.0
1,"ANNEMIEK BEKKERING, ANNETTE DUETZ",321,NED,3.0,(26.0),8.0,4.0,3.0,5.0,1.0,20.0,11.0,8.0,3.0,19.0,4.0,115.0,89.0
1,PAVLOS KONTIDES,3933,CYP,8.0,3.0,7.0,2.0,1.0,2.0,12.0,4.0,2.0,(14.0),18.0,-,-,73.0,59.0
2,MATTHEW WEARN,3336,AUS,7.0,4.0,1.0,4.0,3.0,1.0,3.0,9.0,(14.0),13.0,16.0,-,-,75.0,61.0
2,"TANJA FRANK, LORENA ABICHT",4689,,7.0,2.0,(25.0),9.0,6.0,4.0,12.0,6.0,1.0,7.0,1.0,16.0,20.0,116.0,91.0
2,"MATHIEU FREI, NOE DELPECH",3288,,2.0,1.0,10.0,(27.0),13.0,22.0,12.0,6.0,13.0,1.0,4.0,5.0,2.0,118.0,91.0
2,MARIT BOUWMEESTER,3179,NED,3.0,2.0,11.0,(28.0),16.0,4.0,14.0,11.0,1.0,5.0,8.0,-,-,103.0,75.0
3,"TIM FISCHER, FABIAN GRAF",4809,GER,10.0,11.0,1.0,5.0,4.0,3.0,4.0,5.0,20.0,5.0,(21.0),7.0,18.0,114.0,93.0
3,"SOPHIE WEGUELIN, SOPHIE AINSWORTH",4554,,13.0,7.0,9.0,8.0,(19.0),8.0,15.0,3.0,2.0,1.0,4.0,12.0,12.0,113.0,94.0
3,ANNE-MARIE RINDOM,319,DEN,4.0,3.0,2.0,18.0,2.0,2.0,12.0,(44.0),3.0,33.0,6.0,-,-,129.0,85.0
3,PHILIPP BUHL,3995,GER,4.0,3.0,19.0,3.0,6.0,6.0,2.0,16.0,(22.0),5.0,6.0,-,-,92.0,70.0
4,MONIKA MIKKOLA,3546,FIN,1.0,14.0,11.0,(37.0),13.0,17.5,2.0,9.0,2.0,14.0,12.0,-,-,132.5,95.5
4,"MARTINE SOFFIATTI GRAEL, KAHENA KUNZE",3245,,11.0,6.0,1.0,13.0,1.0,11.0,9.0,(26.0),17.0,22.0,2.0,3.0,6.0,128.0,102.0
4,SAM MEECH,4288,NZL,1.0,1.0,1.0,2.0,13.0,4.0,34.0,7.0,12.0,(56.0),4.0,-,-,135.0,79.0
4,"ERIK HEIL, THOMAS PLOESSEL",1338,GER,5.0,16.0,4.0,11.0,1.0,8.0,2.0,(27.0),9.0,4.0,14.0,6.0,20.0,127.0,100.0
5,PAIGE RAILEY,3859,USA,2.0,1.0,16.0,5.0,7.0,7.0,4.0,37.0,(61.0),3.0,16.0,-,-,159.0,98.0
5,ELLIOT HANSON,1263,GBR,7.0,9.0,11.0,1.0,2.0,2.0,6.0,13.0,9.0,(23.0),20.0,-,-,103.0,80.0
5,"JENA HANSEN, KATJA SALSKOV-IVERSEN",2165,,1.0,18.0,1.0,7.0,6.0,16.0,6.0,(25.0),22.0,4.0,6.0,2.0,14.0,128.0,103.0
5,"JAMES PETERS, FYNN STERRITT",2107,GBR,9.0,4.0,12.0,6.0,2.0,12.0,22.0,12.0,(27.0),7.0,3.0,9.0,4.0,129.0,102.0
6,"ODILE VAN AANHOLT, MARIEKE JONGENS",3782,,2.0,1.0,4.0,18.0,20.0,10.0,8.0,5.0,26.0,(31.0),5.0,5.0,2.0,137.0,106.0
6,SARAH DOUGLAS,4346,CAN,18.0,4.0,(36.0),4.0,6.0,1.0,3.0,18.0,5.0,26.0,14.0,-,-,135.0,99.0
6,"DYLAN FLETCHE, R-SCOTT, STUART BITHELL",1189,,15.0,23.0,3.0,(30.0),1.0,1.0,3.0,13.0,16.0,6.0,10.0,1.0,12.0,134.0,104.0
6,HERMANN TOMASGAARD,1886,NOR,5.0,11.0,3.0,16.0,8.0,3.0,16.0,17.0,1.0,(50.0),3.0,-,-,133.0,83.0
7,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",1965,,1.0,16.0,3.0,3.0,4.0,2.0,18.0,15.0,14.0,3.0,(29.0),24.0,8.0,140.0,111.0
7,"LOGAN DUNNING BECK, OSCAR GUNN",2860,,8.0,2.0,1.0,2.0,9.0,9.0,20.0,3.0,17.0,16.0,15.0,(23.0),6.0,131.0,108.0
7,TOM BURTON,4855,AUS,1.0,5.0,6.0,1.0,2.0,27.0,11.0,5.0,(56.0),19.0,8.0,-,-,141.0,85.0
7,ALISON YOUNG,163,GBR,15.0,11.0,5.0,(32.0),4.0,11.0,28.0,17.0,10.0,4.0,2.0,-,-,139.0,107.0
8,"ALEXANDRA MALONEY, MOLLY MEECH",130,NZL,5.0,13.0,6.0,6.0,11.0,4.0,(30.0),19.0,4.0,17.0,18.0,7.0,10.0,150.0,120.0
8,MARIA ERDI,3118,HUN,5.0,16.0,8.0,13.0,2.0,(28.0),19.0,24.0,13.0,11.0,4.0,-,-,143.0,115.0
8,"LUCAS RUAL, EMILE AMOROS",2911,FRA,2.0,1.0,6.0,3.0,3.0,5.0,(30.0),20.0,26.0,14.0,9.0,12.0,8.0,139.0,109.0
