Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,Total,Nett
1,"PETER BURLING, BLAIR TUKE",3968,,1.0,11.0,3.0,3.0,1.0,8.0,1.0,3.0,7.0,11.0,3.0,7.0,10.0,5.0,1.0,(26.0),3.0,1.0,11.0,3.0,3.0,1.0,8.0,1.0,3.0,7.0,11.0,3.0,7.0,10.0,5.0,1.0,(26.0),3.0,4.0,112.0,86.0
1,ANNE-MARIE RINDOM,319,DEN,1.0,(57.0),(28.0),1.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,12.0,4.0,2.0,5.0,6.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,135.0,50.0
1,MAXIME JONKER,3375,NED,50.0,2.0,(57.0),(57.0),1.0,-,-,-,-,-,-,-,-,-,-,-,-,1.0,16.0,1.0,1.0,28.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,228.0,114.0
1,TOM BURTON,4855,AUS,2.0,(21.0),4.0,4.0,3.0,4.0,-,-,-,-,-,-,-,-,-,-,-,8.0,2.0,5.0,13.0,14.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,-,131.0,59.0
1,GIANMARCO PLANCHESTAINER,1662,ITA,19.0,8.0,(27.0),15.0,(30.0),18.0,-,-,-,-,-,-,-,-,-,-,-,1.0,2.0,15.0,6.0,15.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,169.0,112.0
1,"ANNEMIEK BEKKERING, ANNETTE DUETZ",321,NED,17.0,7.0,11.0,1.0,(28.0),3.0,2.0,1.0,2.0,1.0,6.0,3.0,9.0,13.0,9.0,5.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124.0,96.0
1,YOSHIHIRO SUZUKI,5231,JPN,33.0,(53.0),22.0,31.0,(34.0),29.0,-,-,-,-,-,-,-,-,-,-,-,9.0,21.0,3.0,9.0,1.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,247.0,160.0
2,SAGIE GLANTZ,4275,ISR,14.0,24.0,23.0,(35.0),11.0,(30.0),-,-,-,-,-,-,-,-,-,-,-,3.0,3.0,13.0,1.0,7.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,180.0,115.0
2,"MARTINE SOFFIATTI GRAEL, KAHENA KUNZE",3245,,3.0,9.0,6.0,5.0,1.0,2.0,1.0,5.0,6.0,(22.0),2.0,7.0,15.0,14.0,5.0,11.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132.0,110.0
2,MAOR BEN HAROSH,3067,ISR,38.0,9.0,(42.0),37.0,38.0,(41.0),-,-,-,-,-,-,-,-,-,-,-,7.0,28.0,1.0,3.0,2.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,254.0,171.0
2,FATIMA REYES,1415,ESP,22.0,29.0,23.0,(35.0),(33.0),-,-,-,-,-,-,-,-,-,-,-,-,3.0,19.0,3.0,2.0,11.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,193.0,125.0
2,MARIT BOUWMEESTER,3179,NED,5.0,(15.0),4.0,5.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,23.0,10.0,12.0,9.0,(57.0),10.0,-,-,-,-,-,-,-,-,-,-,-,-,158.0,86.0
2,"ERIK HEIL, THOMAS PLOESSEL",1338,GER,2.0,1.0,4.0,(27.0),3.0,6.0,1.0,2.0,7.0,4.0,1.0,8.0,12.0,15.0,10.0,9.0,1.0,2.0,1.0,4.0,(27.0),3.0,6.0,1.0,2.0,7.0,4.0,1.0,8.0,12.0,15.0,10.0,9.0,1.0,3.0,119.0,92.0
2,MATTHEW WEARN,3336,AUS,(13.0),7.0,3.0,1.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,19.0,18.0,(30.0),1.0,6.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,106.0,63.0
3,GEORGE GAUTREY,1634,NZL,2.0,2.0,3.0,7.0,4.0,(53.0),-,-,-,-,-,-,-,-,-,-,-,4.0,(38.0),13.0,23.0,2.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,160.0,69.0
