Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
1,"PETER BURLING, BLAIR TUKE",3968,,1.0,5.0,1.0,1.0,3.0,1.0,1.0,(15.0),4.0,11.0,1.0,1.0,4.0,-,-,-,-,-,-,53.0,38.0
1,KAZUMASA SEGAWA,2520,JPN,(43.0),(39.0),27.0,17.0,28.0,32.0,-,-,-,-,-,-,-,1.0,5.0,13.0,1.0,3.0,2.0,211.0,129.0
1,KARL-MARTIN RAMMO,2485,EST,(28.0),(25.0),11.0,14.0,17.0,6.0,-,-,-,-,-,-,-,1.0,14.0,15.0,3.0,2.0,9.0,145.0,92.0
1,PHILIPP BUHL,3995,GER,(4.0),1.0,1.0,1.0,1.0,2.0,-,-,-,-,-,-,-,2.0,3.0,5.0,6.0,(10.0),4.0,40.0,26.0
1,MARIT BOUWMEESTER,3179,NED,(3.0),3.0,1.0,1.0,1.0,1.0,-,-,-,-,-,-,-,1.0,24.0,10.0,(29.0),-,-,74.0,42.0
1,"TAMARA ECHEGOYEN, PAULA BARCELO",4678,ESP,5.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,10.0,3.0,(14.0),5.0,-,-,-,-,-,-,-,56.0,42.0
1,JOYCE FLORIDIA,2351,ITA,(28.0),28.0,24.0,(29.0),27.0,-,-,-,-,-,-,-,-,28.0,1.0,5.0,15.0,2.0,-,187.0,130.0
2,MATT WEARN,3315,AUS,6.0,4.0,2.0,2.0,2.0,(11.0),-,-,-,-,-,-,-,4.0,8.0,2.0,2.0,(9.0),6.0,58.0,38.0
2,MILIVOJ DUKIC,3492,MNE,(22.0),16.0,8.0,9.0,17.0,21.0,-,-,-,-,-,-,-,(43.0),1.0,2.0,1.0,21.0,2.0,163.0,98.0
2,"CHARLOTTE DOBSON, SASKIA TIDEY",824,,1.0,1.0,11.0,2.0,2.0,3.0,3.0,2.0,3.0,(15.0),4.0,10.0,-,-,-,-,-,-,-,67.0,52.0
2,"ANNABELLE
  RENNIE-YOUNGER",310,NZL,17.0,(33.0),(33.0),25.0,28.0,-,-,-,-,-,-,-,-,31.0,9.0,8.0,2.0,12.0,-,198.0,132.0
2,GIACOMO MUSONE,1657,ITA,24.0,15.0,26.0,(35.0),32.0,(33.0),-,-,-,-,-,-,-,5.0,9.0,9.0,6.0,4.0,9.0,207.0,139.0
2,"DIEGO BOTIN, IAGO LOPEZ MARRA",1125,,4.0,9.0,1.0,1.0,1.0,3.0,13.0,5.0,1.0,(23.0),2.0,8.0,5.0,-,-,-,-,-,-,81.0,58.0
2,MAXIME JONKER,3375,NED,(54.0),20.0,3.0,4.0,3.0,3.0,-,-,-,-,-,-,-,3.0,3.0,(21.0),5.0,-,-,119.0,44.0
3,YIGIT YALCIN CITAK,5223,TUR,20.0,(33.0),30.0,24.0,30.0,(31.0),-,-,-,-,-,-,-,9.0,1.0,10.0,13.0,5.0,11.0,217.0,153.0
3,LINE FLEM HOST,2827,NOR,(19.0),2.0,5.0,10.0,13.0,1.0,-,-,-,-,-,-,-,6.0,5.0,3.0,(43.0),-,-,107.0,45.0
3,"ERIK HEIL, THOMAS PLOESSEL",1338,GER,8.0,3.0,6.0,1.0,5.0,3.0,10.0,(25.0),12.0,1.0,5.0,4.0,1.0,-,-,-,-,-,-,85.0,60.0
3,CAROLINA ALBANO,760,ITA,20.0,(32.0),26.0,27.0,26.0,-,-,-,-,-,-,-,-,(31.0),5.0,1.0,10.0,19.0,-,197.0,134.0
3,TONCI STIPANOVIC,4903,CRO,1.0,2.0,(13.0),2.0,6.0,1.0,-,-,-,-,-,-,-,18.0,15.0,4.0,4.0,(21.0),11.0,98.0,64.0
3,JAKUB RODZIEWICZ,2085,POL,14.0,(21.0),14.0,12.0,19.0,(30.0),-,-,-,-,-,-,-,3.0,5.0,19.0,9.0,6.0,1.0,153.0,102.0
3,"STEPHANIE ROBLE, MAGGIE SHEA",4604,USA,3.0,8.0,8.0,6.0,12.0,8.0,15.0,8.0,7.0,(17.0),7.0,1.0,-,-,-,-,-,-,-,101.0,84.0
